drug,agegroup,prescriptions,pubs,l1,l2,l3,l4,is_first,cui
Acarbose,11-17,201,30,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A10, DRUGS USED IN DIABETES","A10B, BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","A10BF, Alpha glucosidase inhibitors, blood glucose lowering",1,C0050393
Acarbose,3-10,73,30,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A10, DRUGS USED IN DIABETES","A10B, BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","A10BF, Alpha glucosidase inhibitors, blood glucose lowering",1,C0050393
Acarbose,Total,278,30,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A10, DRUGS USED IN DIABETES","A10B, BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","A10BF, Alpha glucosidase inhibitors, blood glucose lowering",1,C0050393
Acebutolol,0-2,0,25,"C, CARDIOVASCULAR SYSTEM DRUGS","C07, beta-Adrenergic Blocking Agents","C07A, BETA BLOCKING AGENTS","C07AB, Beta blocking agents, selective",1,C0543447
Acebutolol,11-17,113,25,"C, CARDIOVASCULAR SYSTEM DRUGS","C07, beta-Adrenergic Blocking Agents","C07A, BETA BLOCKING AGENTS","C07AB, Beta blocking agents, selective",1,C0543447
Acebutolol,3-10,23,25,"C, CARDIOVASCULAR SYSTEM DRUGS","C07, beta-Adrenergic Blocking Agents","C07A, BETA BLOCKING AGENTS","C07AB, Beta blocking agents, selective",1,C0543447
Acebutolol,Total,136,25,"C, CARDIOVASCULAR SYSTEM DRUGS","C07, beta-Adrenergic Blocking Agents","C07A, BETA BLOCKING AGENTS","C07AB, Beta blocking agents, selective",1,C0543447
Acetaminophen,0-2,4996,2815,"N, NERVOUS SYSTEM DRUGS","N02, ANALGESICS","N02B, OTHER ANALGESICS AND ANTIPYRETICS in ATC","N02BE, Anilide analgesics and antipyretics",1,C0000970
Acetaminophen,11-17,3265,2815,"N, NERVOUS SYSTEM DRUGS","N02, ANALGESICS","N02B, OTHER ANALGESICS AND ANTIPYRETICS in ATC","N02BE, Anilide analgesics and antipyretics",1,C0000970
Acetaminophen,3-10,5290,2815,"N, NERVOUS SYSTEM DRUGS","N02, ANALGESICS","N02B, OTHER ANALGESICS AND ANTIPYRETICS in ATC","N02BE, Anilide analgesics and antipyretics",1,C0000970
Acetaminophen,Total,13551,2815,"N, NERVOUS SYSTEM DRUGS","N02, ANALGESICS","N02B, OTHER ANALGESICS AND ANTIPYRETICS in ATC","N02BE, Anilide analgesics and antipyretics",1,C0000970
Acetazolamide,0-2,395,416,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01E, ANTIGLAUCOMA PREPARATIONS AND MIOTICS","S01EC, Carbonic anhydrase inhibitors, antiglaucoma drugs and miotics",1,C0000981
Acetazolamide,11-17,18114,416,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01E, ANTIGLAUCOMA PREPARATIONS AND MIOTICS","S01EC, Carbonic anhydrase inhibitors, antiglaucoma drugs and miotics",1,C0000981
Acetazolamide,3-10,4891,416,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01E, ANTIGLAUCOMA PREPARATIONS AND MIOTICS","S01EC, Carbonic anhydrase inhibitors, antiglaucoma drugs and miotics",1,C0000981
Acetazolamide,Total,23400,416,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01E, ANTIGLAUCOMA PREPARATIONS AND MIOTICS","S01EC, Carbonic anhydrase inhibitors, antiglaucoma drugs and miotics",1,C0000981
Acetic Acid,0-2,376,345,"G, GENITO URINARY SYSTEM AND SEX HORMONES","G01, GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","G01A, ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","G01AD, Organic acids, Gynecological",1,
Acetic Acid,0-2,376,345,"S, SENSORY ORGAN DRUGS","S02, OTOLOGICALS","S02A, ANTIINFECTIVE DRUGS, OTOLOGIC","S02AA, Antiinfectives",0,
Acetic Acid,11-17,2713,345,"G, GENITO URINARY SYSTEM AND SEX HORMONES","G01, GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","G01A, ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","G01AD, Organic acids, Gynecological",1,
Acetic Acid,11-17,2713,345,"S, SENSORY ORGAN DRUGS","S02, OTOLOGICALS","S02A, ANTIINFECTIVE DRUGS, OTOLOGIC","S02AA, Antiinfectives",0,
Acetic Acid,3-10,2321,345,"S, SENSORY ORGAN DRUGS","S02, OTOLOGICALS","S02A, ANTIINFECTIVE DRUGS, OTOLOGIC","S02AA, Antiinfectives",1,
Acetic Acid,3-10,2321,345,"G, GENITO URINARY SYSTEM AND SEX HORMONES","G01, GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","G01A, ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","G01AD, Organic acids, Gynecological",0,
Acetic Acid,Total,5410,345,"S, SENSORY ORGAN DRUGS","S02, OTOLOGICALS","S02A, ANTIINFECTIVE DRUGS, OTOLOGIC","S02AA, Antiinfectives",1,
Acetic Acid,Total,5410,345,"G, GENITO URINARY SYSTEM AND SEX HORMONES","G01, GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","G01A, ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","G01AD, Organic acids, Gynecological",0,
Acetohydroxamic Acid,0-2,0,4,"G, GENITO URINARY SYSTEM AND SEX HORMONES","G04, UROLOGICALS","G04B, UROLOGICALS","G04BX, Other urologicals in ATC",1,C0050451
Acetohydroxamic Acid,11-17,30,4,"G, GENITO URINARY SYSTEM AND SEX HORMONES","G04, UROLOGICALS","G04B, UROLOGICALS","G04BX, Other urologicals in ATC",1,C0050451
Acetohydroxamic Acid,3-10,0,4,"G, GENITO URINARY SYSTEM AND SEX HORMONES","G04, UROLOGICALS","G04B, UROLOGICALS","G04BX, Other urologicals in ATC",1,C0050451
Acetohydroxamic Acid,Total,30,4,"G, GENITO URINARY SYSTEM AND SEX HORMONES","G04, UROLOGICALS","G04B, UROLOGICALS","G04BX, Other urologicals in ATC",1,C0050451
Acetylcysteine,0-2,436,475,"R, RESPIRATORY SYSTEM","R05, COUGH AND COLD PREPARATIONS","R05C, EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS","R05CB, Mucolytics",1,C0001047
Acetylcysteine,0-2,436,475,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01X, OTHER OPHTHALMOLOGICALS IN ATC","S01XA, Other ophthalmologicals in ATC",0,C0001047
Acetylcysteine,0-2,436,475,"V, VARIOUS DRUG CLASSES IN ATC","V03, ALL OTHER THERAPEUTIC PRODUCTS","V03A, ALL OTHER THERAPEUTIC PRODUCTS","V03AB, Antidotes",0,C0001047
Acetylcysteine,11-17,854,475,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01X, OTHER OPHTHALMOLOGICALS IN ATC","S01XA, Other ophthalmologicals in ATC",1,C0001047
Acetylcysteine,11-17,854,475,"V, VARIOUS DRUG CLASSES IN ATC","V03, ALL OTHER THERAPEUTIC PRODUCTS","V03A, ALL OTHER THERAPEUTIC PRODUCTS","V03AB, Antidotes",0,C0001047
Acetylcysteine,11-17,854,475,"R, RESPIRATORY SYSTEM","R05, COUGH AND COLD PREPARATIONS","R05C, EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS","R05CB, Mucolytics",0,C0001047
Acetylcysteine,3-10,1229,475,"V, VARIOUS DRUG CLASSES IN ATC","V03, ALL OTHER THERAPEUTIC PRODUCTS","V03A, ALL OTHER THERAPEUTIC PRODUCTS","V03AB, Antidotes",1,C0001047
Acetylcysteine,3-10,1229,475,"R, RESPIRATORY SYSTEM","R05, COUGH AND COLD PREPARATIONS","R05C, EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS","R05CB, Mucolytics",0,C0001047
Acetylcysteine,3-10,1229,475,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01X, OTHER OPHTHALMOLOGICALS IN ATC","S01XA, Other ophthalmologicals in ATC",0,C0001047
Acetylcysteine,Total,2519,475,"R, RESPIRATORY SYSTEM","R05, COUGH AND COLD PREPARATIONS","R05C, EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS","R05CB, Mucolytics",1,C0001047
Acetylcysteine,Total,2519,475,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01X, OTHER OPHTHALMOLOGICALS IN ATC","S01XA, Other ophthalmologicals in ATC",0,C0001047
Acetylcysteine,Total,2519,475,"V, VARIOUS DRUG CLASSES IN ATC","V03, ALL OTHER THERAPEUTIC PRODUCTS","V03A, ALL OTHER THERAPEUTIC PRODUCTS","V03AB, Antidotes",0,C0001047
Acitretin,0-2,9,144,"D, DERMATOLOGICALS","D05, ANTIPSORIATICS","D05B, ANTIPSORIATICS FOR SYSTEMIC USE","D05BB, Retinoids for treatment of psoriasis",1,C0050559
Acitretin,11-17,393,144,"D, DERMATOLOGICALS","D05, ANTIPSORIATICS","D05B, ANTIPSORIATICS FOR SYSTEMIC USE","D05BB, Retinoids for treatment of psoriasis",1,C0050559
Acitretin,3-10,237,144,"D, DERMATOLOGICALS","D05, ANTIPSORIATICS","D05B, ANTIPSORIATICS FOR SYSTEMIC USE","D05BB, Retinoids for treatment of psoriasis",1,C0050559
Acitretin,Total,639,144,"D, DERMATOLOGICALS","D05, ANTIPSORIATICS","D05B, ANTIPSORIATICS FOR SYSTEMIC USE","D05BB, Retinoids for treatment of psoriasis",1,C0050559
Activated Charcoal,0-2,0,1756,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A07, ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS","A07B, INTESTINAL ADSORBENTS","A07BA, Charcoal preparations, intestinal absorbents",1,C0001275
Activated Charcoal,11-17,1,1756,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A07, ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS","A07B, INTESTINAL ADSORBENTS","A07BA, Charcoal preparations, intestinal absorbents",1,C0001275
Activated Charcoal,3-10,0,1756,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A07, ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS","A07B, INTESTINAL ADSORBENTS","A07BA, Charcoal preparations, intestinal absorbents",1,C0001275
Activated Charcoal,Total,1,1756,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A07, ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS","A07B, INTESTINAL ADSORBENTS","A07BA, Charcoal preparations, intestinal absorbents",1,C0001275
Acyclovir,0-2,16683,1394,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01A, ANTIINFECTIVE OPHTHALMOLOGICS","S01AD, Antivirals, ophthalmologic",1,C0001367
Acyclovir,0-2,16683,1394,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J05, ANTIVIRALS FOR SYSTEMIC USE","J05A, DIRECT ACTING ANTIVIRALS","J05AB, Nucleosides and nucleotides excl. reverse transcriptase inhibitors",0,C0001367
Acyclovir,0-2,16683,1394,"D, DERMATOLOGICALS","D06, ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE","D06B, CHEMOTHERAPEUTICS FOR TOPICAL USE","D06BB, Antivirals, topical",0,C0001367
Acyclovir,11-17,81252,1394,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J05, ANTIVIRALS FOR SYSTEMIC USE","J05A, DIRECT ACTING ANTIVIRALS","J05AB, Nucleosides and nucleotides excl. reverse transcriptase inhibitors",1,C0001367
Acyclovir,11-17,81252,1394,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01A, ANTIINFECTIVE OPHTHALMOLOGICS","S01AD, Antivirals, ophthalmologic",0,C0001367
Acyclovir,11-17,81252,1394,"D, DERMATOLOGICALS","D06, ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE","D06B, CHEMOTHERAPEUTICS FOR TOPICAL USE","D06BB, Antivirals, topical",0,C0001367
Acyclovir,3-10,63807,1394,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J05, ANTIVIRALS FOR SYSTEMIC USE","J05A, DIRECT ACTING ANTIVIRALS","J05AB, Nucleosides and nucleotides excl. reverse transcriptase inhibitors",1,C0001367
Acyclovir,3-10,63807,1394,"D, DERMATOLOGICALS","D06, ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE","D06B, CHEMOTHERAPEUTICS FOR TOPICAL USE","D06BB, Antivirals, topical",0,C0001367
Acyclovir,3-10,63807,1394,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01A, ANTIINFECTIVE OPHTHALMOLOGICS","S01AD, Antivirals, ophthalmologic",0,C0001367
Acyclovir,Total,161742,1394,"D, DERMATOLOGICALS","D06, ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE","D06B, CHEMOTHERAPEUTICS FOR TOPICAL USE","D06BB, Antivirals, topical",1,C0001367
Acyclovir,Total,161742,1394,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J05, ANTIVIRALS FOR SYSTEMIC USE","J05A, DIRECT ACTING ANTIVIRALS","J05AB, Nucleosides and nucleotides excl. reverse transcriptase inhibitors",0,C0001367
Acyclovir,Total,161742,1394,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01A, ANTIINFECTIVE OPHTHALMOLOGICS","S01AD, Antivirals, ophthalmologic",0,C0001367
Adalimumab,0-2,4,634,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AB, Tumor necrosis factor alpha (TNF-alpha) inhibitors",1,
Adalimumab,0-2,455,634,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AB, Tumor necrosis factor alpha (TNF-alpha) inhibitors",0,C1122087
Adalimumab,11-17,232,634,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AB, Tumor necrosis factor alpha (TNF-alpha) inhibitors",1,C1122087
Adalimumab,11-17,92286,634,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AB, Tumor necrosis factor alpha (TNF-alpha) inhibitors",0,C1122087
Adalimumab,3-10,204,634,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AB, Tumor necrosis factor alpha (TNF-alpha) inhibitors",1,C1122087
Adalimumab,3-10,20654,634,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AB, Tumor necrosis factor alpha (TNF-alpha) inhibitors",0,C1122087
Adalimumab,Total,440,634,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AB, Tumor necrosis factor alpha (TNF-alpha) inhibitors",1,C1122087
Adalimumab,Total,113395,634,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AB, Tumor necrosis factor alpha (TNF-alpha) inhibitors",0,C1122087
Adapalene,0-2,184,84,"D, DERMATOLOGICALS","D10, ANTI-ACNE PREPARATIONS","D10A, ANTI-ACNE PREPARATIONS FOR TOPICAL USE","D10AD, Retinoids for topical use in acne",1,C0165631
Adapalene,11-17,263182,84,"D, DERMATOLOGICALS","D10, ANTI-ACNE PREPARATIONS","D10A, ANTI-ACNE PREPARATIONS FOR TOPICAL USE","D10AD, Retinoids for topical use in acne",1,C0165631
Adapalene,3-10,5866,84,"D, DERMATOLOGICALS","D10, ANTI-ACNE PREPARATIONS","D10A, ANTI-ACNE PREPARATIONS FOR TOPICAL USE","D10AD, Retinoids for topical use in acne",1,C0165631
Adapalene,Total,269232,84,"D, DERMATOLOGICALS","D10, ANTI-ACNE PREPARATIONS","D10A, ANTI-ACNE PREPARATIONS FOR TOPICAL USE","D10AD, Retinoids for topical use in acne",1,C0165631
Adefovir Dipivoxil,0-2,0,28,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J05, ANTIVIRALS FOR SYSTEMIC USE","J05A, DIRECT ACTING ANTIVIRALS","J05AF, Nucleoside and nucleotide reverse transcriptase inhibitors",1,C0540694
Adefovir Dipivoxil,11-17,14,28,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J05, ANTIVIRALS FOR SYSTEMIC USE","J05A, DIRECT ACTING ANTIVIRALS","J05AF, Nucleoside and nucleotide reverse transcriptase inhibitors",1,C0540694
Adefovir Dipivoxil,3-10,0,28,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J05, ANTIVIRALS FOR SYSTEMIC USE","J05A, DIRECT ACTING ANTIVIRALS","J05AF, Nucleoside and nucleotide reverse transcriptase inhibitors",1,C0540694
Adefovir Dipivoxil,Total,14,28,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J05, ANTIVIRALS FOR SYSTEMIC USE","J05A, DIRECT ACTING ANTIVIRALS","J05AF, Nucleoside and nucleotide reverse transcriptase inhibitors",1,C0540694
Afatinib,0-2,0,3,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01, ANTINEOPLASTIC AGENTS","L01E, PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01EB, Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors",1,C3273321
Afatinib,11-17,2,3,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01, ANTINEOPLASTIC AGENTS","L01E, PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01EB, Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors",1,C3273321
Afatinib,3-10,2,3,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01, ANTINEOPLASTIC AGENTS","L01E, PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01EB, Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors",1,C3273321
Afatinib,Total,4,3,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01, ANTINEOPLASTIC AGENTS","L01E, PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01EB, Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors",1,C3273321
Agalsidase Beta,0-2,0,22,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A16, OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC","A16A, OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC","A16AB, Enzymes for ALIMENTARY TRACT AND METABOLISM",1,C1137427
Agalsidase Beta,11-17,532,22,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A16, OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC","A16A, OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC","A16AB, Enzymes for ALIMENTARY TRACT AND METABOLISM",1,C1137427
Agalsidase Beta,3-10,48,22,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A16, OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC","A16A, OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC","A16AB, Enzymes for ALIMENTARY TRACT AND METABOLISM",1,C1137427
Agalsidase Beta,Total,580,22,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A16, OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC","A16A, OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC","A16AB, Enzymes for ALIMENTARY TRACT AND METABOLISM",1,C1137427
Albendazole,0-2,1406,1170,"P, ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","P02, ANTHELMINTICS","P02C, ANTINEMATODAL AGENTS","P02CA, Benzimidazole derivatives, antinematodal",1,C0001911
Albendazole,11-17,3966,1170,"P, ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","P02, ANTHELMINTICS","P02C, ANTINEMATODAL AGENTS","P02CA, Benzimidazole derivatives, antinematodal",1,C0001911
Albendazole,3-10,9249,1170,"P, ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","P02, ANTHELMINTICS","P02C, ANTINEMATODAL AGENTS","P02CA, Benzimidazole derivatives, antinematodal",1,C0001911
Albendazole,Total,14621,1170,"P, ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","P02, ANTHELMINTICS","P02C, ANTINEMATODAL AGENTS","P02CA, Benzimidazole derivatives, antinematodal",1,C0001911
Albiglutide,0-2,0,1,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A10, DRUGS USED IN DIABETES","A10B, BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","A10BJ, Glucagon-like peptide-1 (GLP-1) analogues",1,C2607479
