Drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
acetaminophen dextromethorphan hbr and phenylephrine hcl,acetaminophen dextromethorphan hbr and phenylephrine hcl,acetaminophen dextromethorphan hbr and phenylephrine,C1950689,acetaminophen / dextromethorphan / phenylephrine,MIN
acetaminophencodeine phosphate unknown acetaminophe codeine phosphate unk unkunk,acetaminophencodeine phosphate unknown acetaminophe codeine phosphate unk unkunk,acetaminophencodeine unknown acetaminophe codeine unk unkunk,C0000970,acetaminophen,IN
acetaminophenbos taurus gallstonechlorpheniramine maleate,acetaminophenbos taurus gallstonechlorpheniramine maleate,acetaminophenbos taurus gallstonechlorpheniramine maleate,C0000970,acetaminophen,IN
acetaminophencaffeine,acetaminophencaffeine,acetaminophencaffeine,C0360470,acetaminophen / caffeine,MIN
acetaminophenguaifenesinoxomemazinesodium benzoate,acetaminophenguaifenesinoxomemazinesodium benzoate,acetaminophenguaifenesinoxomemazinesodium benzoate,C0000970,acetaminophen,IN
acetaminophenopium,acetaminophenopium,acetaminophenopium,C0718194,Aceta,BN
acetazolamide,acetazolamide,acetazolamide,C0000981,acetazolamide,IN
acetylcysteine,acetylcysteine,acetylcysteine,C0001047,acetylcysteine,IN
acetylcysteine manufacturer unknown acetylcysteine acetylcysteine,acetylcysteine manufacturer unknown acetylcysteine acetylcysteine,acetylcysteine manufacturer unknown acetylcysteine acetylcysteine,C0001047,acetylcysteine,IN
acetylcysteine biogaran,acetylcysteine biogaran,acetylcysteine biogaran,C0001047,acetylcysteine,IN
acetylsalicylic acid,acetylsalicylic acid,acetylsalicylic acid,C4276018,5-bromo-2-acetylsalicylic acid,IN
acetylsalicylic acid100 mg,acetylsalicylic acid100 mg,acetylsalicylic acid100 mg,C4051486,magnesium sulfate 100 MG,SCDC
aciclovir,aciclovir,aciclovir,C0209227,famciclovir,IN
aciclovir aciclovir,aciclovir aciclovir,aciclovir aciclovir,,,
aciclovir mylan 250 mg poudre pour solution injectable iv,aciclovir mylan 250 mg poudre pour injectable iv,aciclovir mylan 250 mg poudre pour injectable iv,C0991511,Injectable Solution,DF
aciclovir mylan 250 mg powder for solution for iv injection,aciclovir mylan 250 mg powder for for iv,aciclovir mylan 250 mg powder for for iv,C1124905,calcium acetate 250 MG,SCDC
aciclovir rpg 5 creme,aciclovir rpg 5 creme,aciclovir rpg 5 creme,,,
acide clavulanique,acide clavulanique,acide clavulanique,,,
acide folinique,acide folinique,acide folinique,,,
acide folique,acide folique,acide folique,,,
acitretin,acitretin,acitretin,C0050559,acitretin,IN
aclarubicin hydrochloride,aclarubicin hydrochloride,aclarubicin,C0001143,aclarubicin,IN
acthib,acthib,acthib,C0731347,ActHIB,BN
actemra,actemra,actemra,C2740854,Actemra,BN
actemra actpen,actemra actpen,actemra actpen,C2740854,Actemra,BN
acth,acth,acth,C1658082,0.5 ML ActHIB 0.068 MG/ML Injection,SY
acthar,acthar,acthar,C0718234,Acthar,BN
actihib,actihib,actihib,C0731347,ActHIB,BN
actilyse,actilyse,actilyse,,,
actimmune,actimmune,actimmune,C0813623,Actimmune,BN
actinomycin,actinomycin,actinomycin,C0010934,dactinomycin,IN
actinomycin c,actinomycin c,actinomycin c,C4074523,DACTINomycin Injection [Cosmegen],TMSY
actinomycin d,actinomycin d,actinomycin d,C0721859,Myci,BN
actinomycine d,actinomycine d,actinomycine d,C0721859,Myci,BN
actinomycines,actinomycines,actinomycines,C0721859,Myci,BN
actiq,actiq,actiq,C0718245,Actiq,BN
actiskenan,actiskenan,actiskenan,,,
activase,activase,activase,C0701942,Activase,BN
actrapid,actrapid,actrapid,C0592572,Human Actrapid,BN
acupan,acupan,acupan,C0600131,Acupan,BN
acyclovir,acyclovir,acyclovir,C0001367,acyclovir,IN
acyclovir 00587301,acyclovir 00587301,acyclovir 00587301,C0001367,acyclovir,IN
acyclovir sodium,acyclovir sodium,acyclovir,C0282040,acyclovir sodium,PIN
acyclovir sodium manufacturer unknown,acyclovir sodium manufacturer unknown,acyclovir manufacturer unknown,C0001367,acyclovir,IN
acyclovir aciclovir,acyclovir aciclovir,acyclovir aciclovir,C0001367,acyclovir,IN
acz885,acz885,acz885,,,
adacel tdap,adacel tdap,adacel tdap,C1640737,Adacel,BN
adagen,adagen,adagen,C0718256,Adagen,BN
adalat,adalat,adalat,C0590658,Adalat,BN
adalat cc,adalat cc,adalat cc,C0590658,Adalat,BN
adalat cr,adalat cr,adalat cr,C0590658,Adalat,BN
adalate,adalate,adalate,C0591037,Adalate,BN
adalate 20 mg lp comprim lib ration prolong e,adalate 20 mg lp comprim lib ration prolong e,adalate 20 mg lp comprim lib ration prolong e,C0590658,Adalat,BN
adalimumab,adalimumab,adalimumab,C1122087,adalimumab,IN
adbry,adbry,adbry,C5564320,Adbry,BN
adcetris,adcetris,adcetris,C3192355,Adcetris,BN
adcirca,adcirca,adcirca,C2709986,Adcirca,BN
addamel n,addamel n,addamel n,,,
addaven,addaven,addaven,,,
adderall,adderall,adderall,C0290795,Adderall,BN
adderall xr,adderall,adderall,C0290795,Adderall,BN
addyi,addyi,addyi,C4051421,Addyi,BN
adefovir dipivoxil,adefovir dipivoxil,adefovir dipivoxil,C0540694,adefovir dipivoxil,PIN
adempas,adempas,adempas,C3667657,Adempas,BN
adenosine,adenosine,adenosine,C0001443,adenosine,IN
adotrastuzumab emtansine,adotrastuzumab emtansine,adotrastuzumab emtansine,C2935436,ado-trastuzumab emtansine,PIN
adoport,adoport,adoport,,,
adrenaclick,adrenaclick,adrenaclick,C2740856,Adrenaclick,BN
adrenalin,adrenalin,adrenalin,C1963284,Adrenalin,BN
adreview,adreview,adreview,,,
adriacin,adriacin,adriacin,,,
adriamycin,adriamycin,adriamycin,C0085752,Adriamycin,BN
advagraf,advagraf,advagraf,,,
advair hfa,advair hfa,advair hfa,C0965130,Advair,BN
advate,advate,advate,C1815260,Advate,BN
advate 1000,advate 1000,advate 1000,C1815260,Advate,BN
advate 250,advate 250,advate 250,C1815260,Advate,BN
advate 250 ie,advate 250 ie,advate 250 ie,C1815260,Advate,BN
advate 250 iu injektiokuivaaine ja liuotin liuosta varten,advate 250 iu injektiokuivaaine ja liuotin liuosta varten,advate 250 iu injektiokuivaaine ja liuotin liuosta varten,,,
advate 250 iu powder and solvent for solution for injection,advate 250 iu powder and solvent for for,advate 250 iu powder and solvent for for,C1815260,Advate,BN
advate 500 ie,advate 500 ie,advate 500 ie,C1815260,Advate,BN
advate 500 ui poudre et solvant pour solution injectable,advate 500 ui poudre et solvant pour injectable,advate 500 ui poudre et solvant pour injectable,C1815260,Advate,BN
advil,advil,advil,C0593507,Advil,BN
advil enfants et nourrissons 20 mg1 ml suspension buvable en flacon,advil enfants et nourrissons 20 mg1 ml buvable en flacon,advil enfants et nourrissons 20 mg1 ml buvable en flacon,,,
adynovate,adynovate,adynovate,C4083869,Adynovate,BN
adzynma,adzynma,adzynma,C5873682,Adzynma,BN
aerius,aerius,aerius,,,
aerius desloratadine,aerius desloratadine,aerius desloratadine,C0908935,desloratadine,IN
afatinib,afatinib,afatinib,C2987648,afatinib,IN
afinitor,afinitor,afinitor,C2682856,Afinitor,BN
afinitor rad,afinitor rad,afinitor rad,C2682856,Afinitor,BN
afinitor rad tablet 10mg,afinitor rad 10mg,afinitor rad 10mg,C2682856,Afinitor,BN
afinitor rad unknown,afinitor rad unknown,afinitor rad unknown,C2682856,Afinitor,BN
afinitor disperz,afinitor disperz,afinitor disperz,C2682856,Afinitor,BN
afrin,afrin,afrin,C0718291,Afrin,BN
afstyla antihemophilic factor recombinant single chain,afstyla antihemophilic factor recombinant single chain,afstyla antihemophilic factor recombinant single chain,C4256998,Afstyla,BN
agalsidase beta,agalsidase beta,agalsidase beta,C1137427,agalsidase beta,IN
agrylin,agrylin,agrylin,C0718300,Agrylin,BN
aimovig,aimovig,aimovig,C4692294,Aimovig,BN
aircort,aircort,aircort,C3536832,air,IN
aiyang pegaspargase,aiyang pegaspargase,aiyang pegaspargase,C1704673,Gas,DF
ajovy,ajovy,ajovy,C4723543,Ajovy,BN
akineton,akineton,akineton,C0591048,Akineton,BN
akrinor,akrinor,akrinor,,,
alaninearginineaspartic acidcysteine hydrochlorideglutamic acidglycinehistidineisoleucineleucinelysine acetatemethioninephenylalanineprolineserinetaurinethreoninetryptophantyrosinevaline,alaninearginineaspartic acidcysteine hydrochlorideglutamic acidglycinehistidineisoleucineleucinelysine acetatemethioninephenylalanineprolineserinetaurinethreoninetryptophantyrosinevaline,alaninearginineaspartic acidcysteine hydrochlorideglutamic acidglycinehistidineisoleucineleucinelysine acetatemethioninephenylalanineprolineserinetaurinethreoninetryptophantyrosinevaline,,,
albendazole,albendazole,albendazole,C0001911,albendazole,IN
albenza,albenza,albenza,C0591462,Albenza,BN
albumin,albumin,albumin,C4082323,"100 ML albumin human, USP 200 MG/ML Injection",SCD
albumin human,albumin human,albumin human,C0304925,"albumin human, USP",IN
albuminar5,albuminar5,albuminar5,C0591050,Albuminar,BN
albumine,albumine,albumine,C4719690,Albuminex,BN
alburex,alburex,alburex,C1330039,Alburx,BN
albutein,albutein,albutein,C0591051,Albutein,BN
albuterol,albuterol,albuterol,C0001927,albuterol,IN
albuterol 00139501,albuterol 00139501,albuterol 00139501,C0001927,albuterol,IN
albuterol sulfate,albuterol sulfate,albuterol,C0543495,albuterol sulfate,PIN
albuterol sulfate inhalation 0083 nephron pharmaceuticals,albuterol sulfate inhalation 0083 nephron pharmaceuticals,albuterol inhalation 0083 nephron pharmaceuticals,C0001927,albuterol,IN
albuterol sulfate inhalation solution 0083,albuterol sulfate inhalation 0083,albuterol inhalation 0083,C1696556,albuterol sulfate 0.083 % Inhalation Solution,PSN
alcaine,alcaine,alcaine,C0701337,Alcaine,BN
alclometasone dipropionate,alclometasone dipropionate,alclometasone dipropionate,C0051113,alclometasone dipropionate,PIN
alcohol,alcohol,alcohol,C0048327,4-hydroxybenzyl alcohol,IN
alcohol oral solution,alcohol oral,alcohol oral,C1613464,benzyl alcohol Oral Gel,SCDF
aldactone,aldactone,aldactone,C0591054,Aldactone,BN
aldactone 00252502,aldactone 00252502,aldactone 00252502,C0591054,Aldactone,BN
aldactone a,aldactone a,aldactone a,C0591054,Aldactone,BN
aldactone spironolactone,aldactone spironolactone,aldactone spironolactone,C1597909,spironolactone 100 MG [Aldactone],SBDC
aldesleukin,aldesleukin,aldesleukin,C0218986,aldesleukin,IN
aldomet,aldomet,aldomet,C0591055,Aldomet,BN
aldurazyme,aldurazyme,aldurazyme,C1330043,Aldurazyme,BN
alecensa,alecensa,alecensa,C4060047,Alecensa,BN
alectinib,alectinib,alectinib,C3853921,alectinib,IN
alemtuzumab,alemtuzumab,alemtuzumab,C0383429,alemtuzumab,IN
alendronate,alendronate,alendronate,C0102118,alendronate,IN
alendronate sodium,alendronate sodium,alendronate,C0700482,alendronate sodium,PIN
alendronate sodium ir,alendronate sodium,alendronate,C0700482,alendronate sodium,PIN
alendronic acid,alendronic acid,alendronic acid,C0771311,alendronic acid,PIN
alepsal caffeinephenobarbital,alepsal caffeinephenobarbital,alepsal caffeinephenobarbital,C0004743,barbital,IN
alepsal phenobarbital caffeine,alepsal phenobarbital caffeine,alepsal phenobarbital caffeine,C2929846,caffeine / PHENobarbital,TMSY
alepsal 00023201,alepsal 00023201,alepsal 00023201,,,
aleve,aleve,aleve,C0718343,Aleve,BN
aleviatin,aleviatin,aleviatin,C0040238,tin,IN
alfacalcidol,alfacalcidol,alfacalcidol,C0044410,alfacalcidol,IN
alfentanil hydrochloride,alfentanil hydrochloride,alfentanil,C0700562,alfentanil hydrochloride,PIN
alfentanil,alfentanil,alfentanil,C0002026,alfentanil,IN
alglucosidase alfa,alglucosidase alfa,alglucosidase alfa,C1695579,alglucosidase alfa,IN
alinia,alinia,alinia,C1170029,Alinia,BN
alisertib,alisertib,alisertib,,,
alkeran,alkeran,alkeran,C0591063,Alkeran,BN
alkindi sprinkle,alkindi sprinkle,alkindi sprinkle,C5417484,Alkindi,BN
alltrans retinoic acid,alltrans retinoic acid,alltrans retinoic acid,C0040238,tin,IN
allegra,allegra,allegra,C1110594,Allegra,BN
allopurinol,allopurinol,allopurinol,C0002144,allopurinol,IN
almotriptan base,almotriptan base,almotriptan base,C0914729,almotriptan,IN
almus amoxicillin,almus amoxicillin,almus amoxicillin,C0308321,Amoxi Drop,BN
aloxi,aloxi,aloxi,C1310735,Aloxi,BN
alpelisib,alpelisib,alpelisib,C4055478,alpelisib,IN
alphamethyldopa,alphamethyldopa,alphamethyldopa,C0059747,ethyl acetate,IN
alphacalcidol,alphacalcidol,alphacalcidol,C3254909,Calcid,BN
alphagan p,alphagan p,alphagan p,C0594452,Alphagan,BN
alphanate,alphanate,alphanate,C0594139,Alphanate,BN
alprazolam,alprazolam,alprazolam,C0002333,alprazolam,IN
alprolix,alprolix,alprolix,C3819068,Alprolix,BN
alprostadil,alprostadil,alprostadil,C0002335,alprostadil,IN
alprostadil 500 mcgml,alprostadil 500 mcgml,alprostadil 500 mcgml,C0002335,alprostadil,IN
alprostadil alfadex,alprostadil alfadex,alprostadil alfadex,C0051348,alfadex,SY
alprostadil intsel chimos,alprostadil intsel chimos,alprostadil intsel chimos,C0002335,alprostadil,IN
alteplase,alteplase,alteplase,C0032143,alteplase,IN
althiazide,althiazide,althiazide,C0051500,althiazide,IN
aluvia,aluvia,aluvia,,,
alvesco,alvesco,alvesco,C1174745,Alvesco,BN
alvesco inhalation aerosol,alvesco inhalation aerosol,alvesco inhalation aerosol,C1112870,Aerosol,ET
alymsys,alymsys,alymsys,C5578879,Alymsys,BN
amantadin,amantadin,amantadin,C0002403,amantadine,IN
amantadine,amantadine,amantadine,C0002403,amantadine,IN
ambien,ambien,ambien,C0487782,Ambien,BN
ambisome,ambisome,ambisome,C0591076,AmBisome,BN
ambrisentan,ambrisentan,ambrisentan,C1176329,ambrisentan,IN
ambrisentan tablets 30bo 5mg,ambrisentan 30bo 5mg,ambrisentan 30bo 5mg,C1176329,ambrisentan,IN
ambrisentan 5mg tablets 30bo 5mg,ambrisentan 5mg 30bo 5mg,ambrisentan 5mg 30bo 5mg,C1176329,ambrisentan,IN
ambrohexal,ambrohexal,ambrohexal,,,
ambroxol hydrochloride,ambroxol hydrochloride,ambroxol,C1367795,ambroxol hydrochloride,PIN
amikacin,amikacin,amikacin,C0002499,amikacin,IN
amikacin sulfate,amikacin sulfate,amikacin,C0002501,amikacin sulfate,PIN
amikacinamikacin sulfate,amikacinamikacin sulfate,amikacinamikacin,C0002499,amikacin,IN
amiloride,amiloride,amiloride,C0002502,amiloride,IN
amineurin,amineurin,amineurin,,,
amino acids source unspecified,amino acids source unspecified,amino acids source unspecified,,,
amino acidscalcium gluconate monohydratedextrose monohydrateheparin sodium,amino acidscalcium gluconate monohydratedextrose monohydrateheparin sodium,amino acidscalcium gluconate monohydratedextrose monohydrateheparin,C0006699,calcium gluconate,IN
amino acidscarbohydrateselectrolytes nosvitamins,amino acidscarbohydrateselectrolytes nosvitamins,amino acidscarbohydrateselectrolytes nosvitamins,,,
amino acidsdextroseelectrolytes nos,amino acidsdextroseelectrolytes nos,amino acidsdextroseelectrolytes nos,,,
amino acidsdextroseelectrolytes nossoybean oil,amino acidsdextroseelectrolytes nossoybean oil,amino acidsdextroseelectrolytes nossoybean oil,C0037732,soybean oil,IN
aminoglycoside aminoglycoside antibacterials,aminoglycoside aminoglycoside antibacterials,aminoglycoside aminoglycoside antibacterials,,,
aminophylline,aminophylline,aminophylline,C0002575,aminophylline,IN
aminoven infant 10,aminoven infant 10,aminoven infant 10,C0592562,Inoven,BN
amiodarone,amiodarone,amiodarone,C0002598,amiodarone,IN
amiodarone hcl,amiodarone hcl,amiodarone,C0002598,amiodarone,IN
amiodarone hcl manufacturer unknown,amiodarone hcl manufacturer unknown,amiodarone manufacturer unknown,C0002598,amiodarone,IN
amiodarone hikma amiodarone 50 milligrammilliliters injection amiodarone,amiodarone hikma amiodarone 50 milligrammilliliters amiodarone,amiodarone hikma amiodarone 50 milligrammilliliters amiodarone,C0002598,amiodarone,IN
amiodarone hydrochloride,amiodarone hydrochloride,amiodarone,C0700442,amiodarone hydrochloride,PIN
amisulpride,amisulpride,amisulpride,C0103045,amisulpride,IN
amitiza,amitiza,amitiza,C1699150,Amitiza,BN
amitriptylin,amitriptylin,amitriptylin,C0002600,amitriptyline,IN
amitriptyline,amitriptyline,amitriptyline,C0002600,amitriptyline,IN
amitriptyline hydrochloride,amitriptyline hydrochloride,amitriptyline,C0700523,amitriptyline hydrochloride,PIN
amitriptylineformunknown,amitriptylineformunknown,amitriptylineformunknown,C0002600,amitriptyline,IN
amlodipine,amlodipine,amlodipine,C0051696,amlodipine,IN
amlodipine besilate,amlodipine besilate,amlodipine besilate,C0354468,amlodipine besylate,PIN
amlodipine besylate,amlodipine besylate,amlodipine besylate,C0354468,amlodipine besylate,PIN
amlodipine besylatehydrochlorothiazidevalsartan,amlodipine besylatehydrochlorothiazidevalsartan,amlodipine besylatehydrochlorothiazidevalsartan,C0051696,amlodipine,IN
amlodipinehydrochlorothiazidevalsartan,amlodipinehydrochlorothiazidevalsartan,amlodipinehydrochlorothiazidevalsartan,C2701863,amLODIPine / hydroCHLOROthiazide / valsartan,TMSY
amlor,amlor,amlor,,,
ammonaps,ammonaps,ammonaps,,,
ammonul,ammonul,ammonul,C1652089,Ammonul,BN
amn107,amn107,amn107,,,
amnesteem capsules,amnesteem,amnesteem,C1330059,Amnesteem,BN
amoksiklav,amoksiklav,amoksiklav,,,
amondys 45,amondys 45,amondys 45,C5442906,Amondys 45,BN
amoxicillin,amoxicillin,amoxicillin,C0002645,amoxicillin,IN
amoxicillin amoxicillin,amoxicillin amoxicillin,amoxicillin amoxicillin,C2193826,ambroxol / amoxicillin,MIN
amoxicillin clav potassium,amoxicillin clav potassium,amoxicillin clav,C0308321,Amoxi Drop,BN
amoxicillin clavulanate potassium,amoxicillin clavulanate potassium,amoxicillin clavulanate,C0054066,amoxicillin / clavulanate,MIN
amoxicillin 400 mg haggen pharmacy 3460,amoxicillin 400 mg haggen pharmacy 3460,amoxicillin 400 mg haggen pharmacy 3460,C0308321,Amoxi Drop,BN
amoxicillin and clavulanate potassium,amoxicillin and clavulanate potassium,amoxicillin and clavulanate,C0054066,amoxicillin / clavulanate,MIN
amoxicillin sandoz,amoxicillin sandoz,amoxicillin sandoz,C0308321,Amoxi Drop,BN
amoxicillin sodium,amoxicillin sodium,amoxicillin,C0887551,amoxicillin sodium,PIN
amoxicillin sodium clavulanate potassium,amoxicillin sodium clavulanate potassium,amoxicillin clavulanate,C0002645,amoxicillin,IN
amoxicillin sodiumpotassium clavulanate,amoxicillin sodiumpotassium clavulanate,amoxicillin sodiumpotassium clavulanate,C0308321,Amoxi Drop,BN
amoxicillin sodiumclavulanate potassium,amoxicillin sodiumclavulanate potassium,amoxicillin sodiumclavulanate,C0308321,Amoxi Drop,BN
amoxicillin suspension 400 mg5 ml sandoz,amoxicillin 400 mg5 ml sandoz,amoxicillin 400 mg5 ml sandoz,C0308321,Amoxi Drop,BN
amoxicillin trihydrate,amoxicillin trihydrate,amoxicillin trihydrate,C0521900,amoxicillin trihydrate,PIN
amoxicillin trihydratepotassium clavulanate,amoxicillin trihydratepotassium clavulanate,amoxicillin trihydratepotassium clavulanate,C0002645,amoxicillin,IN
amoxicillin wclavulanate potassium 200 mg5 ml for oral suspension,amoxicillin wclavulanate potassium 200 mg5 ml for oral,amoxicillin wclavulanate 200 mg5 ml for oral,C0002645,amoxicillin,IN
amoxicillin wclavulanic acid,amoxicillin wclavulanic acid,amoxicillin wclavulanic acid,C0308321,Amoxi Drop,BN
amoxicillinclavulanate,amoxicillinclavulanate,amoxicillinclavulanate,C0054066,amoxicillin / clavulanate,MIN
amoxicillinclavulanic acid,amoxicillinclavulanic acid,amoxicillinclavulanic acid,C0308321,Amoxi Drop,BN
amoxicillin clavulanic acid,amoxicillin clavulanic acid,amoxicillin clavulanic acid,C0308321,Amoxi Drop,BN
amoxicillinratiopharm 250 mg5 ml ts,amoxicillinratiopharm 250 mg5 ml ts,amoxicillinratiopharm 250 mg5 ml ts,C1124905,calcium acetate 250 MG,SCDC
amoxicillinclavulanate potassium,amoxicillinclavulanate potassium,amoxicillinclavulanate,C0308321,Amoxi Drop,BN
amoxicilline,amoxicilline,amoxicilline,C0002645,amoxicillin,IN
amoxicilline acide clavulanique sandoz 100 mg125 mg par ml enfants,amoxicilline acide clavulanique sandoz 100 mg125 mg par ml enfants,amoxicilline acide clavulanique sandoz 100 mg125 mg par ml enfants,C0002645,amoxicillin,IN
amoxicilline almus 1 g comprime pellicule dispersible,amoxicilline almus 1 g comprime pellicule dispersible,amoxicilline almus 1 g comprime pellicule dispersible,C0002645,amoxicillin,IN
amoxicilline base,amoxicilline base,amoxicilline base,C0308321,Amoxi Drop,BN
amoxicilline bexal,amoxicilline bexal,amoxicilline bexal,C0308321,Amoxi Drop,BN
amoxicilline sodique,amoxicilline sodique,amoxicilline sodique,C0308321,Amoxi Drop,BN
amoxicilline susp oral 50mgml,amoxicilline susp oral 50mgml,amoxicilline susp oral 50mgml,C0308321,Amoxi Drop,BN
amoxicilline trihydratee,amoxicilline trihydratee,amoxicilline trihydratee,C0521900,amoxicillin trihydrate,PIN
amoxiclav,amoxiclav,amoxiclav,C0308321,Amoxi Drop,BN
amoxihexal,amoxihexal,amoxihexal,C0308321,Amoxi Drop,BN
amoxil 00249601,amoxil 00249601,amoxil 00249601,C0308321,Amoxi Drop,BN
amoxin comp,amoxin comp,amoxin comp,C0308321,Amoxi Drop,BN
amoxycillin almus,amoxycillin almus,amoxycillin almus,,,
amphetamine,amphetamine,amphetamine,C0002658,amphetamine,IN
amphetamine sulfate,amphetamine sulfate,amphetamine,C0282051,amphetamine sulfate,PIN
amphetaminedextroamphetamine,amphetaminedextroamphetamine,amphetaminedextroamphetamine,C0795571,amphetamine / dextroamphetamine,MIN
amphomoronal,amphomoronal,amphomoronal,,,
amphotericin b,amphotericin b,amphotericin b,C0002679,amphotericin B,IN
amphotericin b liposome,amphotericin b liposome,amphotericin b liposome,C1145701,amphotericin B liposomal,PIN
ampicillin,ampicillin,ampicillin,C0002680,ampicillin,IN
