Drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
Acetaminophen/Oxycodone Hydrochloride,acetaminophen/oxycodone hydrochloride,acetaminophen/oxycodone,C5837121,acetaminophen / oxyCODONE hydrochloride Oral Capsule,TMSY
Acetaminophen/Pamabrom/Pyrilamine Maleate,acetaminophen/pamabrom/pyrilamine maleate,acetaminophen/pamabrom/pyrilamine maleate,C1364872,acetaminophen / pamabrom / pyrilamine maleate Oral Capsule,SCDFP
Acetaminophen/Phenyltoloxamine Citrate,acetaminophen/phenyltoloxamine citrate,acetaminophen/phenyltoloxamine citrate,C5837340,acetaminophen / phenyltoloxamine citrate Oral Capsule,SCDFP
Acetaminophen/Tramadol Hydrochloride,acetaminophen/tramadol hydrochloride,acetaminophen/tramadol,C5837021,acetaminophen / traMADol hydrochloride Oral Capsule,TMSY
Acetazolamide,acetazolamide,acetazolamide,C0000981,acetazolamide,IN
Acetic Acid,acetic acid,acetic acid,C0000983,acetic acid,IN
Acetic Acid Glacial/Oxyquinoline Sulfate,acetic acid glacial/oxyquinoline sulfate,acetic acid glacial/oxyquinoline,C0000983,acetic acid,IN
Acetic Acid/Aluminum Acetate,acetic acid/aluminum acetate,acetic acid/aluminum,C0718207,acetic acid / aluminum acetate,MIN
Acetic Acid/Hydrocortisone,acetic acid/hydrocortisone,acetic acid/hydrocortisone,C1445764,acetic acid / hydrocortisone,MIN
Acetohydroxamic Acid,acetohydroxamic acid,acetohydroxamic acid,C0050451,acetohydroxamic acid,IN
Acetone,acetone,acetone,C0001002,acetone,IN
Acetone Test,acetone test,acetone test,C0001002,acetone,IN
Acetone/Fuchsin/Resorcinol,acetone/fuchsin/resorcinol,acetone/fuchsin/resorcinol,C0001002,acetone,IN
Acetylcysteine,acetylcysteine,acetylcysteine,C0001047,acetylcysteine,IN
Acetylcysteine/Levomefolate Ca/Methylcobalamin,acetylcysteine/levomefolate ca/methylcobalamin,acetylcysteine/levomefolate ca/methylcobalamin,C0001047,acetylcysteine,IN
Acitretin,acitretin,acitretin,C0050559,acitretin,IN
Aclidinium Bromide,aclidinium bromide,aclidinium,C2699758,aclidinium bromide,PIN
Aconitum Napellus,aconitum napellus,aconitum napellus,C0939870,Aconitum napellus extract,IN
Acrivastine/Pseudoephedrine Hydrochloride,acrivastine/pseudoephedrine hydrochloride,acrivastine/pseudoephedrine,C4720018,acrivastine / pseudoephedrine hydrochloride Oral Capsule,SCDFP
Acrylate Terpolymer/Hexamethyldisiloxane,acrylate terpolymer/hexamethyldisiloxane,acrylate terpolymer/hexamethyldisiloxane,C0101303,acrylate,IN
Activated Charcoal,activated charcoal,activated charcoal,C0001275,activated charcoal,IN
Acyclovir,acyclovir,acyclovir,C0001367,acyclovir,IN
Acyclovir/Hydrocortisone,acyclovir/hydrocortisone,acyclovir/hydrocortisone,C2928719,acyclovir / hydrocortisone,MIN
Adalimumab,adalimumab,adalimumab,C1122087,adalimumab,IN
Adalimumab-adaz,adalimumab-adaz,adalimumab-adaz,C4740830,adalimumab-adaz,PIN
Adalimumab-aqvh,adalimumab-aqvh,adalimumab-aqvh,C5564242,adalimumab-aqvh,PIN
Adalimumab-atto,adalimumab-atto,adalimumab-atto,C4535390,adalimumab-atto,PIN
Adalimumab-bwwd,adalimumab-bwwd,adalimumab-bwwd,C5195654,adalimumab-bwwd,PIN
Adalimumab;Adalimumab,adalimumab adalimumab,adalimumab adalimumab,C1168857,0.8 ML adalimumab 50 MG/ML Injection,SCD
Adapalene,adapalene,adapalene,C0165631,adapalene,IN
Adapalene/Benzoyl Peroxide,adapalene/benzoyl peroxide,adapalene/benzoyl peroxide,C2711031,adapalene / benzoyl peroxide,MIN
Adefovir Dipivoxil,adefovir dipivoxil,adefovir dipivoxil,C0540694,adefovir dipivoxil,PIN
Adhesive,adhesive,adhesive,C1615124,"STRIANT 30 MG Buccal Film, Mucoadhesive",PSN
Afatinib Dimaleate,afatinib dimaleate,afatinib dimaleate,C3273321,afatinib dimaleate,PIN
Agalsidase Beta,agalsidase beta,agalsidase beta,C1137427,agalsidase beta,IN
Agave Syrup/English Ivy Extract,agave /english ivy extract,agave /english ivy extract,,,
AHF Human/AHF VIII:C Human,ahf human/ahf viii c human,ahf human/ahf viii c human,,,
AHF Human/Von Willebrand Factor Human,ahf human/von willebrand factor human,ahf human/von willebrand factor human,C0042971,von Willebrand factor,IN
AHF VIII (Recombinant) Sucrose Formulated,ahf viii recombinant sucrose formulated,ahf viii recombinant sucrose formulated,C0038636,sucrose,IN
Albendazole,albendazole,albendazole,C0001911,albendazole,IN
Albiglutide,albiglutide,albiglutide,C2607479,albiglutide,IN
Albumin Test,albumin test,albumin test,,,
Albuterol Sulfate,albuterol sulfate,albuterol,C0543495,albuterol sulfate,PIN
Albuterol Sulfate/Ipratropium Bromide,albuterol sulfate/ipratropium bromide,albuterol sulfate/ipratropium,C0001927,albuterol,IN
Albuterol/Budesonide,albuterol/budesonide,albuterol/budesonide,C5783127,albuterol / budesonide,MIN
Alcaftadine,alcaftadine,alcaftadine,C2348241,alcaftadine,IN
Alclometasone Dipropionate,alclometasone dipropionate,alclometasone dipropionate,C0051113,alclometasone dipropionate,PIN
Aldesleukin,aldesleukin,aldesleukin,C0218986,aldesleukin,IN
Alectinib,alectinib,alectinib,C3853921,alectinib,IN
Alendronate Sodium,alendronate sodium,alendronate,C0700482,alendronate sodium,PIN
Alfuzosin Hydrochloride,alfuzosin hydrochloride,alfuzosin,C0102130,alfuzosin hydrochloride,PIN
Alglucosidase Alfa,alglucosidase alfa,alglucosidase alfa,C1695579,alglucosidase alfa,IN
Alirocumab,alirocumab,alirocumab,C3491162,alirocumab,IN
Aliskiren,aliskiren,aliskiren,C1120110,aliskiren,IN
Alitretinoin,alitretinoin,alitretinoin,C0281666,alitretinoin,IN
Allantoin,allantoin,allantoin,C0002083,allantoin,IN
Allantoin/Lidocaine/Petrolatum,allantoin/lidocaine/petrolatum,allantoin/lidocaine/petrolatum,C3833143,allantoin / lidocaine / petrolatum,MIN
Allantoin/Onion Extract,allantoin/onion extract,allantoin/onion extract,C0002083,allantoin,IN
Allopurinol,allopurinol,allopurinol,C0002144,allopurinol,IN
Almond Oil,almond oil,almond oil,C0102271,almond oil,IN
Almotriptan Malate,almotriptan malate,almotriptan malate,C0937898,almotriptan malate,PIN
Aloe Vera,aloe vera,aloe vera,C3474139,Alo,BN
Aloe Vera/Glycerin,aloe vera/glycerin,aloe vera/glycerin,C3474139,Alo,BN
Aloe/Collagen/Lidocaine Hydrochloride,aloe/collagen/lidocaine hydrochloride,aloe/collagen/lidocaine,C0006686,calcium chloride,IN
Aloe/HC Ace/Pramoxine HCl,aloe/hc ace/pramoxine hcl,aloe/hc ace/pramoxine,C0308321,Amoxi Drop,BN
Aloe/Hydrocortisone Acetate/Iodoquinol,aloe/hydrocortisone acetate/iodoquinol,aloe/hydrocortisone acetate/iodoquinol,C0718194,Aceta,BN
Aloe/Iodoquinol,aloe/iodoquinol,aloe/iodoquinol,C3474139,Alo,BN
Alogliptin Benzoate,alogliptin benzoate,alogliptin benzoate,C2698057,alogliptin benzoate,PIN
Alosetron Hydrochloride,alosetron hydrochloride,alosetron,C0291771,alosetron hydrochloride,PIN
Alpelisib,alpelisib,alpelisib,C4055478,alpelisib,IN
Alpelisib;Alpelisib,alpelisib alpelisib,alpelisib alpelisib,C5578696,{28 (alpelisib 50 MG Oral Tablet) } Pack,GPCK
Alpha-1 Proteinase Inhibitor Human,alpha-1 proteinase inhibitor human,alpha-1 proteinase inhibitor human,C0795657,"alpha 1-proteinase inhibitor, human",PIN
Alpha-D-Galactosidase,alpha-d-galactosidase,alpha-d-galactosidase,C0002268,alpha-D-galactosidase enzyme,IN
Alprazolam,alprazolam,alprazolam,C0002333,alprazolam,IN
"Alteplase, Recombinant",alteplase recombinant,alteplase recombinant,C0032143,alteplase,IN
Alternaria Extract,alternaria extract,alternaria extract,C0035668,RNA,IN
Aluminum Chloride,aluminum chloride,aluminum chloride,C0102840,aluminum chloride,IN
Aluminum Hydroxide,aluminum hydroxide,aluminum hydroxide,C0002371,aluminum hydroxide,IN
Aluminum Hydroxide/Magnesium Carbonate,aluminum hydroxide/magnesium carbonate,aluminum hydroxide/magnesium carbonate,C2936735,aluminum hydroxide / magnesium carbonate,MIN
Aluminum Hydroxide/Magnesium Hydroxide,aluminum hydroxide/magnesium hydroxide,aluminum hydroxide/magnesium hydroxide,C2930042,aluminum hydroxide / magnesium hydroxide,MIN
Aluminum Hydroxide/Magnesium Hydroxide/Simethicone,aluminum hydroxide/magnesium hydroxide/simethicone,aluminum hydroxide/magnesium hydroxide/simethicone,C1445822,aluminum hydroxide / magnesium hydroxide / simethicone,MIN
Aluminum Sulfate/Calcium Acetate,aluminum sulfate/calcium acetate,aluminum sulfate/calcium,C1874173,aluminum sulfate / calcium acetate,MIN
Amantadine Hydrochloride,amantadine hydrochloride,amantadine,C0936072,amantadine hydrochloride,PIN
Ambrisentan,ambrisentan,ambrisentan,C1176329,ambrisentan,IN
Amcinonide,amcinonide,amcinonide,C0051556,amcinonide,IN
American Elm Allergen Extract,american elm allergen extract,american elm allergen extract,,,
Amifampridine,amifampridine,amifampridine,C0046948,amifampridine,IN
Amikacin Liposome,amikacin liposome,amikacin liposome,C4731707,amikacin liposomal,PIN
Amikacin Sulfate,amikacin sulfate,amikacin,C0002501,amikacin sulfate,PIN
Amiloride Hydrochloride,amiloride hydrochloride,amiloride,C0546849,amiloride hydrochloride,PIN
Amiloride Hydrochloride/Hydrochlorothiazide,amiloride hydrochloride/hydrochlorothiazide,amiloride hydrochloride/hydrochlorothiazide,C4719884,aMILoride hydrochloride / hydroCHLOROthiazide Oral Tablet,TMSY
Amino Acids,amino acids,amino acids,C2365142,silk amino acids,IN
Amino Acids/Magnesium,amino acids/magnesium,amino acids/magnesium,C0024467,magnesium,IN
Aminocaproic Acid,aminocaproic acid,aminocaproic acid,C0000608,aminocaproic acid,SY
Aminolevulinic Acid Hydrochloride,aminolevulinic acid hydrochloride,aminolevulinic acid,C0876231,aminolevulinic acid hydrochloride,PIN
Aminophylline,aminophylline,aminophylline,C0002575,aminophylline,IN
Amiodarone Hydrochloride,amiodarone hydrochloride,amiodarone,C0700442,amiodarone hydrochloride,PIN
Amitriptyline Hydrochloride,amitriptyline hydrochloride,amitriptyline,C0700523,amitriptyline hydrochloride,PIN
Amitriptyline Hydrochloride/Chlordiazepoxide,amitriptyline hydrochloride/chlordiazepoxide,amitriptyline hydrochloride/chlordiazepoxide,C5835824,amitriptyline hydrochloride / chlordiazePOXIDE Oral Capsule,TMSY
Amitriptyline Hydrochloride/Perphenazine,amitriptyline hydrochloride/perphenazine,amitriptyline hydrochloride/perphenazine,C4720228,amitriptyline hydrochloride / perphenazine Oral Tablet,SCDFP
amLODIPine,amlodipine,amlodipine,C0051696,amlodipine,IN
Amlodipine Besylate,amlodipine besylate,amlodipine besylate,C0354468,amlodipine besylate,PIN
Amlodipine Besylate/Atorvastatin Calcium,amlodipine besylate/atorvastatin calcium,amlodipine besylate/atorvastatin,C0051696,amlodipine,IN
Amlodipine Besylate/Benazepril Hydrochloride,amlodipine besylate/benazepril hydrochloride,amlodipine besylate/benazepril,C0051696,amlodipine,IN
amLODIPine besylate/hydroCHLOROthiazide/Olmesartan,amlodipine besylate/hydrochlorothiazide/olmesartan,amlodipine besylate/hydrochlorothiazide/olmesartan,C0051696,amlodipine,IN
Amlodipine Besylate/Hydrochlorothiazide/Valsartan,amlodipine besylate/hydrochlorothiazide/valsartan,amlodipine besylate/hydrochlorothiazide/valsartan,C0051696,amlodipine,IN
Amlodipine Besylate/Olmesartan Medoxomil,amlodipine besylate/olmesartan medoxomil,amlodipine besylate/olmesartan medoxomil,C0051696,amlodipine,IN
Amlodipine Besylate/Telmisartan,amlodipine besylate/telmisartan,amlodipine besylate/telmisartan,C0051696,amlodipine,IN
Amlodipine Besylate/Valsartan,amlodipine besylate/valsartan,amlodipine besylate/valsartan,C0051696,amlodipine,IN
Ammonium Lactate,ammonium lactate,ammonium lactate,C0718495,ammonium lactate,PIN
Ammonium Lactate/Potassium Lactate/Sodium Lactate,ammonium lactate/potassium lactate/sodium lactate,ammonium lactate/potassium lactate/sodium lactate,C0002611,ammonium,IN
Amoxapine,amoxapine,amoxapine,C0002644,amoxapine,IN
Amoxicillin,amoxicillin,amoxicillin,C0002645,amoxicillin,IN
Amoxicillin;Clarithromycin;Lansoprazole,amoxicillin clarithromycin lansoprazole,amoxicillin clarithromycin lansoprazole,C0308321,Amoxi Drop,BN
Amoxicillin;Clarithromycin;Omeprazole,amoxicillin clarithromycin omeprazole,amoxicillin clarithromycin omeprazole,C0308321,Amoxi Drop,BN
Amoxicillin/Clavulanate Potassium,amoxicillin/clavulanate potassium,amoxicillin/clavulanate,C0308321,Amoxi Drop,BN
Amoxicillin/Omeprazole Magnesium/Rifabutin,amoxicillin/omeprazole magnesium/rifabutin,amoxicillin/omeprazole magnesium/rifabutin,C0002645,amoxicillin,IN
Amphetamine,amphetamine,amphetamine,C0002658,amphetamine,IN
Amphetamine Salt Combination,amphetamine salt combination,amphetamine salt combination,C0002658,amphetamine,IN
Amphetamine Sulfate,amphetamine sulfate,amphetamine,C0282051,amphetamine sulfate,PIN
Amphotericin B,amphotericin b,amphotericin b,C0002679,amphotericin B,IN
Amphotericin B Liposome,amphotericin b liposome,amphotericin b liposome,C1145701,amphotericin B liposomal,PIN
Ampicillin,ampicillin,ampicillin,C0002680,ampicillin,IN
Ampicillin Sodium,ampicillin sodium,ampicillin,C0282052,ampicillin sodium,PIN
Ampicillin Sodium/Sulbactam Sodium,ampicillin sodium/sulbactam sodium,ampicillin sodium/sulbactam,C0002680,ampicillin,IN
Amylase/Lactobacillus Sporogenes/Lipase/Protease,amylase/lactobacillus sporogenes/lipase/protease,amylase/lactobacillus sporogenes/lipase/protease,C0002712,amylase,IN
Amylase/Lipase/Protease,amylase/lipase/protease,amylase/lipase/protease,C1302030,amylase / lipase / protease,MIN
Anagrelide Hydrochloride,anagrelide hydrochloride,anagrelide,C0771907,anagrelide hydrochloride,PIN
Anakinra,anakinra,anakinra,C0245109,anakinra,IN
Anastrozole,anastrozole,anastrozole,C0290883,anastrozole,IN
Anesthetic Combination,anesthetic combination,anesthetic combination,C3848571,bromide ion,IN
Anthralin,anthralin,anthralin,C0003166,anthralin,IN
Anti-Inhibitor Coagulant Complex,anti-inhibitor coagulant complex,anti-inhibitor coagulant complex,C0982025,anti-inhibitor coagulant complex,IN
Antibacterial/Analgesic Combination,antibacterial/analgesic combination,antibacterial/analgesic combination,,,
Antibacterial/Anesthetic Combination,antibacterial/anesthetic combination,antibacterial/anesthetic combination,,,
Antibacterial/Anti-inflammatory Combination,antibacterial/anti-inflammatory combination,antibacterial/anti-inflammatory combination,,,
"Antihemophil Factor Recom, Fc-VWF Fusion Prot-ehtl",antihemophil factor recom fc-vwf fusion prot-ehtl,antihemophil factor recom fc-vwf fusion prot-ehtl,,,
Antihemophilic Factor (Recomb) Plasma/Albumin-Free,antihemophilic factor recomb plasma/albumin-free,antihemophilic factor recomb plasma/albumin-free,,,
Antihemophilic Factor (Recombinant) Pegylated-aucl,antihemophilic factor recombinant pegylated-aucl,antihemophilic factor recombinant pegylated-aucl,C4723218,"antihemophilic factor (recombinant), PEGylated-aucl",PIN
Antihemophilic Factor (Recombinant) Single Chain,antihemophilic factor recombinant single chain,antihemophilic factor recombinant single chain,C4256511,antihemophilic factor (recombinant) single chain 1 UNT Injection,SY
"Antihemophilic Factor Recomb, Glycopegylated-exei",antihemophilic factor recomb glycopegylated-exei,antihemophilic factor recomb glycopegylated-exei,,,
Antihemophilic Factor VIII (Recombinant),antihemophilic factor viii recombinant,antihemophilic factor viii recombinant,C0795577,recombinant antihemophilic factor VIII,PIN
Antihemophilic Factor VIII (Recombinant) Pegylated,antihemophilic factor viii recombinant pegylated,antihemophilic factor viii recombinant pegylated,C4083872,antihemophilic factor (recombinant) pegylated,PIN
Antihemophilic Factor VIII Fc Fusion Protein Recom,antihemophilic factor viii fc fusion protein recom,antihemophilic factor viii fc fusion protein recom,C0015502,factor VII,IN
Antihemophilic Factor VIII Human,antihemophilic factor viii human,antihemophilic factor viii human,C0700346,"antihemophilic factor, human",PIN
Antipyrine,antipyrine,antipyrine,C0003420,antipyrine,IN
Antipyrine/Benzocaine,antipyrine/benzocaine,antipyrine/benzocaine,C1445655,antipyrine / benzocaine,MIN
Antipyrine/Benzocaine/Glycerin,antipyrine/benzocaine/glycerin,antipyrine/benzocaine/glycerin,C0003420,antipyrine,IN
Antipyrine/Benzocaine/Policosanol,antipyrine/benzocaine/policosanol,antipyrine/benzocaine/policosanol,C0003420,antipyrine,IN
Antiviral Combination,antiviral combination,antiviral combination,C3848571,bromide ion,IN
APAP/Butalbital/Caff/Codeine Phos,apap/butalbital/caff/codeine phos,apap/butalbital/caff/codeine phos,C0054234,butalbital,IN
APAP/Chlorpheniramine Mal/Phenyleph HCl,apap/chlorpheniramine mal/phenyleph hcl,apap/chlorpheniramine mal/phenyleph,C0008281,chlorpheniramine,IN
APAP/Dichloralphenazone/Isometheptene Mucate,apap/dichloralphenazone/isometheptene mucate,apap/dichloralphenazone/isometheptene mucate,C2918503,Alphen,BN
APAP/diphenhydrAMINE hydrochloride/Phenyleph HCl,apap/diphenhydramine hydrochloride/phenyleph hcl,apap/diphenhydramine hydrochloride/phenyleph,C0006686,calcium chloride,IN
APAP/DM Hydrobrom/guaiFENesin/Phenyleph HCl,apap/dm hydrobrom/guaifenesin/phenyleph hcl,apap/dm hydrobrom/guaifenesin/phenyleph,C0018305,guaifenesin,IN
APAP/DM Hydrobrom/guaiFENesin/PSE HCl,apap/dm hydrobrom/guaifenesin/pse hcl,apap/dm hydrobrom/guaifenesin/pse,C0018305,guaifenesin,IN
APAP/DM Hydrobrom/Phenyleph HCl,apap/dm hydrobrom/phenyleph hcl,apap/dm hydrobrom/phenyleph,,,
Apixaban,apixaban,apixaban,C1831808,apixaban,IN
Apomorphine Hydrochloride,apomorphine hydrochloride,apomorphine,C0237406,apomorphine hydrochloride,PIN
"Applicator, Bottle",applicator bottle,applicator bottle,,,
Apraclonidine Hydrochloride,apraclonidine hydrochloride,apraclonidine,C0304657,apraclonidine hydrochloride,PIN
Apremilast,apremilast,apremilast,C1678805,apremilast,IN
Apremilast;Apremilast;Apremilast,apremilast apremilast apremilast,apremilast apremilast apremilast,C3818243,apremilast 10 MG Oral Tablet [Otezla],SBD
Aprepitant,aprepitant,aprepitant,C1176306,aprepitant,IN
Aprepitant;Aprepitant,aprepitant aprepitant,aprepitant aprepitant,C4534734,18 ML aprepitant 7.2 MG/ML Injection,SCD
Arformoterol Tartrate,arformoterol tartrate,arformoterol,C1814684,arformoterol tartrate,PIN
Arginine,arginine,arginine,C0003765,arginine,IN
Arginine Hydrochloride,arginine hydrochloride,arginine,C0301556,arginine hydrochloride,PIN
Arginine/Beta-Hydroxyisovaleric Acid/Glutamine,arginine/beta-hydroxyisovaleric acid/glutamine,arginine/beta-hydroxyisovaleric acid/glutamine,C0003765,arginine,IN
Aripiprazole,aripiprazole,aripiprazole,C0299792,aripiprazole,IN
Aripiprazole Lauroxil,aripiprazole lauroxil,aripiprazole lauroxil,C4056439,aripiprazole lauroxil,IN
Armodafinil,armodafinil,armodafinil,C1701455,armodafinil,IN
Artemether/Lumefantrine,artemether/lumefantrine,artemether/lumefantrine,C0936150,artemether / lumefantrine,MIN
Ascorbic Acid,ascorbic acid,ascorbic acid,C0003968,ascorbic acid,IN
Ascorbic Acid/Calcium Carbonate,ascorbic acid/calcium carbonate,ascorbic acid/calcium carbonate,C3205127,ascorbic acid / calcium carbonate,MIN
Ascorbic Acid/Cholecalciferol/Vitamin A,ascorbic acid/cholecalciferol/vitamin a,ascorbic acid/cholecalciferol/vitamin a,C3464624,ascorbic acid / cholecalciferol / vitamin A,MIN
Ascorbic Acid/Cyanocobalamin/Folic Acid/Iron,ascorbic acid/cyanocobalamin/folic acid/iron,ascorbic acid/cyanocobalamin/folic acid/iron,C0003968,ascorbic acid,IN
Ascorbic Acid/Ferrous Sulfate/Folic Acid,ascorbic acid/ferrous sulfate/folic acid,ascorbic acid/ferrous sulfate/folic acid,C1874349,ascorbic acid / ferrous sulfate / folic acid,MIN
Ascorbic Acid/Folic Acid/Iron/Lactobacillus casei,ascorbic acid/folic acid/iron/lactobacillus casei,ascorbic acid/folic acid/iron/lactobacillus casei,C0003968,ascorbic acid,IN
Ascorbic Acid/Honey/Propolis/Vitamin A/Zinc,ascorbic acid/honey/propolis/vitamin a/zinc,ascorbic acid/honey/propolis/vitamin a/zinc,C0003968,ascorbic acid,IN
Ascorbic Acid/Inulin/Lactobacillus rhamnosus GG,ascorbic acid/inulin/lactobacillus rhamnosus gg,ascorbic acid/inulin/lactobacillus rhamnosus gg,C0003968,ascorbic acid,IN
Ascorbic Acid/Iron,ascorbic acid/iron,ascorbic acid/iron,C4688975,Ascor,BN
Ascorbic Acid/Iron/Succinic Acid,ascorbic acid/iron/succinic acid,ascorbic acid/iron/succinic acid,C4688975,Ascor,BN
Ascorbic Acid/Rose Hips,ascorbic acid/rose hips,ascorbic acid/rose hips,C4688975,Ascor,BN
Ascorbic Acid/Sodium,ascorbic acid/sodium,ascorbic acid/sodium,C4688975,Ascor,BN
Ascorbic Acid/Sodium Fluoride/Vitamin A/Vitamin D,ascorbic acid/sodium fluoride/vitamin a/vitamin d,ascorbic acid/sodium fluoride/vitamin a/vitamin d,C0003968,ascorbic acid,IN
Ascorbic Acid/Vitamin A/Vitamin D,ascorbic acid/vitamin a/vitamin d,ascorbic acid/vitamin a/vitamin d,C2928779,ascorbic acid / vitamin A / vitamin E,MIN
Asenapine,asenapine,asenapine,C2000088,asenapine,IN
Asfotase Alfa,asfotase alfa,asfotase alfa,C3490795,asfotase alfa,IN
Asparaginase Erwinia Chrysanthemi,asparaginase erwinia chrysanthemi,asparaginase erwinia chrysanthemi,C3255208,asparaginase Erwinia chrysanthemi,PIN
Asparaginase Erwinia Chrysanthemi Recombinant-rywn,asparaginase erwinia chrysanthemi recombinant-rywn,asparaginase erwinia chrysanthemi recombinant-rywn,C5539923,asparaginase Erwinia chrysanthemi (recombinant)-rywn,PIN
Aspirin,aspirin,aspirin,C0004057,aspirin,IN
Aspirin/Butalbital/Caffeine,aspirin/butalbital/caffeine,aspirin/butalbital/caffeine,C0936096,aspirin / butalbital / caffeine,MIN
Aspirin/Butalbital/Caffeine/Codeine Phosphate,aspirin/butalbital/caffeine/codeine phosphate,aspirin/butalbital/caffeine/codeine,C0004057,aspirin,IN
Aspirin/Caffeine/Orphenadrine Citrate,aspirin/caffeine/orphenadrine citrate,aspirin/caffeine/orphenadrine citrate,C0004057,aspirin,IN
Aspirin/Carisoprodol,aspirin/carisoprodol,aspirin/carisoprodol,C0717443,aspirin / carisoprodol,MIN
Aspirin/Carisoprodol/Codeine Phosphate,aspirin/carisoprodol/codeine phosphate,aspirin/carisoprodol/codeine,C2341042,Arisoprodol,BN
Aspirin/Oxycodone Hydrochloride,aspirin/oxycodone hydrochloride,aspirin/oxycodone,C0004057,aspirin,IN
Atazanavir Sulfate,atazanavir sulfate,atazanavir,C1176383,atazanavir sulfate,PIN
Atazanavir/Cobicistat,atazanavir/cobicistat,atazanavir/cobicistat,C3883388,atazanavir / cobicistat,MIN
Atenolol,atenolol,atenolol,C0004147,atenolol,IN
