raw_drug,query,matched_str,score,CUI,Preferred_STR,Preferred_TTY
APAP/DM Hydrobrom/Phenyleph HCl,apap/dm hydrobrom/phenyleph hcl,1 daytime acetaminophen 250 mg / dextromethorphan hbr 10 mg / guaifenesin 200 mg / phenylephrine hcl 5 mg oral / 1 nighttime acetaminophen 325 mg / dextromethorphan hbr 10 mg / doxylamine succinate 6 25 mg / phenylephrine hcl 5 mg oral pack,85.5,C4519855,1 daytime (acetaminophen 250 MG / dextromethorphan HBr 10 MG / guaiFENesin 200 MG / phenylephrine HCl 5 MG Oral Capsule) / 1 nighttime (acetaminophen 325 MG / dextromethorphan HBr 10 MG / doxylamine succinate 6.25 MG / phenylephrine HCl 5 MG Oral Capsule) Pack,PSN
"Applicator, Bottle",applicator bottle,180 danicopan 100 mg oral voydeya pack voydeya 200 mg dose bottle,85.5,C5910321,{180 (danicopan 100 MG Oral Tablet [Voydeya]) } Pack [Voydeya 200 MG Dose Bottle],BPCK
Bahia Allergen Extract,bahia allergen extract,basil allergenic extract,86.95652173913044,C2740585,basil allergenic extract,IN
Balanced Salt Solution,balanced salt,1 2-dimyristoyl-sn-glycero-3- phospho-rac- 1-glycerol salt,85.5,C3848563,"1,2-dimyristoyl-sn-glycero-3-(phospho-rac-(1-glycerol)) (sodium salt)",PIN
"Bean, Fava/Pea",bean fava/pea,/ /,85.5,C2928724,magnesium sulfate / potassium sulfate / sodium sulfate,MIN
Beta Glucan,beta glucan,0 3 ml methoxy polyethylene glycol-epoetin beta 0 1 mg/ml prefilled syringe,85.5,C4238813,0.3 ML methoxy polyethylene glycol-epoetin beta 0.1 MG/ML Prefilled Syringe,SCD
Betula nigra Allergen Extract,betula nigra allergen extract,betula nigra pollen extract,89.28571428571429,C2701351,Betula nigra pollen extract,SY
Bitterness Masking Agent,bitterness masking agent,ting,73.28571428571429,C0723760,Ting,BN
Boricum Acidum,boricum acidum,boric acid,83.33333333333334,C0006020,boric acid,IN
Ca Cl/K Cl/Na Cl,ca cl/k cl/na cl,/ /,85.5,C2928724,magnesium sulfate / potassium sulfate / sodium sulfate,MIN
Ca Cl/K Cl/Na Cl/Na Lact,ca cl/k cl/na cl/na lact,alka-mints 850 mg ca 340 mg chewable,85.5,C0715298,Alka-Mints 850 MG (Ca 340 MG) Chewable Tablet,PSN
Ca Cl/Mg Cl/K Cl/Na Ace/Na Cl/Na Cit,ca cl/mg cl/k cl/na ace/na cl/na cit,1 gm ca 250 mg oral,85.5,C0785722,calcium acetate 1 GM (Ca 250 MG) Oral Tablet,PSN
Caprylic/Capric Triglyceride,caprylic/capric triglyceride,caprylic-capric-lauric triglyceride,85.71428571428572,C3499861,caprylic-capric-lauric triglyceride,IN
Carya illinoinensis Pollen Allergen Extract,carya illinoinensis pollen allergen extract,carya illinoinensis allergenic extract,88.88888888888889,C2730104,Carya illinoinensis allergenic extract,SY
Catheter,catheter,ether,80.0,C0014994,ether,SY
"Cholera Vaccine, Live",cholera vaccine live,0 25 ml sars-cov-2 covid-19 vaccine mrna-1273 omicron kp 2 0 1 mg/ml prefilled syringe,85.5,C5941863,"0.25 ML SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 OMICRON (KP.2) 0.1 MG/ML Prefilled Syringe",SCD
Cleanser and Moisturizer,cleanser and moisturizer,1 0 18 oz benzocaine 7 5 oral gel orajel / 1 0 18 oz benzocaine 10 oral gel orajel pack orajel daytime and nighttime formula,85.5,C2961755,{1 (0.18 OZ) (benzocaine 7.5 % Oral Gel [Orajel]) / 1 (0.18 OZ) (benzocaine 10 % Oral Gel [Orajel]) } Pack [Orajel Daytime and Nighttime Formula],SY
"Cleanser;Cream, Multi Ingredient",cleanser multi ingredient,advantage multi,85.5,C3282532,Advantage Multi,BN
Color Additive,color additive,addyi,76.0,C4051421,Addyi,BN
Condom,condom,condoliase,81.81818181818181,C3273430,condoliase,IN
"Container, Evacuated",container evacuated,corn,77.14285714285715,C0790024,corn syrup,IN
"COVID-19 Vaccine, Adenovirus 26 Vector (Janssen)",covid-19 vaccine adenovirus 26 vector janssen,0 25 ml sars-cov-2 covid-19 vaccine mrna-1273 omicron kp 2 0 1 mg/ml prefilled syringe,85.5,C5941863,"0.25 ML SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 OMICRON (KP.2) 0.1 MG/ML Prefilled Syringe",SCD
"COVID-19 Vaccine, mRNA Bivalent (Moderna)",covid-19 vaccine mrna bivalent moderna,0 25 ml sars-cov-2 covid-19 vaccine mrna-1273 omicron kp 2 0 1 mg/ml prefilled syringe,85.5,C5941863,"0.25 ML SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 OMICRON (KP.2) 0.1 MG/ML Prefilled Syringe",SCD
"COVID-19 Vaccine, mRNA Bivalent (Pfizer)",covid-19 vaccine mrna bivalent pfizer,0 25 ml sars-cov-2 covid-19 vaccine mrna-1273 omicron kp 2 0 1 mg/ml prefilled syringe,85.5,C5941863,"0.25 ML SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 OMICRON (KP.2) 0.1 MG/ML Prefilled Syringe",SCD
"Cream, Multi Ingredient",multi ingredient,advantage multi for cats 10 / 1 topical,85.5,C3464921,advantage multi for cats 10 % / 1 % Topical Solution,PSN
"Cream, Multi Ingredient;Gel, Multi Ingredient",multi ingredient gel multi ingredient,1 0 1 oz benzoyl peroxide 5 topical gel clear proof acne treatment / 1 1 oz salicylic acid 2 medicated liquid soap clear proof acne medication / 1 0 9 fl oz salicylic acid 2 topical clear proof acne medication pack clear proof acne to-go system,85.5,C3818190,{1 (0.1 OZ.) (Benzoyl Peroxide 5 % Topical Gel [Clear Proof Acne Treatment]) / 1 (1 OZ.) (Salicylic Acid 2 % Medicated Liquid Soap [Clear Proof Acne Medication]) / 1 (0.9 FL. OZ.) (Salicylic Acid 2 % Topical Solution [Clear Proof Acne Medication]) } Pack [Clear Proof Acne To-Go System],SY
"Cutter, Syringe And Needle",cutter syringe and needle,0 05 ml aflibercept 40 mg/ml prefilled syringe,85.5,C5943823,0.05 ML aflibercept 40 MG/ML Prefilled Syringe,SCD
Diabetic Supplies,diabetic supplies,capsaicin / menthol topical zostrix diabetic joint arthritis pain relief,85.5,C3265582,capsaicin / menthol Topical Cream [Zostrix Diabetic Joint & Arthritis Pain Relief],SBDF
Diaphragm,diaphragm,apara,72.0,C0718611,Apara,BN
Digestants,digestants,digex,80.0,C1656480,Digex,BN
Digital Therapeutics,digital therapeutics,digitalin,78.75,C0058012,digitalin,IN
Diphencyprone,diphencyprone,di-phen,83.07692307692308,C0719856,Di-Phen,BN
Disinfectant Prep Pad,disinfectant prep pad,/ silver medicated pad styptstix,85.5,C3819697,potassium nitrate / silver nitrate Medicated Pad [Styptstix],SBDF
"Dispenser, Syringe And Needle",dispenser syringe and needle,0 05 ml aflibercept 40 mg/ml prefilled syringe,85.5,C5943823,0.05 ML aflibercept 40 MG/ML Prefilled Syringe,SCD
DM Hydrobrom/Phenyleph HCl,dm hydrobrom/phenyleph hcl,1 daytime acetaminophen 320 mg / dextromethorphan hbr 5 mg in 10 ml oral / 1 nighttime acetaminophen 325 mg / diphenhydramine hcl 12 5 mg in 10 ml oral pack,85.5,C5943906,1 daytime (acetaminophen 320 MG / dextromethorphan HBr 5 MG in 10 mL Oral Suspension) / 1 nighttime (acetaminophen 325 MG / diphenhydrAMINE HCl 12.5 MG in 10 mL Oral Suspension) Pack,PSN
DM Hydrobrom/Phenyleph HCl/Pyril Mal,dm hydrobrom/phenyleph hcl/pyril mal,bromfed dm,85.5,C0719004,Bromfed DM,BN
"Dressing, Gauze",dressing gauze,nfz wound dressing 0 2 topical,85.5,C3643275,NFZ Wound Dressing 0.2 % Topical Ointment,PSN
"Dressing, Transparent, Occlusive",dressing transparent occlusive,vanspar,77.14285714285715,C1617759,Vanspar,BN
DSS;Prenatal Vitamins,dss prenatal vitamins,prenatal rx 1,85.5,C1657844,Prenatal Rx 1,BN
DTaP Vaccine,dtap vaccine,0 25 ml sars-cov-2 covid-19 vaccine mrna-1273 omicron kp 2 0 1 mg/ml prefilled syringe,85.5,C5941863,"0.25 ML SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 OMICRON (KP.2) 0.1 MG/ML Prefilled Syringe",SCD
"DTaP, Hepatitis B, and Polio Vaccine",dtap hepatitis b and polio vaccine,0 1 ml influenza a virus a/california/7/2009 h1n1 antigen 0 09 mg/ml / influenza a virus a/hong kong/4801/2014 h3n2 antigen 0 09 mg/ml / influenza b virus b/brisbane/60/2008 antigen 0 09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0 09 mg/ml prefilled syringe,85.5,C4271600,0.1 ML influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML Prefilled Syringe,SCD
"DTaP, Hepatitis B, Polio and Haemophilus B Vaccine",dtap hepatitis b polio and haemophilus b vaccine,0 1 ml influenza a virus a/california/7/2009 h1n1 antigen 0 09 mg/ml / influenza a virus a/hong kong/4801/2014 h3n2 antigen 0 09 mg/ml / influenza b virus b/brisbane/60/2008 antigen 0 09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0 09 mg/ml prefilled syringe,85.5,C4271600,0.1 ML influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML Prefilled Syringe,SCD
Elect;Elect;Elect;Elect,elect elect elect elect,alpha tocopherol / ascorbic acid / cholecalciferol / docosahexaenoate / docusate / ferrous / folic acid / pyridoxine / tricalcium oral nexa select,85.5,C3486120,alpha tocopherol / ascorbic acid / cholecalciferol / docosahexaenoate / docusate / ferrous fumarate / folic acid / pyridoxine / tricalcium phosphate Oral Capsule [Nexa Select],SBDF
"Emulsion, Multi Ingredient",emulsion multi ingredient,100 ml propofol lipid emulsion 10 mg/ml,85.5,C5442657,100 ML propofol lipid emulsion 10 MG/ML Injection,SCD
Female Condom,female condom,corn,73.28571428571429,C0790024,corn syrup,IN
Flavocoxid,flavocoxid,oxide,80.0,C0064990,calcium oxide,IN
Flavoring Aid,flavoring aid,8-1 marvel aid 0 507 mg/ml oral,85.5,C2746301,8-1 Marvel Aid 0.507 MG/ML Oral Solution,SY
"Formula, Infant",formula infant,acetaminophen / aspirin / caffeine oral anacin advanced headache formula,85.5,C1949387,acetaminophen / aspirin / caffeine Oral Tablet [Anacin Advanced Headache Formula],SBDF
Forskohlii/HC Ace/Lido HCl,forskohlii/hc ace/lido hcl,1 daytime acetaminophen 320 mg / dextromethorphan hbr 5 mg in 10 ml oral / 1 nighttime acetaminophen 325 mg / diphenhydramine hcl 12 5 mg in 10 ml oral pack,85.5,C5943906,1 daytime (acetaminophen 320 MG / dextromethorphan HBr 5 MG in 10 mL Oral Suspension) / 1 nighttime (acetaminophen 325 MG / diphenhydrAMINE HCl 12.5 MG in 10 mL Oral Suspension) Pack,PSN
Grass Pollen Extract Combination,grass pollen extract combination,1 0 32 oz miconazole 2 vaginal monistat / 3 miconazole 200 mg vaginal insert monistat pack monistat 3 day ovule combination pack,85.5,C2732060,{1 (0.32 OZ) (miconazole nitrate 2 % Vaginal Cream [Monistat]) / 3 (miconazole nitrate 200 MG Vaginal Insert [Monistat]) } Pack [Monistat 3 Day Ovule Combination Pack],SY
Haemophilus B Conjugate Vaccine/Tetanus Toxoid,haemophilus b conjugate vaccine/tetanus toxoid,haemophilus b conjugate vaccine tetanus toxoid conjugate hib generic for acthib 0 5 ml,88.04347826086956,C3474207,Haemophilus b conjugate vaccine (tetanus toxoid conjugate) (Hib generic for ActHIB) 0.5 mL Injection,PSN
"Hep A Vac, Inactivated/Hep B Vac Recombinant",hep a vac inactivated/hep b vac recombinant,0 1 ml influenza a virus a/california/7/2009 h1n1 antigen 0 09 mg/ml / influenza a virus a/hong kong/4801/2014 h3n2 antigen 0 09 mg/ml / influenza b virus b/brisbane/60/2008 antigen 0 09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0 09 mg/ml prefilled syringe,85.5,C4271600,0.1 ML influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML Prefilled Syringe,SCD
"HPV Vac Recomb Quadrivalent (Types 6, 11, 16, 18)",hpv vac recomb quadrivalent types 6 11 16 18,0 044 meq/ml / cysteine 0 2 mg/ml / histidine 2 5 mg/ml / isoleucine 5 6 mg/ml / leucine 8 8 mg/ml / lysine 9 mg/ml / methionine 8 8 mg/ml / phenylalanine 8 8 mg/ml / bisulfite 0 5 mg/ml / chloride 0 005 meq/ml / threonine 4 mg/ml / tryptophan 2 mg/ml / valine 6 4 mg/ml injectable,85.5,C2345740,acetate 0.044 MEQ/ML / cysteine 0.2 MG/ML / histidine 2.5 MG/ML / isoleucine 5.6 MG/ML / leucine 8.8 MG/ML / lysine 9 MG/ML / methionine 8.8 MG/ML / phenylalanine 8.8 MG/ML / sodium bisulfite 0.5 MG/ML / sodium chloride 0.005 MEQ/ML / threonine 4 MG/ML / tryptophan 2 MG/ML / valine 6.4 MG/ML Injectable Solution,SCD
"HPV Vaccine Recombinant Bivalent (Types 16, 18)",hpv vaccine recombinant bivalent types 16 18,0 16 meq/ml,85.5,C2723480,magnesium sulfate 0.16 MEQ/ML,SCDC
Humidifier,humidifier,fiber,80.0,C0225326,fiber,IN
Hydrophilic Ointment,hydrophilic,hydrisalic,76.19047619047619,C0720932,Hydrisalic,BN
Immune Globulin Bovine,immune globulin bovine,0 5 ml hepatitis b immune globulin 217 unt/ml prefilled syringe,85.5,C2369165,0.5 ML hepatitis B immune globulin 217 UNT/ML Prefilled Syringe,SCD
Immune Globulin-hipp,immune globulin-hipp,0 5 ml hepatitis b immune globulin 217 unt/ml prefilled syringe,85.5,C2369165,0.5 ML hepatitis B immune globulin 217 UNT/ML Prefilled Syringe,SCD
Immune Globulin-ifas,immune globulin-ifas,0 5 ml hepatitis b immune globulin 217 unt/ml prefilled syringe,85.5,C2369165,0.5 ML hepatitis B immune globulin 217 UNT/ML Prefilled Syringe,SCD
Immune Globulin-klhw,immune globulin-klhw,0 5 ml hepatitis b immune globulin 217 unt/ml prefilled syringe,85.5,C2369165,0.5 ML hepatitis B immune globulin 217 UNT/ML Prefilled Syringe,SCD
Influenza Virus Vaccine (Subvirion),influenza virus vaccine subvirion,0 25 ml influenza a virus a/brisbane/02/2018 h1n1 antigen 0 03 mg/ml / influenza a virus a/kansas/14/2017 h3n2 antigen 0 03 mg/ml / influenza b virus b/maryland/15/2016 antigen 0 03 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0 03 mg/ml prefilled syringe,85.5,C5187856,0.25 ML influenza A virus A/Brisbane/02/2018 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Kansas/14/2017 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML Prefilled Syringe,SCD
Influenza Virus Vaccine Recombinant,influenza virus vaccine recombinant,0 1 ml influenza a virus a/california/7/2009 h1n1 antigen 0 09 mg/ml / influenza a virus a/hong kong/4801/2014 h3n2 antigen 0 09 mg/ml / influenza b virus b/brisbane/60/2008 antigen 0 09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0 09 mg/ml prefilled syringe,85.5,C4271600,0.1 ML influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML Prefilled Syringe,SCD
"Influenza Virus Vaccine, Adjuvanted",influenza virus vaccine adjuvanted,0 1 ml influenza a virus a/california/7/2009 h1n1 antigen 0 09 mg/ml / influenza a virus a/hong kong/4801/2014 h3n2 antigen 0 09 mg/ml / influenza b virus b/brisbane/60/2008 antigen 0 09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0 09 mg/ml prefilled syringe,85.5,C4271600,0.1 ML influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML Prefilled Syringe,SCD
"Influenza Virus Vaccine, Inactivated",influenza virus vaccine inactivated,0 1 ml influenza a virus a/california/7/2009 h1n1 antigen 0 09 mg/ml / influenza a virus a/hong kong/4801/2014 h3n2 antigen 0 09 mg/ml / influenza b virus b/brisbane/60/2008 antigen 0 09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0 09 mg/ml prefilled syringe,85.5,C4271600,0.1 ML influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML Prefilled Syringe,SCD
"Infusion Pump, Parenteral",infusion pump parenteral,androgel 1 12 5 mg/actuat transdermal gel pump 60 actuat,85.5,C3853714,"AndroGel 1 % (12.5 MG/ACTUAT) Transdermal Gel Pump, 60 ACTUAT",SY
"Insulin Aspart, Recombinant",insulin aspart recombinant,0 5 ml asparaginase erwinia chrysanthemi recombinant -rywn 20 mg/ml,85.5,C5540557,0.5 ML asparaginase Erwinia chrysanthemi (recombinant)-rywn 20 MG/ML Injection,SCD
Insulin Human Inhaled,insulin human inhaled,0 5 ml rho d immune globulin human 1200 unt/ml,85.5,C4082967,"0.5 ML Rho(D) immune globulin, human 1200 UNT/ML Injection",SCD
Insulin Human Inhaled;Insulin Human Inhaled,insulin human inhaled insulin human inhaled,0 5 ml human papillomavirus type 16 l1 capsid protein residues 2-471 vaccine 0 04 mg/ml / human papillomavirus type 18 l1 capsid protein residues 2-472 vaccine 0 04 mg/ml prefilled syringe,85.5,C2723808,"0.5 ML human papillomavirus type 16, L1 capsid protein (residues 2-471) vaccine 0.04 MG/ML / human papillomavirus type 18, L1 capsid protein (residues 2-472) vaccine 0.04 MG/ML Prefilled Syringe",SCD
Insulin Human Inhaled;Insulin Human Inhaled;Insuli,insulin human inhaled insulin human inhaled insuli,0 5 ml human papillomavirus type 16 l1 capsid protein residues 2-471 vaccine 0 04 mg/ml / human papillomavirus type 18 l1 capsid protein residues 2-472 vaccine 0 04 mg/ml prefilled syringe,85.5,C2723808,"0.5 ML human papillomavirus type 16, L1 capsid protein (residues 2-471) vaccine 0.04 MG/ML / human papillomavirus type 18, L1 capsid protein (residues 2-472) vaccine 0.04 MG/ML Prefilled Syringe",SCD
Insulin Syringe/Needle,insulin syringe/needle,/ /,85.5,C2928724,magnesium sulfate / potassium sulfate / sodium sulfate,MIN
Insulin Syringe/Needles,insulin syringe/needles,/ /,85.5,C2928724,magnesium sulfate / potassium sulfate / sodium sulfate,MIN
Iva annua Allergen Extract,iva annua allergen extract,iva annua pollen extract,88.0,C2701629,Iva annua pollen extract,SY
Johnson Grass Allergen Extract,johnson grass allergen extract,johnson grass pollen extract,89.65517241379311,C2701339,Johnson grass pollen extract,IN
"Kit, Feeding (Enteral)",kit feeding enteral,1 0 1 ml diazepam 100 mg/ml nasal valtoco pack valtoco 10 mg dose kit,85.5,C5203202,{1 (0.1 ML) (diazepam 100 MG/ML Nasal Spray [Valtoco]) } Pack [Valtoco 10 MG Dose Kit],BPCK
Laboratory Tests and/or Supplies,laboratory tests and/or supplies,borate,75.00000000000001,C0074727,sodium borate,PIN
Lactobacillus Combination,lactobacillus combination,1 0 32 oz miconazole 2 vaginal monistat / 3 miconazole 200 mg vaginal insert monistat pack monistat 3 day ovule combination pack,85.5,C2732060,{1 (0.32 OZ) (miconazole nitrate 2 % Vaginal Cream [Monistat]) / 3 (miconazole nitrate 200 MG Vaginal Insert [Monistat]) } Pack [Monistat 3 Day Ovule Combination Pack],SY
Lamb s Quarter Allergen Extract,lamb s quarter allergen extract,lambs quarters pollen extract,86.66666666666667,C2701435,lambs quarters pollen extract,IN
Lancet,lancet,acetaminophen / hydrocodone oral dolacet,81.81818181818181,C1240589,acetaminophen / HYDROcodone Oral Capsule [Dolacet],TMSY
Lancet Device,lancet device,norplant 85 mcg/day intrauterine device,85.5,C0697738,Norplant 85 MCG/Day Intrauterine Device,SY
Leptospermum Honey,leptospermum honey,european honey bee venom protein,85.5,C0877777,European honey bee venom protein,IN
"Lozenge, Multi Ingredient",lozenge multi ingredient,aconite / codeine / erysimum preparation lozenge product,85.5,C3465520,aconite / codeine / Erysimum preparation Lozenge Product,SCDG
"Mask, Face",mask face,4 face up benzoyl peroxide 10 / sulfur 4 topical gel,85.5,C1586113,4 Face Up (benzoyl peroxide 10 % / sulfur 4 % ) Topical Gel,SY
Medical Food,medical food,c i food yellow 3 free acid,85.5,C3537689,C.I. food yellow 3 (free acid),IN
Meningococcal Oligosaccharide Vac Diphtheria Conj,meningococcal oligosaccharide vac diphtheria conj,0 5 ml acellular pertussis vaccine inactivated 0 116 mg/ml / diphtheria toxoid vaccine inactivated 50 unt/ml / poliovirus vaccine inactivated type 1 mahoney 80 unt/ml / poliovirus vaccine inactivated type 2 mef-1 16 unt/ml / poliovirus vaccine inactivated type 3 saukett 64 unt/ml / tetanus toxoid vaccine inactivated 20 unt/ml prefilled syringe,85.5,C2586840,"0.5 ML acellular pertussis vaccine, inactivated 0.116 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Prefilled Syringe",SCD
Meningococcal Polysaccharide Vac Diphtheria Conj,meningococcal polysaccharide vac diphtheria conj,0 5 ml acellular pertussis vaccine inactivated 0 116 mg/ml / diphtheria toxoid vaccine inactivated 50 unt/ml / poliovirus vaccine inactivated type 1 mahoney 80 unt/ml / poliovirus vaccine inactivated type 2 mef-1 16 unt/ml / poliovirus vaccine inactivated type 3 saukett 64 unt/ml / tetanus toxoid vaccine inactivated 20 unt/ml prefilled syringe,85.5,C2586840,"0.5 ML acellular pertussis vaccine, inactivated 0.116 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Prefilled Syringe",SCD
"Meningococcal Vac, Tetanus Conjugate, Quadrivalent",meningococcal vac tetanus conjugate quadrivalent,0 1 ml influenza a virus a/california/7/2009 h1n1 antigen 0 09 mg/ml / influenza a virus a/hong kong/4801/2014 h3n2 antigen 0 09 mg/ml / influenza b virus b/brisbane/60/2008 antigen 0 09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0 09 mg/ml prefilled syringe fluzone quadrivalent 2016-2017,85.5,C4270829,0.1 ML influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML Prefilled Syringe [Fluzone Quadrivalent 2016-2017],SBD
"Meter, Peak Flow, Spirometry",meter peak flow spirometry,metryl,81.81818181818181,C0721697,Metryl,BN
Mg Sulf/K Cl/Na Sulf,mg sulf/k cl/na sulf,/ /,85.5,C2928724,magnesium sulfate / potassium sulfate / sodium sulfate,MIN
