raw_drug,query,matched_str,score,CUI,Preferred_STR,Preferred_TTY
Betula nigra Allergen Extract,betula nigra allergen extract,beta vulgaris pollen extract 0 001 gm/ml injectable,85.5,C4734865,Beta vulgaris pollen extract 0.001 GM/ML Injectable Solution,SY
Boricum Acidum,boricum acidum,boric acid,83.33333333333334,C0006020,boric acid,IN
Ca Carbonate/Cu/Mg/Mn/Vit D/Zinc,ca carbonate/cu/mg/mn/vit d/zinc,ca 2+,85.5,C0596235,Ca 2+,SY
"Ca Carbonate/Flavoring Aid/Food Starch, Modified/S",ca carbonate/flavoring aid/food starch modified/s,ca 240 mg / cu 0 8 mg / docusate sodium 50 mg / fe 7 38 mg / mg 15 075 mg / vitamin a 3 500 unt / vitamin b1 2mg / vitamin b2 3 mg / vitamin b6 3 mg / vitamin b9 1 mg / vitamin b12 0 012 mg / vitamin c 60 mg / vitamin d 400 unt / vitamin e 30 unt / zn 4 54 mg chewable 91 pack count,85.5,C2729634,"Ca 240 MG / Cu 0.8 MG / docusate sodium 50 MG / Fe 7.38 MG / Mg 15.075 MG / vitamin A 3,500 UNT / vitamin B1 2MG / vitamin B2 3 MG / vitamin B6 3 MG / vitamin B9 1 MG / vitamin B12 0.012 MG / vitamin C 60 MG / vitamin D 400 UNT / vitamin E 30 UNT / Zn 4.54 MG Chewable Tablet, 91 Pack Count",SY
Ca Cl/K Cl/Na Cl,ca cl/k cl/na cl,ca 2+,85.5,C0596235,Ca 2+,SY
Ca Cl/K Cl/Na Cl/Na Lact,ca cl/k cl/na cl/na lact,ca 2+,85.5,C0596235,Ca 2+,SY
Ca Cl/Mg Cl/K Cl/Na Ace/Na Cl/Na Cit,ca cl/mg cl/k cl/na ace/na cl/na cit,ca 2+,85.5,C0596235,Ca 2+,SY
Ca Oxybate/Mg Oxybate/K Oxybate/Na Oxybate,ca oxybate/mg oxybate/k oxybate/na oxybate,ca 240 mg / cu 0 8 mg / docusate sodium 50 mg / fe 7 38 mg / mg 15 075 mg / vitamin a 3 500 unt / vitamin b1 2mg / vitamin b2 3 mg / vitamin b6 3 mg / vitamin b9 1 mg / vitamin b12 0 012 mg / vitamin c 60 mg / vitamin d 400 unt / vitamin e 30 unt / zn 4 54 mg chewable 91 pack count,85.5,C2729634,"Ca 240 MG / Cu 0.8 MG / docusate sodium 50 MG / Fe 7.38 MG / Mg 15.075 MG / vitamin A 3,500 UNT / vitamin B1 2MG / vitamin B2 3 MG / vitamin B6 3 MG / vitamin B9 1 MG / vitamin B12 0.012 MG / vitamin C 60 MG / vitamin D 400 UNT / vitamin E 30 UNT / Zn 4.54 MG Chewable Tablet, 91 Pack Count",SY
Caprylic/Capric Triglyceride,caprylic/capric triglyceride,caprylic-capric-lauric triglyceride,85.71428571428572,C3499861,caprylic-capric-lauric triglyceride,IN
Carboxymethylcellulose Na/Glycerin/Polysorbate 80,carboxymethylcellulose na/glycerin/polysorbate 80,carbonate 200 mg 80 mg oral,85.5,C0789776,calcium carbonate 200 MG (calcium 80 MG) Oral Capsule,SY
Chlorcyclizine HCl/Phenyleph HCl,chlorcyclizine hcl/phenyleph hcl,chlophedianol / chlorcyclizine / phenylephrine chewable,85.5,C3245115,chlophedianol / chlorcyclizine / phenylephrine Chewable Tablet,SCDF
Chlorcyclizine HCl/PSE HCl,chlorcyclizine hcl/pse hcl,chlophedianol / chlorcyclizine / phenylephrine,85.5,C3245116,chlophedianol / chlorcyclizine / phenylephrine,MIN
Chloroxylenol/HC/Pramoxine HCl,chloroxylenol/hc/pramoxine hcl,chlophedianol hcl 12 5 mg / chlorcyclizine hcl 12 5 mg in 5 ml oral,85.5,C3255345,chlophedianol HCl 12.5 MG / chlorcyclizine HCl 12.5 MG in 5 mL Oral Solution,PSN
Chlorpheniramine Mal/Codeine Phos/Phenyleph HCl,chlorpheniramine mal/codeine phos/phenyleph hcl,chlophedianol hcl 12 5 mg / dexbrompheniramine maleate 1 mg / phenylephrine hcl 5 mg in 5 ml oral,85.5,C2724604,chlophedianol HCl 12.5 MG / dexbrompheniramine maleate 1 MG / phenylephrine HCl 5 MG in 5 mL Oral Solution,PSN
Chlorpheniramine Mal/Codeine Phos/PSE HCl,chlorpheniramine mal/codeine phos/pse hcl,chlophedianol / chlorpheniramine / phenylephrine oral liquid product,85.5,C3267236,chlophedianol / chlorpheniramine / phenylephrine Oral Liquid Product,SCDG
Chlorpheniramine Mal/DM Hydrobrom,chlorpheniramine mal/dm hydrobrom,chlophedianol / chlorpheniramine / phenylephrine oral,85.5,C3267238,chlophedianol / chlorpheniramine / phenylephrine Oral Suspension,SCDF
Chlorpheniramine Mal/DM Hydrobrom/guaiFENesin/Phen,chlorpheniramine mal/dm hydrobrom/guaifenesin/phen,chlophedianol hcl 24 mg / chlorpheniramine maleate 3 5 mg / phenylephrine hcl 10 mg oral,85.5,C3644416,chlophedianol HCl 24 MG / chlorpheniramine maleate 3.5 MG / phenylephrine HCl 10 MG Oral Tablet,PSN
Chlorpheniramine Mal/DM Hydrobrom/Phenyleph HCl,chlorpheniramine mal/dm hydrobrom/phenyleph hcl,chlophedianol hcl 12 5 mg / dexbrompheniramine maleate 1 mg / phenylephrine hcl 5 mg in 5 ml oral,85.5,C2724604,chlophedianol HCl 12.5 MG / dexbrompheniramine maleate 1 MG / phenylephrine HCl 5 MG in 5 mL Oral Solution,PSN
Chlorpheniramine Mal/DM Hydrobrom/PSE HCl,chlorpheniramine mal/dm hydrobrom/pse hcl,chlophedianol / chlorpheniramine / phenylephrine oral liquid product,85.5,C3267236,chlophedianol / chlorpheniramine / phenylephrine Oral Liquid Product,SCDG
Chlorpheniramine Mal/Ibuprofen/Phenyleph HCl,chlorpheniramine mal/ibuprofen/phenyleph hcl,chlophedianol / chlorpheniramine / phenylephrine oral liquid product,85.5,C3267236,chlophedianol / chlorpheniramine / phenylephrine Oral Liquid Product,SCDG
Chlorpheniramine Mal/Ibuprofen/PSE HCl,chlorpheniramine mal/ibuprofen/pse hcl,chlophedianol / chlorpheniramine / phenylephrine oral liquid product,85.5,C3267236,chlophedianol / chlorpheniramine / phenylephrine Oral Liquid Product,SCDG
Chlorpheniramine Mal/Phenyleph HCl,chlorpheniramine mal/phenyleph hcl,chlophedianol / chlorpheniramine / phenylephrine oral,85.5,C3267238,chlophedianol / chlorpheniramine / phenylephrine Oral Suspension,SCDF
Chlorpheniramine Mal/Phenyleph HCl/Pyril Mal,chlorpheniramine mal/phenyleph hcl/pyril mal,chlophedianol / chlorpheniramine / phenylephrine oral liquid product,85.5,C3267236,chlophedianol / chlorpheniramine / phenylephrine Oral Liquid Product,SCDG
Chlorpheniramine Mal/PSE HCl,chlorpheniramine mal/pse hcl,chlophedianol / chlorpheniramine / phenylephrine,85.5,C3267239,chlophedianol / chlorpheniramine / phenylephrine,MIN
Chlorpheniramine Maleate/Codeine Phosphate,chlorpheniramine maleate/codeine phosphate,chlophedianol / chlorpheniramine / phenylephrine oral liquid product,85.5,C3267236,chlophedianol / chlorpheniramine / phenylephrine Oral Liquid Product,SCDG
Chlorpheniramine Polistirex/Codeine Polistirex,chlorpheniramine polistirex/codeine polistirex,chlophedianol / chlorpheniramine / pseudoephedrine oral liquid product,85.5,C3244427,chlophedianol / chlorpheniramine / pseudoephedrine Oral Liquid Product,SCDG
Chlorpheniramine Polistirex/Hydrocodone Polistirex,chlorpheniramine polistirex/hydrocodone polistirex,chlophedianol hcl 24 mg / chlorpheniramine maleate 3 5 mg / phenylephrine hcl 10 mg oral,85.5,C3644416,chlophedianol HCl 24 MG / chlorpheniramine maleate 3.5 MG / phenylephrine HCl 10 MG Oral Tablet,PSN
Cleanser and Moisturizer,cleanser and moisturizer,cleanse and treat benzoyl peroxide 5 medicated pad 1 / salicylic acid 2 medicated pad 1 pack,85.5,C2344116,Cleanse and Treat (benzoyl peroxide 5 % Medicated Pad (1) / salicylic acid 2 % Medicated Pad (1) ) Pack,SY
"Cleanser;Cream, Multi Ingredient",cleanser multi ingredient,clearskin blackhead eliminating 2 foaming cleanser,85.5,C2961636,Clearskin Blackhead Eliminating 2 % Foaming Cleanser,SY
Coagulation Factor VIIa-jncw,coagulation factor viia-jncw,coagulation factor vii,88.0,C0015502,coagulation factor VII,SY
Coenzyme Q10/Vitamin E,coenzyme q10/vitamin e,coenzyme a,85.5,C0009226,coenzyme A,IN
Colloidal Sulfur/Sulfacetamide Sodium,colloidal sulfur/sulfacetamide sodium,colace w/sennosides docusate sodium 50 mg / sennosides usp 8 6 mg oral,85.5,C4317630,"Colace w/Sennosides (docusate sodium 50 MG / sennosides, USP 8.6 MG) Oral Tablet",SY
Condom,condom,condoliase,81.81818181818181,C3273430,condoliase,IN
Contact Lens Product,contact lens product,conazol miconazole topical product,85.5,C4765245,Conazol Miconazole Topical Product,SBDG
Cyanocobalamin;Isopropyl Alcohol,cyanocobalamin isopropyl alcohol,cyanocobalamin 0 0025 mg/ml / thiamine 1 1 mg/ml oral,85.5,C0976013,cyanocobalamin 0.0025 MG/ML / thiamine 1.1 MG/ML Oral Solution,SY
Cyanocobalamin/Folic Acid,cyanocobalamin/folic acid,cyanocobalamin 0 1 mg / folic acid 0 4 mg / vitamin b6 50 mg oral,85.5,C2365955,cyanocobalamin 0.1 MG / folic acid 0.4 MG / vitamin B6 50 MG Oral Tablet,SY
Cyanocobalamin/Folic Acid/Iron Polysaccharide,cyanocobalamin/folic acid/iron polysaccharide,cyanocobalamin 25 mcg / folic acid 1 mg / heme iron polypeptide 6 mg / polysaccharide iron complex 22 mg oral,85.5,C2912049,cyanocobalamin 25 MCG / folic acid 1 MG / heme iron polypeptide 6 MG / polysaccharide iron complex 22 MG Oral Tablet,SY
Cyanocobalamin/Salcaprozate Sodium,cyanocobalamin/salcaprozate sodium,cyanocobalamin 12 mcg / docusate sodium 50 mg / folic acid 1 mg / iron carbonyl 90 mg / vitamin c 120 mg oral,85.5,C2609991,cyanocobalamin 12 MCG / docusate sodium 50 MG / folic acid 1 MG / iron carbonyl 90 MG / vitamin C 120 MG Oral Tablet,SY
Dextromethorphan Hydrobromide/Doxylamine Succinate,dextromethorphan hydrobromide/doxylamine succinate,dexbrompheniramine / dextromethorphan / guaifenesin / phenylephrine oral liquid product,85.5,C3211094,dexbrompheniramine / dextromethorphan / guaifenesin / phenylephrine Oral Liquid Product,SCDG
Dextromethorphan Hydrobromide/Guaifenesin,dextromethorphan hydrobromide/guaifenesin,dexbrompheniramine maleate / dextromethorphan hydrobromide / guaifenesin / phenylephrine hydrochloride oral,85.60975609756098,C5837978,dexbrompheniramine maleate / dextromethorphan hydrobromide / guaifenesin / phenylephrine hydrochloride Oral Solution,SCDFP
Dextromethorphan Hydrobromide/Pyrilamine Maleate,dextromethorphan hydrobromide/pyrilamine maleate,dexbrompheniramine / dextromethorphan / guaifenesin / phenylephrine oral,85.5,C2978517,dexbrompheniramine / dextromethorphan / guaifenesin / phenylephrine Oral Solution,SCDF
Dextromethorphan Hydrobromide/Quinidine Sulfate,dextromethorphan hydrobromide/quinidine sulfate,dexamethasone 0 1 / neomycin as neomycin sulfate 0 35 / polymyxin b as polymyxin b sulfate 10 unt/mg ophthalmic,85.5,C0976116,dexamethasone 0.1 % / neomycin (as neomycin sulfate) 0.35 % / polymyxin B (as polymyxin B sulfate) 10 UNT/MG Ophthalmic Ointment,SY
Dextrose/Lidocaine Hydrochloride,dextrose/lidocaine hydrochloride,dexamethasone / lidocaine hydrochloride injectable,85.5,C5834676,dexamethasone / lidocaine hydrochloride Injectable Solution,SCDFP
Diabetic Supplies,diabetic supplies,diabetic choice 50 mg/ml oral,85.5,C1584916,Diabetic Choice 50 MG/ML Oral Solution,SY
Digestants,digestants,digex,80.0,C1656480,Digex,BN
"Dispenser, Syringe And Needle",dispenser syringe and needle,discovisc 40 mg / 17 mg in 1 ml prefilled syringe,85.5,C1726080,DisCoVisc 40 MG / 17 MG in 1 ML Prefilled Syringe,PSN
"DTaP, Hepatitis B, and Polio Vaccine",dtap hepatitis b and polio vaccine,dtap diphtheria toxoid vaccine 6 7 unt / tetanus toxoid vaccine 5 unt / acellular pertussis vaccine 46 8 mcg per 0 5 ml injectable,85.5,C3266917,DTaP (Diphtheria Toxoid Vaccine 6.7 UNT / Tetanus Toxoid Vaccine 5 UNT / Acellular Pertussis Vaccine 46.8 MCG) per 0.5 ML Injectable Suspension,SY
"DTaP, Hepatitis B, Polio and Haemophilus B Vaccine",dtap hepatitis b polio and haemophilus b vaccine,dtap diphtheria toxoid vaccine 6 7 unt / tetanus toxoid vaccine 5 unt / acellular pertussis vaccine 46 8 mcg per 0 5 ml injectable,85.5,C3266917,DTaP (Diphtheria Toxoid Vaccine 6.7 UNT / Tetanus Toxoid Vaccine 5 UNT / Acellular Pertussis Vaccine 46.8 MCG) per 0.5 ML Injectable Suspension,SY
Elect;Elect;Elect;Elect,elect elect elect elect,electrolyte 56 with 5 dextrose injectable,85.5,C2345937,electrolyte 56 with 5 % dextrose Injectable Solution,PSN
Electrolytes,electrolytes,electrolyte 56 injectable,86.08695652173914,C2345853,electrolyte 56 Injectable Solution,PSN
"Estriol, Micronized",estriol micronized,estradiol / estriol / levonorgestrel,85.5,C2929592,estradiol / estriol / levonorgestrel,MIN
Ethinyl Estradiol/Levonorgestrel;Ferrous Bisglycin,ethinyl estradiol/levonorgestrel ferrous bisglycin,eth estra-levonorgest 0 02-0 1 mg 21 oral / ferrous bisglycinate 36 5 mg 7 oral 28 day pack,85.5,C5848332,Eth estra-Levonorgest 0.02-0.1 MG (21) Oral Tablet / ferrous bisglycinate 36.5 MG (7) Oral Tablet 28 Day Pack,PSN
Ethinyl Estradiol/Levonorgestrel;Ferrous Fumarate,ethinyl estradiol/levonorgestrel ferrous fumarate,eth estra-levonorgest 0 02-0 1 mg 21 oral / ferrous bisglycinate 36 5 mg 7 oral 28 day pack,85.5,C5848332,Eth estra-Levonorgest 0.02-0.1 MG (21) Oral Tablet / ferrous bisglycinate 36.5 MG (7) Oral Tablet 28 Day Pack,PSN
Ethinyl Estradiol/Norethindrone Ace;Ferrous Fum,ethinyl estradiol/norethindrone ace ferrous fum,eth estra-levonorgest 0 02-0 1 mg 21 oral / ferrous bisglycinate 36 5 mg 7 oral 28 day pack,85.5,C5848332,Eth estra-Levonorgest 0.02-0.1 MG (21) Oral Tablet / ferrous bisglycinate 36.5 MG (7) Oral Tablet 28 Day Pack,PSN
Ethinyl Estradiol/Norethindrone Acetate,ethinyl estradiol/norethindrone acetate,ethanol 2- 2- 4- 2-bromo-4 6-dinitrophenyl azo -1-naphthalenyl amino ethoxy - acetate ester,85.5,C5390746,"ethanol, 2-(2-((4-((2-bromo-4,6-dinitrophenyl)azo)-1-naphthalenyl)amino)ethoxy)-, acetate (ester)",IN
Ethinyl Estradiol/Norethindrone;Ferrous Fumarate,ethinyl estradiol/norethindrone ferrous fumarate,eth estra-levonorgest 0 02-0 1 mg 21 oral / ferrous bisglycinate 36 5 mg 7 oral 28 day pack,85.5,C5848332,Eth estra-Levonorgest 0.02-0.1 MG (21) Oral Tablet / ferrous bisglycinate 36.5 MG (7) Oral Tablet 28 Day Pack,PSN
Ethinyl Estradiol/Segesterone Acetate,ethinyl estradiol/segesterone acetate,ethanol 2- 2- 4- 2-bromo-4 6-dinitrophenyl azo -1-naphthalenyl amino ethoxy - acetate ester,85.5,C5390746,"ethanol, 2-(2-((4-((2-bromo-4,6-dinitrophenyl)azo)-1-naphthalenyl)amino)ethoxy)-, acetate (ester)",IN
"Formula, Infant",formula infant,formula 21 25 topical,85.5,C3264661,Formula 21 25 % Topical Cream,PSN
Forskohlii/HC Ace/Lido HCl,forskohlii/hc ace/lido hcl,formulation r phenylephrine hcl 0 25 / shark liver oil preparation 3 rectal,85.5,C1631106,Formulation R (phenylephrine HCl 0.25 % / shark liver oil preparation 3 % ) Rectal Cream,SY
Glycine/Sodium Chloride,glycine/sodium chloride,glycerin / sodium chloride,89.79591836734694,C1875217,glycerin / sodium chloride,MIN
Grass Pollen Extract Combination,grass pollen extract combination,grain mill dust allergenic extract 0 02 gm/ml injectable,85.5,C2731228,grain mill dust allergenic extract 0.02 GM/ML Injectable Solution,SY
Haemophilus B Conjugate Vaccine/Tetanus Toxoid,haemophilus b conjugate vaccine/tetanus toxoid,haemophilus b conjugate vaccine tetanus toxoid conjugate hib generic for acthib 0 5 ml,88.04347826086956,C3474207,Haemophilus b conjugate vaccine (tetanus toxoid conjugate) (Hib generic for ActHIB) 0.5 mL Injection,PSN
HC Ace/Neomycin Sulf/Polymyxin B Sulf,hc ace/neomycin sulf/polymyxin b sulf,hc ac/aloe,85.5,C0720800,HC AC/Aloe,BN
"Hep A Vac, Inactivated/Hep B Vac Recombinant",hep a vac inactivated/hep b vac recombinant,hepagam b,85.5,C1725338,HepaGam B,BN
Hydrocodone Bitartrate/Ibuprofen,hydrocodone bitartrate/ibuprofen,hydone formula liquid 5/300 hydrocodone / guaiacolsulfonate per 5 ml oral,85.5,C1585874,Hydone Formula Liquid 5/300 (hydrocodone / guaiacolsulfonate) per 5 ML Oral Solution,SY
Hydrocortisone Acetate/Lidocaine Hydrochloride,hydrocortisone acetate/lidocaine hydrochloride,hydralazine hydrochloride,85.5,C0282198,hydralazine hydrochloride,PIN
Hydrocortisone Acetate/Pramoxine Hydrochloride,hydrocortisone acetate/pramoxine hydrochloride,hydralazine hydrochloride,85.5,C0282198,hydralazine hydrochloride,PIN
Immune Globulin Bovine,immune globulin bovine,immune globulin intravenous human - ifas,85.5,C4734962,immune globulin intravenous (human) - ifas,PIN
Immune Globulin-hipp,immune globulin-hipp,immune globulin intravenous human - ifas,85.5,C4734962,immune globulin intravenous (human) - ifas,PIN
Immune Globulin-ifas,immune globulin-ifas,immune globulin intravenous human - ifas,85.5,C4734962,immune globulin intravenous (human) - ifas,PIN
Immune Globulin-klhw,immune globulin-klhw,immune globulin intravenous human - ifas,85.5,C4734962,immune globulin intravenous (human) - ifas,PIN
Influenza Virus Vaccine (Subvirion),influenza virus vaccine subvirion,infanrix dtap diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed,85.5,C0710622,Infanrix DTaP (Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed) Injection,SY
Influenza Virus Vaccine Recombinant,influenza virus vaccine recombinant,infanrix dtap diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed,85.5,C0710622,Infanrix DTaP (Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed) Injection,SY
"Influenza Virus Vaccine, Adjuvanted",influenza virus vaccine adjuvanted,infanrix dtap diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed,85.5,C0710622,Infanrix DTaP (Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed) Injection,SY
"Influenza Virus Vaccine, Inactivated",influenza virus vaccine inactivated,infanrix dtap diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed,85.5,C0710622,Infanrix DTaP (Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed) Injection,SY
"Influenza Virus Vaccine, Live",influenza virus vaccine live,infanrix dtap diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed,85.5,C0710622,Infanrix DTaP (Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed) Injection,SY
Insulin Aspart Protamine/Insulin Aspart,insulin aspart protamine/insulin aspart,insulin argine,85.5,C4083762,insulin argine,IN
"Insulin Aspart, Recombinant",insulin aspart recombinant,insulin analog aspart 100 unt/ml injectable,85.5,C0977802,"insulin analog, aspart 100 UNT/ML Injectable Solution",SY
Insulin Human Inhaled,insulin human inhaled,insulin analog aspart 100 unt/ml injectable,85.5,C0977802,"insulin analog, aspart 100 UNT/ML Injectable Solution",SY
Insulin Human Inhaled;Insulin Human Inhaled,insulin human inhaled insulin human inhaled,insulin argine,85.5,C4083762,insulin argine,IN
Insulin Human Inhaled;Insulin Human Inhaled;Insuli,insulin human inhaled insulin human inhaled insuli,insulin argine,85.5,C4083762,insulin argine,IN
Insulin Syringe/Needle,insulin syringe/needle,insulin analog aspart 100 unt/ml injectable,85.5,C0977802,"insulin analog, aspart 100 UNT/ML Injectable Solution",SY
