UMLS_CUI,Preferred_Term,MS_flag,FAERS_flag,MPRINT_flag
C3247211,bupivacaine liposome,1,0,0
C0006405,buprenorphine,1,1,0
C0701445,buprenorphine hydrochloride,1,1,0
C2316497,bupropion hydrobromide,1,1,0
C0700563,bupropion hydrochloride,1,1,0
C0085208,bupropion,1,1,0
C4691480,burosumab-twza,1,0,0
C0700444,buspirone hydrochloride,1,1,0
C0304358,butabarbital sodium,1,0,0
C0771847,butenafine hydrochloride,1,1,0
C0107509,butoconazole nitrate,1,0,0
C0700525,butorphanol tartrate,1,1,0
C3195420,C1 esterase inhibitor (recombinant),1,0,0
C2366367,C1 esterase inhibitor (human),1,0,0
C0107994,cabergoline,1,1,0
C4310385,cabotegravir,1,1,0
C3181682,cabozantinib,1,1,0
C0054409,cadexomer iodine,1,0,0
C0006644,caffeine,1,1,0
C0054436,caffeine citrate,1,1,0
C0357929,calamine,1,1,0
C0006657,calcifediol,1,1,0
C0065767,calcipotriene,1,1,0
C0006668,calcitonin,1,1,0
C0006674,calcitriol,1,1,0
C0006675,calcium,1,1,0
C0717537,calcium acetate,1,1,0
C0006681,calcium carbonate,1,1,0
C0006686,calcium chloride,1,1,0
C0108101,calcium citrate,1,1,0
C0061347,calcium glubionate,1,0,0
C0006699,calcium gluconate,1,1,0
C0054480,calcium polycarbophil,1,1,0
C0006809,camphor,1,1,0
C2974540,canagliflozin,1,1,0
C2718773,canakinumab,1,1,0
C0527379,candesartan cilexetil,1,1,0
C0717550,candesartan,1,1,0
C0006837,Candida albicans,1,1,0
C0006863,cannabidiol,1,1,0
C0006886,cantharidin,1,0,0
C0671970,capecitabine,1,1,0
C4759080,caplacizumab-yhdp,1,0,0
C5873564,caprylic/capric/myristic/stearic triglyceride,1,0,0
C0006931,capsaicin,1,1,0
C0006938,captopril,1,1,0
C0006949,carbamazepine,1,1,0
C0108342,carbamide peroxide,1,0,0
C0006982,carbidopa,1,0,0
C0304300,carbinoxamine maleate,1,1,0
C2827104,carbomer 940,1,0,0
C0037487,carboxymethylcellulose sodium,1,0,0
C1318649,carglumic acid,1,1,0
C2936870,cariprazine,1,1,0
C0007248,carisoprodol,1,1,0
C0543450,carteolol hydrochloride,1,1,0
C0054836,carvedilol,1,1,0
C1815010,carvedilol phosphate,1,0,0
C5139793,casimersen,1,1,0
C0935942,caspofungin acetate,1,1,0
C0007343,castor oil,1,1,0
C0789408,cat hair extract,1,0,0
C0007537,cefaclor,1,1,0
C0007538,cefadroxil,1,1,0
C0007546,cefazolin,1,1,0
C0700526,cefazolin sodium,1,1,0
C0060405,cefdinir,1,1,0
C0771284,cefepime hydrochloride,1,1,0
C0060400,cefixime,1,1,0
C0700446,cefoxitin sodium,1,1,0
C0108938,cefpodoxime proxetil,1,1,0
C0053882,cefprozil,1,1,0
C0007559,ceftazidime,1,1,0
C0055014,ceftibuten,1,1,0
C0700527,ceftriaxone sodium,1,1,0
C0055015,cefuroxime axetil,1,1,0
C0701852,cefuroxime sodium,1,1,0
C0538927,celecoxib,1,1,0
C0007648,cellulose,1,0,0
C4731383,cenegermin-bkbj,1,0,0
C4550368,cenobamate,1,1,0
C0007716,cephalexin,1,1,0
C0007716,cephalexin,1,1,0
C3818721,ceritinib,1,1,0
C1872109,certolizumab pegol,1,1,0
C0055147,cetirizine,1,1,0
C0700480,cetirizine hydrochloride,1,1,0
C0872997,cetrorelix acetate,1,1,0
C0874063,cevimeline hydrochloride,1,0,0
C2724598,Chenodal (chenodiol 250 MG) Oral Tablet,1,0,0
C2722031,cherry allergenic extract,1,0,0
C0055904,chlophedianol,1,0,0
C0008161,chloral hydrate,1,1,0
C0008168,chloramphenicol,1,1,0
C0055337,chloramphenicol palmitate,1,0,0
C0770863,chlorcyclizine hydrochloride,1,0,0
C0700528,chlordiazepoxide hydrochloride,1,0,0
C0055361,chlorhexidine gluconate,1,1,0
C0008232,chlorobutanol,1,0,0
C0055447,chloroquine phosphate,1,1,0
C0008273,chlorothiazide,1,1,0
C0546857,chlorpheniramine maleate,1,1,0
C0355077,chlorpromazine hydrochloride,1,1,0
C0008287,chlorpropamide,1,1,0
C0008294,chlorthalidone,1,1,0
C0008296,chlorzoxazone,1,0,0
C0008318,cholecalciferol,1,1,0
C0008377,cholesterol,1,1,0
C0008402,cholestyramine resin,1,1,0
C0008402,cholestyramine resin,1,1,0
C0055568,cholic acid,1,1,0
C0719064,choline magnesium trisalicylate,1,0,0
C0018062,chorionic gonadotropin,1,1,0
C0163657,chromium picolinate,1,0,0
C0008574,chromium,1,1,0
C0907850,ciclesonide,1,1,0
C0055711,ciclopirox,1,1,0
C0126169,ciclopirox olamine,1,1,0
C0286079,cidofovir,1,1,0
C0008777,cilastatin,1,1,0
C0055729,cilostazol,1,1,0
C0008783,cimetidine,1,1,0
C0304539,cimetidine hydrochloride,1,1,0
C1260199,cinacalcet hydrochloride,1,1,0
C0008809,ciprofloxacin,1,1,0
C0282104,ciprofloxacin hydrochloride,1,1,0
C0724555,citalopram hydrobromide,1,1,0
C0055819,citric acid,1,0,0
C0008864,citrulline,1,0,0
C2918538,Cladosporium cladosporioides allergenic extract,1,0,0
C0055856,clarithromycin,1,1,0
C4730996,clascoterone,1,0,0
C2961636,Clearskin Blackhead Eliminating 2 % Foaming Cleanser,1,0,0
C0546858,clemastine fumarate,1,1,0
C0282105,clindamycin hydrochloride,1,1,0
C0304311,clindamycin palmitate hydrochloride,1,1,0
C0055881,clindamycin phosphate,1,1,0
C0008947,clindamycin,1,1,0
C0021978,clioquinol,1,0,0
C0055891,clobazam,1,1,0
C0055895,clobetasol propionate,1,1,0
C0008992,clobetasol,1,1,0
C0055900,clocortolone pivalate,1,0,0
C0546859,clomiphene citrate,1,1,0
C0282107,clomipramine hydrochloride,1,1,0
C0009011,clonazepam,1,1,0
C0009014,clonidine,1,1,0
C0546860,clonidine hydrochloride,1,1,0
C0009033,clorazepate dipotassium,1,1,0
C0009074,clotrimazole,1,1,0
C0009079,clozapine,1,1,0
C3883805,"coagulation factor IX (recombinant), glycopegylated",1,1,0
C0015502,coagulation factor VII,1,1,0
C0015502,coagulation factor VII,1,1,0
C0009137,coal tar,1,1,0
C3177235,cobicistat,1,1,0
C4049146,cobimetinib,1,1,0
C0282108,cocaine hydrochloride,1,0,0
C0056057,cocoa butter,1,0,0
C3256135,coco-glycerides,1,0,0
C0009214,codeine,1,1,0
C0304352,codeine sulfate,1,1,0
C4056433,"coenzyme Q10, (2Z)-",1,1,0
C0009262,colchicine,1,1,0
C0541154,colesevelam hydrochloride,1,0,0
C0354648,colestipol hydrochloride,1,0,0
C0009279,colestipol,1,1,0
C0110462,colistimethate sodium,1,1,0
C0162745,collagenase,1,0,0
C0009053,collagenase Clostridium histolyticum,1,0,0
C0014938,conjugated estrogens,1,1,0
C0009968,copper,1,1,0
C0589330,copper chloride,1,0,0
C0010029,corn oil,1,0,0
C0875999,Cortic,1,1,0
C0056391,cortisone acetate,1,1,0
C0010137,cortisone,1,1,0
C0010192,cosyntropin,1,1,0
C0010192,cosyntropin,1,1,0
C0010198,cottonseed oil,1,0,0
C2740793,cranberry allergenic extract,1,0,0
C0010286,creatine,1,1,0
C0174883,cresol,1,0,0
C4301781,crisaborole,1,1,0
C5211092,crizanlizumab-tmca,1,0,0
C2974289,crizotinib,1,1,0
C0012694,cromolyn sodium,1,1,0
C0056519,crotamiton,1,0,0
C0010467,curcumin,1,0,0
C0304961,cyanocobalamin Co57,1,1,0
C0304961,cyanocobalamin Co57,1,1,0
C0056732,cyclobenzaprine,1,1,0
C0125988,cyclobenzaprine hydrochloride,1,1,0
C0010582,cyclopentolate,1,1,0
C0357664,cyclopentolate hydrochloride,1,1,0
C0010583,cyclophosphamide,1,1,0
C0010590,cycloserine,1,1,0
C0010592,cyclosporine,1,1,0
C0771305,"cyclosporine, modified",1,1,0
C0354872,cyproheptadine hydrochloride,1,1,0
C0010648,cysteamine,1,1,0
C0282119,cysteamine bitartrate,1,1,0
C0724565,cysteine hydrochloride,1,0,0
C0010711,cytarabine,1,1,0
C4281720,"cytomegalovirus immune globulin, human",1,1,0
C2343849,dabigatran etexilate mesylate,1,1,0
C3644554,dabrafenib mesylate,1,1,0
C0010927,dacarbazine,1,1,0
C3252090,daclatasvir,1,1,0
C1172636,dalbavancin,1,1,0
C0000477,dalfampridine,1,1,0
C0756085,dalfopristin,1,0,0
C0282471,dalteparin sodium,1,1,0
C0010961,danazol,1,1,0
C0010977,dantrolene sodium,1,1,0
C3555622,dapagliflozin propanediol,1,1,0
C2353951,dapagliflozin,1,1,0
C0010980,dapsone,1,1,0
C0057144,daptomycin,1,1,0
C0937950,darbepoetin alfa,1,1,0
C5227711,daridorexant,1,0,0
C1577176,darifenacin hydrobromide,1,0,0
C1725651,darunavir ethanolate,1,1,0
C3852512,dasabuvir,1,0,0
C1455147,dasatinib,1,1,0
C5139868,dasiglucagon,1,1,0
C0282123,daunorubicin hydrochloride,1,1,0
C1619629,deferasirox,1,1,0
C0043832,deferiprone,1,1,0
C0011148,deferoxamine mesylate,1,1,0
C0057258,deflazacort,1,1,0
C2825044,dehydrated alcohol,1,0,0
C0693513,dehydroepiandrosterone 1 % Topical Cream,1,0,0
C2828290,delafloxacin,1,0,0
C0282125,demeclocycline hydrochloride,1,0,0
C1690432,denosumab,1,1,0
C0719779,Dermatop,1,1,0
C0700529,desipramine hydrochloride,1,0,0
C0908935,desloratadine,1,1,0
C0086135,desmopressin acetate,1,1,0
C0057558,desogestrel,1,1,0
C0011705,desonide,1,1,0
C0011707,desoximetasone,1,1,0
C1880288,desvenlafaxine,1,1,0
C1742884,desvenlafaxine succinate,1,1,0
C5420928,deucravacitinib,1,1,0
C4277781,deutetrabenazine,1,1,0
C0011777,dexamethasone,1,1,0
C0113286,dexamethasone sodium phosphate,1,1,0
C0113291,dexbrompheniramine maleate,1,0,0
C0057605,dexbrompheniramine,1,0,0
C0137440,dexchlorpheniramine maleate,1,1,0
C2348248,dexlansoprazole,1,0,0
C0752310,dexmedetomidine hydrochloride,1,1,0
C1170743,dexmethylphenidate hydrochloride,1,1,0
C0982118,dexrazoxane hydrochloride,1,1,0
C0011812,dextroamphetamine,1,1,0
C0011812,dextroamphetamine,1,1,0
C0011810,dextroamphetamine sulfate,1,1,0
C0350422,dextromethorphan hydrobromide,1,1,0
C0771392,dextromethorphan polistirex,1,0,0
C0012004,diatrizoate,1,0,0
C0012010,diazepam,1,1,0
C0012022,diazoxide,1,1,0
C0012050,dibucaine,1,0,0
C0770382,dibucaine hydrochloride,1,0,0
C0057831,dichloralphenazone,1,0,0
C0012086,dichlorphenamide,1,0,0
C0012091,diclofenac,1,1,0
C0082274,diclofenac epolamine,1,1,0
C0282131,diclofenac potassium,1,1,0
C0700583,diclofenac sodium,1,1,0
C0887422,dicloxacillin sodium,1,1,0
C0591771,dicyclomine hydrochloride,1,1,0
C0012133,didanosine,1,1,0
C0057916,dienogest,1,1,0
C0054673,diethylene glycol monoethyl ether,1,0,0
C0282133,diethylpropion hydrochloride,1,0,0
C0057992,diflorasone diacetate,1,0,0
C0012228,diflunisal,1,0,0
C0058004,difluprednate,1,1,0
C0012265,digoxin,1,1,0
C0700532,dihydroergotamine mesylate,1,1,0
C0700579,diltiazem hydrochloride,1,1,0
C0012381,dimenhydrinate,1,1,0
C1113707,dimethicone,1,1,0
C0058218,dimethyl fumarate,1,1,0
C0012403,dimethyl sulfoxide,1,1,0
C0058344,dioxybenzone,1,0,0
C0004963,diphenhydramine hydrochloride,1,1,0
C0012522,diphenhydramine,1,1,0
C0012582,dipyridamole,1,1,0
C5139729,diroximel fumarate,1,0,0
C0700534,disopyramide phosphate,1,0,0
C0012772,disulfiram,1,1,0
C0886883,divalproex sodium,1,1,0
C0246415,docetaxel,1,1,0
C0556150,docosahexaenoic acid,1,1,0
C0075770,docosanol,1,0,0
C0243237,docusate sodium,1,1,0
C1692318,docusate,1,1,0
C0114771,dofetilide,1,1,0
C2725618,dog epithelium extract 100 MG/ML Injectable Solution,1,0,0
C3539953,dolutegravir sodium,1,1,0
C3253985,dolutegravir,1,1,0
C0771848,donepezil hydrochloride,1,1,0
C0389169,doripenem,1,1,0
C1135662,dornase alfa,1,1,0
C0771293,dorzolamide hydrochloride,1,1,0
C0165590,dorzolamide,1,1,0
C0077770,doxazosin mesylate,1,1,0
C0700535,doxepin hydrochloride,1,1,0
C0043668,doxercalciferol,1,0,0
C0546861,doxorubicin hydrochloride,1,1,0
C1522689,doxorubicin hydrochloride liposome Injection,1,1,0
C0013090,doxycycline,1,1,0
C0282155,doxycycline calcium,1,0,0
C0058731,doxycycline hyclate,1,1,0
C0058733,doxylamine succinate,1,1,0
C0013092,doxylamine,1,1,0
C0039663,dronabinol,1,1,0
C1880412,dronedarone hydrochloride,1,0,0
C0043822,drospirenone,1,1,0
C0000378,droxidopa,1,1,0
C3179549,dulaglutide,1,1,0
C1505020,duloxetine hydrochloride,1,1,0
C3660996,dupilumab,1,1,0
C0754659,dutasteride,1,1,0
C0304455,dyclonine hydrochloride,1,0,0
C1722685,ecallantide,1,1,0
C0013530,echothiophate iodide,1,0,0
C0546862,econazole nitrate,1,1,0
C1541483,eculizumab,1,1,0
C0006692,edetate calcium disodium,1,1,0
C0012695,edetate disodium,1,0,0
C2975435,edoxaban,1,1,0
C0674428,efavirenz,1,1,0
C3273754,efinaconazole,1,0,0
C0282042,eflornithine hydrochloride,1,1,0
C2714632,elagolix,1,0,0
C4731736,elapegademase-lvlr,1,0,0
C4080052,elbasvir,1,0,0
C1178489,eletriptan hydrobromide,1,0,0
C5139717,elexacaftor,1,1,0
C3272698,eliglustat,1,1,0
C3817397,elosulfase alfa,1,0,0
C1880492,eltrombopag olamine,1,1,0
C3712232,eluxadoline,1,0,0
C0724578,emedastine difumarate,1,0,0
C4534627,emicizumab-kxwh,1,0,0
C4521085,Emollient clobetasol propionate 0.5 MG/ML Topical Cream,1,0,0
C3490348,empagliflozin,1,1,0
C0909839,emtricitabine,1,1,0
C1337244,emu oil,1,0,0
C0700452,enalapril maleate,1,1,0
C0014025,enalapril,1,1,0
C4519428,enasidenib,1,1,0
C0724579,enoxaparin sodium,1,1,0
C0165921,entacapone,1,1,0
C0971023,entecavir,1,1,0
C4086264,entrectinib,1,1,0
C0772294,epinastine hydrochloride,1,1,0
C0014563,epinephrine,1,1,0
C0001636,epinephrine hydrochloride,1,1,0
C0961485,eplerenone,1,1,0
C0357126,epoetin alfa,1,1,0
C4694938,epoetin alfa-epbx,1,0,0
C5242018,eptinezumab-jjmr,1,0,0
C4519323,erdafitinib,1,1,0
C4692289,erenumab-aooe,1,0,0
C0014695,ergocalciferol,1,1,0
C0014695,ergocalciferol,1,1,0
C0086248,ergotamine tartrate,1,1,0
C1533491,erlotinib hydrochloride,1,1,0
C1170745,ertapenem sodium,1,1,0
C0014806,erythromycin,1,1,0
C0014810,erythromycin ethylsuccinate,1,1,0
C0059566,erythromycin stearate,1,1,0
C1170746,escitalopram oxalate,1,1,0
C2825616,esketamine,1,1,0
C2725262,eslicarbazepine acetate,1,1,0
C0937622,esomeprazole magnesium,1,1,0
C0937846,esomeprazole,1,1,0
C1337241,esomeprazole sodium,1,1,0
C3540733,esomeprazole strontium,1,0,0
C0014892,estazolam,1,1,0
C0014912,estradiol,1,1,0
C0059610,estradiol cypionate,1,0,0
C0059623,estradiol valerate,1,1,0
C0071108,estropipate,1,0,0
C1436328,eszopiclone,1,1,0
C0717758,etanercept,1,1,0
C4283710,eteplirsen,1,1,0
C0014963,ethacrynic acid,1,1,0
C0546863,ethambutol hydrochloride,1,1,0
C0001962,ethanol,1,0,0
C0015011,ethinyl estradiol,1,1,0
C0015021,ethionamide,1,1,0
C0015043,ethosuximide,1,1,0
C0015046,ethotoin,1,0,0
C0015058,ethyl chloride,1,0,0
C0037507,etidronate disodium,1,0,0
C0059865,etodolac,1,0,0
C0047683,etonogestrel,1,1,0
C0015133,etoposide,1,1,0
C1456409,etravirine,1,1,0
C0541315,everolimus,1,1,0
C5440685,evinacumab-dgnb,1,0,0
C3529352,evolocumab,1,1,0
C0851344,exemestane,1,1,0
C0167117,exenatide,1,1,0
C0015399,Eye Drops,1,1,0
C1142985,ezetimibe,1,1,0
C0530684,ezogabine,1,0,0
C0015491,factor IX,1,1,0
C4048712,factor IX complex (human),1,1,0
C0015518,factor X,1,1,0
C2979805,"factor XIII, human",1,0,0
C0209227,famciclovir,1,1,0
C0015620,famotidine,1,1,0
C0249529,febuxostat,1,1,0
C5814423,"fecal microbiota spores, live-brpk",1,0,0
C0060135,felbamate,1,1,0
C0015772,felodipine,1,1,0
C0015827,fenfluramine,1,1,0
C0033228,fenofibrate,1,1,0
C0724585,fenofibrate micronized,1,0,0
C0060179,fenofibric acid,1,1,0
C0887323,fenoprofen calcium,1,0,0
C0015846,fentanyl,1,1,0
C0546864,fentanyl citrate,1,1,0
C0060228,ferric ammonium citrate,1,0,0
C2001867,ferric carboxymaltose,1,1,0
C0060231,ferric citrate,1,0,0
C0060237,ferric maltol,1,0,0
C0060276,ferrous fumarate,1,1,0
C4057784,ferrous bromide,1,1,0
C0060277,ferrous gluconate,1,1,0
C0060282,ferrous sulfate,1,1,0
C0060274,ferumoxytol,1,1,0
C2343854,fesoterodine fumarate,1,0,0
C0296800,fexofenadine,1,1,0
C0771752,fexofenadine hydrochloride,1,1,0
C0225326,fiber,1,0,0
C0016006,fibrinogen,1,1,0
C0065023,fidaxomicin,1,1,0
C0210630,filgrastim,1,1,0
C4721554,filgrastim-aafi,1,0,0
C3892863,filgrastim-sndz,1,0,0
C0060389,finasteride,1,1,0
C1699926,fingolimod,1,1,0
C0388087,fingolimod hydrochloride,1,1,0
C0016157,fish oils,1,1,0
C0546865,flavoxate hydrochloride,1,0,0
C0023754,flaxseed oil,1,0,0
C0086303,flecainide acetate,1,1,0
C0754280,flibanserin,1,0,0
C0016277,fluconazole,1,1,0
C0016278,flucytosine,1,1,0
C0616274,fludrocortisone acetate,1,1,0
C0016293,flumazenil,1,1,0
C0060501,flunisolide,1,0,0
C0016298,fluocinolone acetonide,1,1,0
C0060507,fluocinolone,1,1,0
C0016299,fluocinonide,1,1,0
C0147866,fluorescein sodium,1,1,0
C0006695,calcium fluoride,1,1,0
C0016351,fluorometholone,1,1,0
C0724587,fluorometholone acetate,1,0,0
C0016360,fluorouracil,1,1,0
C0733380,fluoxetine hydrochloride,1,1,0
C0060580,fluphenazine decanoate,1,1,0
C0700567,fluphenazine hydrochloride,1,0,0
C0016374,flurandrenolide,1,1,0
C0242293,flurazepam hydrochloride,1,1,0
C0016377,flurbiprofen,1,1,0
C0304658,flurbiprofen sodium,1,0,0
C0016384,flutamide,1,1,0
