Drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
Aluminum Hydroxide/Magnesium Hydroxide,aluminum hydroxide/magnesium hydroxide,aluminum hydroxide/magnesium hydroxide,C0002367,aluminum,IN
Aluminum Hydroxide/Magnesium Hydroxide/Simethicone,aluminum hydroxide/magnesium hydroxide/simethicone,aluminum hydroxide/magnesium hydroxide/simethicone,C0002367,aluminum,IN
Aluminum Sulfate/Calcium Acetate,aluminum sulfate/calcium acetate,aluminum sulfate/calcium,C0002367,aluminum,IN
Amantadine Hydrochloride,amantadine hydrochloride,amantadine,C0936072,amantadine hydrochloride,PIN
Ambrisentan,ambrisentan,ambrisentan,C1176329,ambrisentan,IN
Amcinonide,amcinonide,amcinonide,C0051556,amcinonide,IN
American Elm Allergen Extract,american elm allergen extract,american elm allergen extract,,,
Amifampridine,amifampridine,amifampridine,C0046948,amifampridine,IN
Amikacin Liposome,amikacin liposome,amikacin liposome,C0002499,amikacin,IN
Amikacin Sulfate,amikacin sulfate,amikacin,C0002501,amikacin sulfate,PIN
Amiloride Hydrochloride,amiloride hydrochloride,amiloride,C0546849,amiloride hydrochloride,PIN
Amiloride Hydrochloride/Hydrochlorothiazide,amiloride hydrochloride/hydrochlorothiazide,amiloride hydrochloride/hydrochlorothiazide,C0002502,amiloride,IN
Amino Acids,amino acids,amino acids,C2345469,amino acids 10 % Injectable Solution,SY
Amino Acids/Magnesium,amino acids/magnesium,amino acids/magnesium,,,
Aminocaproic Acid,aminocaproic acid,aminocaproic acid,C0000608,aminocaproic acid,SY
Aminolevulinic Acid Hydrochloride,aminolevulinic acid hydrochloride,aminolevulinic acid,C0876231,aminolevulinic acid hydrochloride,PIN
Aminophylline,aminophylline,aminophylline,C0002575,aminophylline,IN
Amiodarone Hydrochloride,amiodarone hydrochloride,amiodarone,C0700442,amiodarone hydrochloride,PIN
Amitriptyline Hydrochloride,amitriptyline hydrochloride,amitriptyline,C0700523,amitriptyline hydrochloride,PIN
Amitriptyline Hydrochloride/Chlordiazepoxide,amitriptyline hydrochloride/chlordiazepoxide,amitriptyline hydrochloride/chlordiazepoxide,,,
Amitriptyline Hydrochloride/Perphenazine,amitriptyline hydrochloride/perphenazine,amitriptyline hydrochloride/perphenazine,,,
amLODIPine,amlodipine,amlodipine,C0051696,amlodipine,IN
Amlodipine Besylate,amlodipine besylate,amlodipine besylate,C0354468,amlodipine besylate,PIN
Amlodipine Besylate/Atorvastatin Calcium,amlodipine besylate/atorvastatin calcium,amlodipine besylate/atorvastatin,C0051696,amlodipine,IN
Amlodipine Besylate/Benazepril Hydrochloride,amlodipine besylate/benazepril hydrochloride,amlodipine besylate/benazepril,C0051696,amlodipine,IN
amLODIPine besylate/hydroCHLOROthiazide/Olmesartan,amlodipine besylate/hydrochlorothiazide/olmesartan,amlodipine besylate/hydrochlorothiazide/olmesartan,C0051696,amlodipine,IN
Amlodipine Besylate/Hydrochlorothiazide/Valsartan,amlodipine besylate/hydrochlorothiazide/valsartan,amlodipine besylate/hydrochlorothiazide/valsartan,C0051696,amlodipine,IN
Amlodipine Besylate/Olmesartan Medoxomil,amlodipine besylate/olmesartan medoxomil,amlodipine besylate/olmesartan medoxomil,C0051696,amlodipine,IN
Amlodipine Besylate/Telmisartan,amlodipine besylate/telmisartan,amlodipine besylate/telmisartan,C0051696,amlodipine,IN
Amlodipine Besylate/Valsartan,amlodipine besylate/valsartan,amlodipine besylate/valsartan,C0051696,amlodipine,IN
Ammonium Lactate,ammonium lactate,ammonium lactate,C0718495,ammonium lactate,PIN
Ammonium Lactate/Potassium Lactate/Sodium Lactate,ammonium lactate/potassium lactate/sodium lactate,ammonium lactate/potassium lactate/sodium lactate,C0002611,ammonium,IN
Amoxapine,amoxapine,amoxapine,C0002644,amoxapine,IN
Amoxicillin,amoxicillin,amoxicillin,C0002645,amoxicillin,IN
Amoxicillin;Clarithromycin;Lansoprazole,amoxicillin clarithromycin lansoprazole,amoxicillin clarithromycin lansoprazole,C0308321,Amoxi Drop,BN
Amoxicillin;Clarithromycin;Omeprazole,amoxicillin clarithromycin omeprazole,amoxicillin clarithromycin omeprazole,C0308321,Amoxi Drop,BN
Amoxicillin/Clavulanate Potassium,amoxicillin/clavulanate potassium,amoxicillin/clavulanate,C0308321,Amoxi Drop,BN
Amoxicillin/Omeprazole Magnesium/Rifabutin,amoxicillin/omeprazole magnesium/rifabutin,amoxicillin/omeprazole magnesium/rifabutin,C0002645,amoxicillin,IN
Amphetamine,amphetamine,amphetamine,C0002658,amphetamine,IN
Amphetamine Salt Combination,amphetamine salt combination,amphetamine salt combination,C0002658,amphetamine,IN
Amphetamine Sulfate,amphetamine sulfate,amphetamine,C0282051,amphetamine sulfate,PIN
Amphotericin B,amphotericin b,amphotericin b,C0002679,amphotericin B,IN
Amphotericin B Liposome,amphotericin b liposome,amphotericin b liposome,C0085795,amphotericin,IN
Ampicillin,ampicillin,ampicillin,C0002680,ampicillin,IN
Ampicillin Sodium,ampicillin sodium,ampicillin,C0282052,ampicillin sodium,PIN
Ampicillin Sodium/Sulbactam Sodium,ampicillin sodium/sulbactam sodium,ampicillin sodium/sulbactam,C0002680,ampicillin,IN
Amylase/Lactobacillus Sporogenes/Lipase/Protease,amylase/lactobacillus sporogenes/lipase/protease,amylase/lactobacillus sporogenes/lipase/protease,C0002712,amylase,IN
Amylase/Lipase/Protease,amylase/lipase/protease,amylase/lipase/protease,C0051771,amyl acetate,IN
Anagrelide Hydrochloride,anagrelide hydrochloride,anagrelide,C0771907,anagrelide hydrochloride,PIN
Anakinra,anakinra,anakinra,C0245109,anakinra,IN
Anastrozole,anastrozole,anastrozole,C0290883,anastrozole,IN
Anesthetic Combination,anesthetic combination,anesthetic combination,,,
Anthralin,anthralin,anthralin,C0003166,anthralin,IN
Anti-Inhibitor Coagulant Complex,anti-inhibitor coagulant complex,anti-inhibitor coagulant complex,C0982025,anti-inhibitor coagulant complex,IN
Antibacterial/Analgesic Combination,antibacterial/analgesic combination,antibacterial/analgesic combination,,,
Antibacterial/Anesthetic Combination,antibacterial/anesthetic combination,antibacterial/anesthetic combination,,,
Antibacterial/Anti-inflammatory Combination,antibacterial/anti-inflammatory combination,antibacterial/anti-inflammatory combination,,,
"Antihemophil Factor Recom, Fc-VWF Fusion Prot-ehtl",antihemophil factor recom fc-vwf fusion prot-ehtl,antihemophil factor recom fc-vwf fusion prot-ehtl,,,
Antihemophilic Factor (Recomb) Plasma/Albumin-Free,antihemophilic factor recomb plasma/albumin-free,antihemophilic factor recomb plasma/albumin-free,,,
Antihemophilic Factor (Recombinant) Pegylated-aucl,antihemophilic factor recombinant pegylated-aucl,antihemophilic factor recombinant pegylated-aucl,C4723218,"antihemophilic factor (recombinant), PEGylated-aucl",PIN
Antihemophilic Factor (Recombinant) Single Chain,antihemophilic factor recombinant single chain,antihemophilic factor recombinant single chain,C4256511,antihemophilic factor (recombinant) single chain 1 UNT Injection,PSN
"Antihemophilic Factor Recomb, Glycopegylated-exei",antihemophilic factor recomb glycopegylated-exei,antihemophilic factor recomb glycopegylated-exei,,,
Antihemophilic Factor VIII (Recombinant),antihemophilic factor viii recombinant,antihemophilic factor viii recombinant,,,
Antihemophilic Factor VIII (Recombinant) Pegylated,antihemophilic factor viii recombinant pegylated,antihemophilic factor viii recombinant pegylated,C4083872,antihemophilic factor (recombinant) pegylated,PIN
Antihemophilic Factor VIII Fc Fusion Protein Recom,antihemophilic factor viii fc fusion protein recom,antihemophilic factor viii fc fusion protein recom,,,
Antihemophilic Factor VIII Human,antihemophilic factor viii human,antihemophilic factor viii human,C0700346,"antihemophilic factor, human",PIN
Antipyrine,antipyrine,antipyrine,C0003420,antipyrine,IN
Antipyrine/Benzocaine,antipyrine/benzocaine,antipyrine/benzocaine,C0003420,antipyrine,IN
Antipyrine/Benzocaine/Glycerin,antipyrine/benzocaine/glycerin,antipyrine/benzocaine/glycerin,C0003420,antipyrine,IN
Antipyrine/Benzocaine/Policosanol,antipyrine/benzocaine/policosanol,antipyrine/benzocaine/policosanol,C0003420,antipyrine,IN
Antiviral Combination,antiviral combination,antiviral combination,,,
APAP/Butalbital/Caff/Codeine Phos,apap/butalbital/caff/codeine phos,apap/butalbital/caff/codeine phos,,,
APAP/Chlorpheniramine Mal/Phenyleph HCl,apap/chlorpheniramine mal/phenyleph hcl,apap/chlorpheniramine mal/phenyleph,,,
APAP/Dichloralphenazone/Isometheptene Mucate,apap/dichloralphenazone/isometheptene mucate,apap/dichloralphenazone/isometheptene mucate,,,
APAP/diphenhydrAMINE hydrochloride/Phenyleph HCl,apap/diphenhydramine hydrochloride/phenyleph hcl,apap/diphenhydramine hydrochloride/phenyleph,,,
APAP/DM Hydrobrom/guaiFENesin/Phenyleph HCl,apap/dm hydrobrom/guaifenesin/phenyleph hcl,apap/dm hydrobrom/guaifenesin/phenyleph,,,
APAP/DM Hydrobrom/guaiFENesin/PSE HCl,apap/dm hydrobrom/guaifenesin/pse hcl,apap/dm hydrobrom/guaifenesin/pse,,,
APAP/DM Hydrobrom/Phenyleph HCl,apap/dm hydrobrom/phenyleph hcl,apap/dm hydrobrom/phenyleph,,,
Apixaban,apixaban,apixaban,C1831808,apixaban,IN
Apomorphine Hydrochloride,apomorphine hydrochloride,apomorphine,C0237406,apomorphine hydrochloride,PIN
"Applicator, Bottle",applicator bottle,applicator bottle,,,
Apraclonidine Hydrochloride,apraclonidine hydrochloride,apraclonidine,C0304657,apraclonidine hydrochloride,PIN
Apremilast,apremilast,apremilast,C1678805,apremilast,IN
Apremilast;Apremilast;Apremilast,apremilast apremilast apremilast,apremilast apremilast apremilast,C1678805,apremilast,IN
Aprepitant,aprepitant,aprepitant,C1176306,aprepitant,IN
Aprepitant;Aprepitant,aprepitant aprepitant,aprepitant aprepitant,C1176306,aprepitant,IN
Arformoterol Tartrate,arformoterol tartrate,arformoterol,C1814684,arformoterol tartrate,PIN
Arginine,arginine,arginine,C0003765,arginine,IN
Arginine Hydrochloride,arginine hydrochloride,arginine,C0301556,arginine hydrochloride,PIN
Arginine/Beta-Hydroxyisovaleric Acid/Glutamine,arginine/beta-hydroxyisovaleric acid/glutamine,arginine/beta-hydroxyisovaleric acid/glutamine,C0003765,arginine,IN
Aripiprazole,aripiprazole,aripiprazole,C0299792,aripiprazole,IN
Aripiprazole Lauroxil,aripiprazole lauroxil,aripiprazole lauroxil,C4056439,aripiprazole lauroxil,IN
Armodafinil,armodafinil,armodafinil,C1701455,armodafinil,IN
Artemether/Lumefantrine,artemether/lumefantrine,artemether/lumefantrine,C0052429,artemether,IN
Ascorbic Acid,ascorbic acid,ascorbic acid,C0003968,ascorbic acid,IN
Ascorbic Acid/Calcium Carbonate,ascorbic acid/calcium carbonate,ascorbic acid/calcium carbonate,C4688975,Ascor,BN
Ascorbic Acid/Cholecalciferol/Vitamin A,ascorbic acid/cholecalciferol/vitamin a,ascorbic acid/cholecalciferol/vitamin a,C4688975,Ascor,BN
Ascorbic Acid/Cyanocobalamin/Folic Acid/Iron,ascorbic acid/cyanocobalamin/folic acid/iron,ascorbic acid/cyanocobalamin/folic acid/iron,C0003968,ascorbic acid,IN
Ascorbic Acid/Ferrous Sulfate/Folic Acid,ascorbic acid/ferrous sulfate/folic acid,ascorbic acid/ferrous sulfate/folic acid,C0003968,ascorbic acid,IN
Ascorbic Acid/Folic Acid/Iron/Lactobacillus casei,ascorbic acid/folic acid/iron/lactobacillus casei,ascorbic acid/folic acid/iron/lactobacillus casei,C0003968,ascorbic acid,IN
Ascorbic Acid/Honey/Propolis/Vitamin A/Zinc,ascorbic acid/honey/propolis/vitamin a/zinc,ascorbic acid/honey/propolis/vitamin a/zinc,C0003968,ascorbic acid,IN
Ascorbic Acid/Inulin/Lactobacillus rhamnosus GG,ascorbic acid/inulin/lactobacillus rhamnosus gg,ascorbic acid/inulin/lactobacillus rhamnosus gg,C0003968,ascorbic acid,IN
Ascorbic Acid/Iron,ascorbic acid/iron,ascorbic acid/iron,C4688975,Ascor,BN
Ascorbic Acid/Iron/Succinic Acid,ascorbic acid/iron/succinic acid,ascorbic acid/iron/succinic acid,C4688975,Ascor,BN
Ascorbic Acid/Rose Hips,ascorbic acid/rose hips,ascorbic acid/rose hips,C4688975,Ascor,BN
Ascorbic Acid/Sodium,ascorbic acid/sodium,ascorbic acid/sodium,C4688975,Ascor,BN
Ascorbic Acid/Sodium Fluoride/Vitamin A/Vitamin D,ascorbic acid/sodium fluoride/vitamin a/vitamin d,ascorbic acid/sodium fluoride/vitamin a/vitamin d,C0003968,ascorbic acid,IN
Ascorbic Acid/Vitamin A/Vitamin D,ascorbic acid/vitamin a/vitamin d,ascorbic acid/vitamin a/vitamin d,C4688975,Ascor,BN
Asenapine,asenapine,asenapine,C2000088,asenapine,IN
Asfotase Alfa,asfotase alfa,asfotase alfa,C3490795,asfotase alfa,IN
Asparaginase Erwinia Chrysanthemi,asparaginase erwinia chrysanthemi,asparaginase erwinia chrysanthemi,C3255208,asparaginase Erwinia chrysanthemi,PIN
Asparaginase Erwinia Chrysanthemi Recombinant-rywn,asparaginase erwinia chrysanthemi recombinant-rywn,asparaginase erwinia chrysanthemi recombinant-rywn,C0003993,asparaginase,IN
Aspirin,aspirin,aspirin,C0004057,aspirin,IN
Aspirin/Butalbital/Caffeine,aspirin/butalbital/caffeine,aspirin/butalbital/caffeine,C0004057,aspirin,IN
Aspirin/Butalbital/Caffeine/Codeine Phosphate,aspirin/butalbital/caffeine/codeine phosphate,aspirin/butalbital/caffeine/codeine,C0004057,aspirin,IN
Aspirin/Caffeine/Orphenadrine Citrate,aspirin/caffeine/orphenadrine citrate,aspirin/caffeine/orphenadrine citrate,C0004057,aspirin,IN
Aspirin/Carisoprodol,aspirin/carisoprodol,aspirin/carisoprodol,C0004057,aspirin,IN
Aspirin/Carisoprodol/Codeine Phosphate,aspirin/carisoprodol/codeine phosphate,aspirin/carisoprodol/codeine,C0004057,aspirin,IN
Aspirin/Oxycodone Hydrochloride,aspirin/oxycodone hydrochloride,aspirin/oxycodone,C0004057,aspirin,IN
Atazanavir Sulfate,atazanavir sulfate,atazanavir,C1176383,atazanavir sulfate,PIN
Atazanavir/Cobicistat,atazanavir/cobicistat,atazanavir/cobicistat,C1145759,atazanavir,IN
Atenolol,atenolol,atenolol,C0004147,atenolol,IN
Atenolol/Chlorthalidone,atenolol/chlorthalidone,atenolol/chlorthalidone,C0004147,atenolol,IN
Atogepant,atogepant,atogepant,C5238205,atogepant,IN
Atomoxetine Hydrochloride,atomoxetine hydrochloride,atomoxetine,C1170741,atomoxetine hydrochloride,PIN
Atorvastatin Calcium,atorvastatin calcium,atorvastatin,C0286650,atorvastatin calcium,PIN
Atovaquone,atovaquone,atovaquone,C0165603,atovaquone,IN
Atovaquone/Proguanil Hydrochloride,atovaquone/proguanil hydrochloride,atovaquone/proguanil,C0165603,atovaquone,IN
Atropine Sulf/Hyoscyamine Sulf/PHENobarbital/Scop,atropine sulf/hyoscyamine sulf/phenobarbital/scop,atropine sulf/hyoscyamine sulf/phenobarbital/scop,C0004259,atropine,IN
Atropine Sulfate,atropine sulfate,atropine,C0596005,atropine sulfate,PIN
Atropine Sulfate/Difenoxin Hydrochloride,atropine sulfate/difenoxin hydrochloride,atropine sulfate/difenoxin,C0004259,atropine,IN
Atropine Sulfate/Diphenoxylate Hydrochloride,atropine sulfate/diphenoxylate hydrochloride,atropine sulfate/diphenoxylate,C0004259,atropine,IN
Attapulgite,attapulgite,attapulgite,C0052657,attapulgite,IN
Auranofin,auranofin,auranofin,C0004320,auranofin,IN
Avacopan,avacopan,avacopan,C4507514,avacopan,IN
Avalglucosidase Alfa-ngpt,avalglucosidase alfa-ngpt,avalglucosidase alfa-ngpt,C5550593,avalglucosidase alfa-ngpt,PIN
Avanafil,avanafil,avanafil,C2698280,avanafil,IN
Avatrombopag,avatrombopag,avatrombopag,C3886460,avatrombopag,IN
Avibactam/Ceftazidime,avibactam/ceftazidime,avibactam/ceftazidime,C3489748,avibactam,IN
Avobenzone/Octocrylene/Oxybenzone,avobenzone/octocrylene/oxybenzone,avobenzone/octocrylene/oxybenzone,C0097513,avobenzone,IN
Axitinib,axitinib,axitinib,C1700874,axitinib,IN
Azacitidine,azacitidine,azacitidine,C0004475,azacitidine,IN
Azathioprine,azathioprine,azathioprine,C0004482,azathioprine,IN
Azelaic Acid,azelaic acid,azelaic acid,C0052761,azelaic acid,PIN
