fda_drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
aerius desloratadine,aerius desloratadine,aerius desloratadine,,,
aiyang pegaspargase,aiyang pegaspargase,aiyang pegaspargase,,,
akrinor,akrinor,akrinor,,,
alaninearginineaspartic acidcysteine hydrochlorideglutamic acidglycinehistidineisoleucineleucinelysine acetatemethioninephenylalanineprolineserinetaurinethreoninetryptophantyrosinevaline,alaninearginineaspartic acidcysteine hydrochlorideglutamic acidglycinehistidineisoleucineleucinelysine acetatemethioninephenylalanineprolineserinetaurinethreoninetryptophantyrosinevaline,alaninearginineaspartic acidcysteine hydrochlorideglutamic acidglycinehistidineisoleucineleucinelysine acetatemethioninephenylalanineprolineserinetaurinethreoninetryptophantyrosinevaline,,,
alcohol oral solution,alcohol oral,alcohol oral,,,
alepsal caffeinephenobarbital,alepsal caffeinephenobarbital,alepsal caffeinephenobarbital,,,
alepsal phenobarbital caffeine,alepsal phenobarbital caffeine,alepsal phenobarbital caffeine,,,
alepsal 00023201,alepsal 00023201,alepsal 00023201,,,
aleviatin,aleviatin,aleviatin,,,
alisertib,alisertib,alisertib,,,
alltrans retinoic acid,alltrans retinoic acid,alltrans retinoic acid,,,
almus amoxicillin,almus amoxicillin,almus amoxicillin,,,
alphamethyldopa,alphamethyldopa,alphamethyldopa,,,
alphacalcidol,alphacalcidol,alphacalcidol,,,
alphagan p,alphagan p,alphagan p,,,
alprostadil 500 mcgml,alprostadil 500 mcgml,alprostadil 500 mcgml,,,
alprostadil alfadex,alprostadil alfadex,alprostadil alfadex,,,
alprostadil intsel chimos,alprostadil intsel chimos,alprostadil intsel chimos,,,
aluvia,aluvia,aluvia,,,
ambrohexal,ambrohexal,ambrohexal,,,
amineurin,amineurin,amineurin,,,
amino acids source unspecified,amino acids source unspecified,amino acids source unspecified,,,
amino acidscalcium gluconate monohydratedextrose monohydrateheparin sodium,amino acidscalcium gluconate monohydratedextrose monohydrateheparin sodium,amino acidscalcium gluconate monohydratedextrose monohydrateheparin,,,
amino acidscarbohydrateselectrolytes nosvitamins,amino acidscarbohydrateselectrolytes nosvitamins,amino acidscarbohydrateselectrolytes nosvitamins,,,
amino acidsdextroseelectrolytes nos,amino acidsdextroseelectrolytes nos,amino acidsdextroseelectrolytes nos,,,
amino acidsdextroseelectrolytes nossoybean oil,amino acidsdextroseelectrolytes nossoybean oil,amino acidsdextroseelectrolytes nossoybean oil,,,
aminoglycoside aminoglycoside antibacterials,aminoglycoside aminoglycoside antibacterials,aminoglycoside aminoglycoside antibacterials,,,
aminoven infant 10,aminoven infant 10,aminoven infant 10,,,
amiodarone hcl manufacturer unknown,amiodarone hcl manufacturer unknown,amiodarone manufacturer unknown,,,
amiodarone hikma amiodarone 50 milligrammilliliters injection amiodarone,amiodarone hikma amiodarone 50 milligrammilliliters amiodarone,amiodarone hikma amiodarone 50 milligrammilliliters amiodarone,,,
amitriptylin,amitriptylin,amitriptylin,,,
amitriptylineformunknown,amitriptylineformunknown,amitriptylineformunknown,,,
amlor,amlor,amlor,,,
ammonaps,ammonaps,ammonaps,,,
amn107,amn107,amn107,,,
amoksiklav,amoksiklav,amoksiklav,,,
amoxycillin almus,amoxycillin almus,amoxycillin almus,,,
amphomoronal,amphomoronal,amphomoronal,,,
an unknown antibiotic,an unknown antibiotic,an unknown antibiotic,,,
anaesthetic,anaesthetic,anaesthetic,,,
anaesthetic unspecified,anaesthetic unspecified,anaesthetic unspecified,,,
anapeine,anapeine,anapeine,,,
andrographolide,andrographolide,andrographolide,,,
angal s,angal s,angal s,,,
anhiba,anhiba,anhiba,,,
antithymocyte globulin rabbit,antithymocyte globulin rabbit,antithymocyte globulin rabbit,,,
antithymocyte globulin rabbit nos,antithymocyte globulin rabbit nos,antithymocyte globulin rabbit nos,,,
antithymocyte globulin rabbitrabbit antihuman thymocyte immunoglobulin,antithymocyte globulin rabbitrabbit antihuman thymocyte immunoglobulin,antithymocyte globulin rabbitrabbit antihuman thymocyte immunoglobulin,,,
anti thymocyte globulin rabbit nos,anti thymocyte globulin rabbit nos,anti thymocyte globulin rabbit nos,,,
antibiotics,antibiotics,antibiotics,,,
antihemophilic factor recombinant sucrose formulated fs,antihemophilic factor recombinant sucrose formulated fs,antihemophilic factor recombinant sucrose formulated fs,,,
antihemophilic factor viii recombinant sucrose formulated,antihemophilic factor viii recombinant sucrose formulated,antihemophilic factor viii recombinant sucrose formulated,,,
antihemophilic factor pegylated mw 20000 human sequence recombinant,antihemophilic factor pegylated mw 20000 human sequence recombinant,antihemophilic factor pegylated mw 20000 human sequence recombinant,,,
antilymphocyte globulin,antilymphocyte globulin,antilymphocyte globulin,,,
antiretroviral agent,antiretroviral agent,antiretroviral agent,,,
antithymocite globulin,antithymocite globulin,antithymocite globulin,,,
antithymocyte globulin,antithymocyte globulin,antithymocyte globulin,,,
antithymocyte immunoglobulin rabbit,antithymocyte immunoglobulin rabbit,antithymocyte immunoglobulin rabbit,,,
antivenin,antivenin,antivenin,,,
aoluona topotecan hydrochloride,aoluona topotecan hydrochloride,aoluona topotecan,,,
aotal,aotal,aotal,,,
apocyclosporine oral solution,apocyclosporine oral,apocyclosporine oral,,,
aprovel,aprovel,aprovel,,,
aqua pro injectione baxter,aqua pro injectione baxter,aqua pro injectione baxter,,,
aquadeks,aquadeks,aquadeks,,,
ara c,ara c,ara c,,,
aracytine,aracytine,aracytine,,,
arbidol,arbidol,arbidol,,,
arbidol,arbidol,arbidol,,,
arterenol,arterenol,arterenol,,,
artist,artist,artist,,,
aspegic,aspegic,aspegic,,,
aspegic acetylsalicylate lysine,aspegic acetylsalicylate lysine,aspegic acetylsalicylate lysine,,,
aspegic baby,aspegic baby,aspegic baby,,,
asverin tipepidine hibenzate,asverin tipepidine hibenzate,asverin tipepidine hibenzate,,,
atg 00575401,atg 00575401,atg 00575401,,,
atgfresenius,atgfresenius,atgfresenius,,,
atg fresenius,atg fresenius,atg fresenius,,,
atosil,atosil,atosil,,,
atosil 00033002,atosil 00033002,atosil 00033002,,,
atosil promethazine hydrochloride,atosil promethazine hydrochloride,atosil promethazine,,,
atropa belladonna extractcaffeinephenobarbital,atropa belladonna extractcaffeinephenobarbital,atropa belladonna extractcaffeinephenobarbital,,,
atrovent aerosol 20mcgdo spbs 200do inhalator,atrovent aerosol 20mcgdo spbs 200do inhalator,atrovent aerosol 20mcgdo spbs 200do inhalator,,,
auto injector device,auto injector device,auto injector device,,,
avanza,avanza,avanza,,,
avxs101,avxs101,avxs101,,,
azidothymidine,azidothymidine,azidothymidine,,,
accentrix,accentrix,accentrix,,,
acetylsalicylic acid,acetylsalicylic acid,acetylsalicylic acid,,,
aciclovir,aciclovir,aciclovir,,,
actilyse,actilyse,actilyse,,,
adartrel,adartrel,adartrel,,,
adriacin,adriacin,adriacin,,,
adriblastine,adriblastine,adriblastine,,,
adrigyl,adrigyl,adrigyl,,,
advagraf,advagraf,advagraf,,,
aerolin,aerolin,aerolin,,,
aethoxysklerol,aethoxysklerol,aethoxysklerol,,,
agyrax,agyrax,agyrax,,,
albumex 20,albumex 20,albumex 20,,,
albumin 5,albumin 5,albumin 5,,,
albumin human nc,albumin human nc,albumin human nc,,,
alpiny,alpiny,alpiny,,,
amitriptylin dura 75 ret,amitriptylin dura 75 ret,amitriptylin dura 75 ret,,,
amitriptylin retard,amitriptylin retard,amitriptylin retard,,,
amitriptylinneuraxpharm 100,amitriptylinneuraxpharm 100,amitriptylinneuraxpharm 100,,,
amoksiklav,amoksiklav,amoksiklav,,,
anadin paracetamol,anadin paracetamol,anadin paracetamol,,,
antilepsin,antilepsin,antilepsin,,,
antithymocyte immunoglobulin rabbit,antithymocyte immunoglobulin rabbit,antithymocyte immunoglobulin rabbit,,,
antithymocyte globulin,antithymocyte globulin,antithymocyte globulin,,,
apydan,apydan,apydan,,,
aracytine,aracytine,aracytine,,,
arbidol,arbidol,arbidol,,,
asumate 20,asumate 20,asumate 20,,,
atmadisc,atmadisc,atmadisc,,,
atosil,atosil,atosil,,,
avamys,avamys,avamys,,,
azantac,azantac,azantac,,,
baby orajel nos benzocaine,baby orajel nos benzocaine,baby orajel nos benzocaine,,,
baby orajel oral,baby orajel oral,baby orajel oral,,,
baby teething,baby teething,baby teething,,,
baby teething hyland homeopathic,baby teething hyland homeopathic,baby teething hyland homeopathic,,,
bacteriophages,bacteriophages,bacteriophages,,,
bacteriostatic sodium chloride,bacteriostatic sodium chloride,bacteriostatic chloride,,,
badger sunscreen broad spectrum spf 16,badger sunscreen broad spectrum spf 16,badger sunscreen broad spectrum spf 16,,,
baktar,baktar,baktar,,,
baxject unspecified,baxject unspecified,baxject unspecified,,,
baxter 09 sodium chloride 9gl injection bp bag ahb1324,baxter 09 sodium chloride 9gl bp bag ahb1324,baxter 09 chloride 9gl bp bag ahb1324,,,
bcg vaccine usp,bcg vaccine usp,bcg vaccine usp,,,
becilan,becilan,becilan,,,
begelomab,begelomab,begelomab,,,
beloc zok,beloc zok,beloc zok,,,
beloczok mite,beloczok mite,beloczok mite,,,
benuron,benuron,benuron,,,
bentelan,bentelan,bentelan,,,
benzathine benzylpenicillin,benzathine benzylpenicillin,benzathine benzylpenicillin,,,
benzodiazepine derivatives,benzodiazepine derivatives,benzodiazepine derivatives,,,
benzoylecgonine,benzoylecgonine,benzoylecgonine,,,
bepanthen pommade,bepanthen pommade,bepanthen pommade,,,
bepanthol dexpanthenol,bepanthol dexpanthenol,bepanthol dexpanthenol,,,
beraprost sodium,beraprost sodium,beraprost,,,
berotec,berotec,berotec,,,
biprofenid,biprofenid,biprofenid,,,
bicyclol,bicyclol,bicyclol,,,
bifiteral,bifiteral,bifiteral,,,
biklin,biklin,biklin,,,
bilol,bilol,bilol,,,
biofermin,biofermin,biofermin,,,
biofermin r,biofermin r,biofermin r,,,
biofuroxime cefuroxime,biofuroxime cefuroxime,biofuroxime cefuroxime,,,
biogaran,biogaran,biogaran,,,
bionolyte,bionolyte,bionolyte,,,
bisoce,bisoce,bisoce,,,
blackmores pregnancy breastfeeding formula,blackmores pregnancy breastfeeding formula,blackmores pregnancy breastfeeding formula,,,
blinded acz885,blinded acz885,blinded acz885,,,
blinded aprepitant,blinded aprepitant,blinded aprepitant,,,
blinded aqiv,blinded aqiv,blinded aqiv,,,
blinded azithromycin,blinded azithromycin,blinded azithromycin,,,
blinded albumin 5,blinded albumin 5,blinded albumin 5,,,
blinded certolizumab pegol,blinded certolizumab pegol,blinded certolizumab pegol,,,
blinded dexamethasone,blinded dexamethasone,blinded dexamethasone,,,
blinded enalapril,blinded enalapril,blinded enalapril,,,
blinded fluzone tiv,blinded fluzone tiv,blinded fluzone tiv,,,
blinded lcz696,blinded lcz696,blinded lcz696,,,
blinded linagliptin,blinded linagliptin,blinded linagliptin,,,
blinded meningococcal b recom vaccine aloh omv,blinded meningococcal b recom vaccine aloh omv,blinded meningococcal b recom vaccine aloh omv,,,
blinded nicotine,blinded nicotine,blinded nicotine,,,
blinded no treatment received,blinded no treatment received,blinded no treatment received,,,
blinded no vaccination received,blinded no vaccination received,blinded no vaccination received,,,
blinded ondansetron,blinded ondansetron,blinded ondansetron,,,
blinded ondansetron hcl,blinded ondansetron hcl,blinded ondansetron,,,
blinded pf 06928316,blinded pf 06928316,blinded pf 06928316,,,
blinded placebo,blinded placebo,blinded placebo,,,
blinded post trial therapy,blinded post trial therapy,blinded post trial therapy,,,
blinded pre trial therapy,blinded pre trial therapy,blinded pre trial therapy,,,
blinded placebo,blinded placebo,blinded placebo,,,
blinded rsv chad155 vaccine 15x10e10 vp,blinded rsv chad155 vaccine 15x10e10 vp,blinded rsv chad155 vaccine 15x10e10 vp,,,
blinded rsv chad155 vaccine 5x10e10 vp,blinded rsv chad155 vaccine 5x10e10 vp,blinded rsv chad155 vaccine 5x10e10 vp,,,
blinded tenofovir disoproxil fumarate,blinded tenofovir disoproxil fumarate,blinded tenofovir disoproxil,,,
blinded vaccine placebo,blinded vaccine placebo,blinded vaccine placebo,,,
blopress,blopress,blopress,,,
bmn 190,bmn 190,bmn 190,,,
botulinum toxin nos,botulinum toxin nos,botulinum toxin nos,,,
brazaves,brazaves,brazaves,,,
brevactid chorionic gonadotrophin powder and solvent for solution for injection 500ium,brevactid chorionic gonadotrophin powder and solvent for for 500ium,brevactid chorionic gonadotrophin powder and solvent for for 500ium,,,
brexin piroxicam,brexin piroxicam,brexin piroxicam,,,
briplatin,briplatin,briplatin,,,
bristopen,bristopen,bristopen,,,
bromides,bromides,bromides,,,
buccolam oromucosal solution 25mg,buccolam oromucosal 25mg,buccolam oromucosal 25mg,,,
buccolam oromucosal solution 5mg,buccolam oromucosal 5mg,buccolam oromucosal 5mg,,,
budenofalk,budenofalk,budenofalk,,,
busilvex,busilvex,busilvex,,,
busilvex 6 mgml,busilvex 6 mgml,busilvex 6 mgml,,,
busulphan,busulphan,busulphan,,,
byl719,byl719,byl719,,,
baxter sevoflurane,baxter sevoflurane,baxter sevoflurane,,,
bayaspirin,bayaspirin,bayaspirin,,,
bayaspirin 100 mg,bayaspirin 100 mg,bayaspirin 100 mg,,,
benuron,benuron,benuron,,,
benzathine penicillin,benzathine penicillin,benzathine penicillin,,,
betapred,betapred,betapred,,,
biklin,biklin,biklin,,,
brazaves,brazaves,brazaves,,,
bristopen,bristopen,bristopen,,,
busulphan,busulphan,busulphan,,,
ca gluconate,ca gluconate,ca gluconate,,,
cabergolinratiopharm,cabergolinratiopharm,cabergolinratiopharm,,,
calcium cldextrosemagnesium clsodium bicarsodium clsodium lact,calcium cldextrosemagnesium clsodium bicarsodium clsodium lact,cldextrosemagnesium clsodium bicarsodium clsodium lact,,,
calcium folinate,calcium folinate,folinate,,,
calcium supplement,calcium supplement,supplement,,,
calciumcarbcolecalc kauwtb 25g800ie 1000mg ca calci chew d3 kau,calciumcarbcolecalc kauwtb 25g800ie 1000mg ca calci chew d3 kau,calciumcarbcolecalc kauwtb 25g800ie 1000mg ca calci chew d3 kau,,,
calonal,calonal,calonal,,,
calpol infant suspension,calpol infant,calpol infant,,,
camrelizumab,camrelizumab,camrelizumab,,,
cannabis sativa subsp indica top,cannabis sativa subsp indica top,cannabis sativa subsp indica top,,,
cannibidiol oral solution 300mgml,cannibidiol oral 300mgml,cannibidiol oral 300mgml,,,
carbamazepin,carbamazepin,carbamazepin,,,
carbamazepine carbamazepine chewable tablet,carbamazepine carbamazepine chewable,carbamazepine carbamazepine chewable,,,
carbamazepine tablet 200mg brand name not specified,carbamazepine 200mg brand name not specified,carbamazepine 200mg brand name not specified,,,
carbamazepine zetpil 200 mg milligram,carbamazepine zetpil 200 mg milligram,carbamazepine zetpil 200 mg milligram,,,
carbasalate calcium,carbasalate calcium,carbasalate,,,
carbaspirin calcium,carbaspirin calcium,carbaspirin,,,
carbidopalevodopa,carbidopalevodopa,carbidopalevodopa,,,
carbinoxamine maleatedextromethorphanpseudoephedrine,carbinoxamine maleatedextromethorphanpseudoephedrine,carbinoxamine maleatedextromethorphanpseudoephedrine,,,
carbocisteine biogaran,carbocisteine biogaran,carbocisteine biogaran,,,
carbolithium,carbolithium,carbolithium,,,
carboplatin manufacturer unknown carboplatin carboplatin,carboplatin manufacturer unknown carboplatin carboplatin,carboplatin manufacturer unknown carboplatin carboplatin,,,
carboplatin manufacturer unknown,carboplatin manufacturer unknown,carboplatin manufacturer unknown,,,
carboplatin accord,carboplatin accord,carboplatin accord,,,
carboplatin injection 10mgml,carboplatin 10mgml,carboplatin 10mgml,,,
carboplatine accord,carboplatine accord,carboplatine accord,,,
carboplatine kabi,carboplatine kabi,carboplatine kabi,,,
carboplatinum,carboplatinum,carboplatinum,,,
cardioaspirin,cardioaspirin,cardioaspirin,,,
carmen,carmen,carmen,,,
carteolol hydrochloridelatanoprost,carteolol hydrochloridelatanoprost,carteolol hydrochloridelatanoprost,,,
cataprestts,cataprestts,cataprestts,,,
catapresan,catapresan,catapresan,,,
catapressan,catapressan,catapressan,,,
catequentinib,catequentinib,catequentinib,,,
cathflo activase,cathflo activase,cathflo activase,,,
cbd oil,cbd oil,cbd oil,,,
cbdca,cbdca,cbdca,,,
cefcapene,cefcapene,cefcapene,,,
cefcapene pivoxil,cefcapene pivoxil,cefcapene pivoxil,,,
ceftezole,ceftezole,ceftezole,,,
ceftrex,ceftrex,ceftrex,,,
ceftriaxon manufacturer unknown,ceftriaxon manufacturer unknown,ceftriaxon manufacturer unknown,,,
ceftriaxone 2 grams apotex,ceftriaxone 2 grams apotex,ceftriaxone 2 grams apotex,,,
ceftriaxone base,ceftriaxone base,ceftriaxone base,,,
ceftriaxone for injection manufacturer unknown,ceftriaxone for manufacturer unknown,ceftriaxone for manufacturer unknown,,,
ceftriaxone injection usp,ceftriaxone usp,ceftriaxone usp,,,
ceftriaxone sandoz,ceftriaxone sandoz,ceftriaxone sandoz,,,
cefuroxim,cefuroxim,cefuroxim,,,
cefuroxima hikma,cefuroxima hikma,cefuroxima hikma,,,
cefzon,cefzon,cefzon,,,
celestene,celestene,celestene,,,
celestene betamethasone,celestene betamethasone,celestene betamethasone,,,
celestene 4mg1ml,celestene 4mg1ml,celestene 4mg1ml,,,
celestene betamethasone,celestene betamethasone,celestene betamethasone,,,
celltop 100 mg5 ml solution injectable pour perfusion,celltop 100 mg5 ml injectable pour perfusion,celltop 100 mg5 ml injectable pour perfusion,,,
celltopetoposide 2000 mgmlsolution for injectionvial glass,celltopetoposide 2000 mgmlsolution for injectionvial glass,celltopetoposide 2000 mgmlsolution for injectionvial glass,,,
celocurin,celocurin,celocurin,,,
celovan,celovan,celovan,,,
cephalosporin,cephalosporin,cephalosporin,,,
cepharanthine,cepharanthine,cepharanthine,,,
cercine,cercine,cercine,,,
cernevit,cernevit,cernevit,,,
certican,certican,certican,,,
cetallerg,cetallerg,cetallerg,,,
cgp 56697,cgp 56697,cgp 56697,,,
ch1418 utch1418 ncich1418 infusion,ch1418 utch1418 ncich1418 infusion,ch1418 utch1418 ncich1418 infusion,,,
children claritin allergy,children claritin allergy,children claritin allergy,,,
childrens advil,childrens advil,childrens advil,,,
childrens tylenol chewables,childrens tylenol chewables,childrens tylenol chewables,,,
childrens advil,childrens advil,childrens advil,,,
childrens benadryl allergy,childrens benadryl allergy,childrens benadryl allergy,,,
childrens cetirizine hydrochloride sugar free grape,childrens cetirizine hydrochloride sugar free grape,childrens cetirizine sugar free grape,,,
childrens motrin,childrens motrin,childrens motrin,,,
childrens robitussin cough and cold cf,childrens robitussin cough and cold cf,childrens robitussin cough and cold cf,,,
childrens zyrtec,childrens zyrtec,childrens zyrtec,,,
chloraprep 2chg70ipa,chloraprep 2chg70ipa,chloraprep 2chg70ipa,,,
chloraprep with tint,chloraprep with tint,chloraprep with tint,,,
chlorhydrate de doxorubicine,chlorhydrate de doxorubicine,chlorhydrate de doxorubicine,,,
chlorhydrate de fluoxetine,chlorhydrate de fluoxetine,chlorhydrate de fluoxetine,,,
chlorhydrate de labetalol,chlorhydrate de labetalol,chlorhydrate de labetalol,,,
chlorhydrate de propranolol,chlorhydrate de propranolol,chlorhydrate de propranolol,,,
chlorhydrate de propranolol pierre fabre dermatologie propranolol oral solution,chlorhydrate de propranolol pierre fabre dermatologie propranolol oral,chlorhydrate de propranolol pierre fabre dermatologie propranolol oral,,,
chlorhydrate de sotalol,chlorhydrate de sotalol,chlorhydrate de sotalol,,,
chlorhydrate de tramadol,chlorhydrate de tramadol,chlorhydrate de tramadol,,,
chlorphenamine,chlorphenamine,chlorphenamine,,,
chlorpheniramine maleateguaifenesinmethylephedrine hydrochloride,chlorpheniramine maleateguaifenesinmethylephedrine hydrochloride,chlorpheniramine maleateguaifenesinmethylephedrine,,,
chlorpromazine pamoate,chlorpromazine pamoate,chlorpromazine pamoate,,,
chlorure de sodium a 09 pour cent baxter solution pour perfusion en,chlorure de sodium a 09 pour cent baxter pour perfusion en,chlorure de a 09 pour cent baxter pour perfusion en,,,
choloroquine,choloroquine,choloroquine,,,
ciclofosfamida,ciclofosfamida,ciclofosfamida,,,
ciclofosfamida 120a,ciclofosfamida 120a,ciclofosfamida 120a,,,
ciclosporin,ciclosporin,ciclosporin,,,
ciclosporin a,ciclosporin a,ciclosporin a,,,
ciclosporina 406a,ciclosporina 406a,ciclosporina 406a,,,
ciclosporine,ciclosporine,ciclosporine,,,
cipralex,cipralex,cipralex,,,
circadin,circadin,circadin,,,
cisordinol,cisordinol,cisordinol,,,
clamoxyl,clamoxyl,clamoxyl,,,
clamoxyl 00249601,clamoxyl 00249601,clamoxyl 00249601,,,
clarityn allergy,clarityn allergy,clarityn allergy,,,
clexane,clexane,clexane,,,
clinomel,clinomel,clinomel,,,
cloruro de sodio 09,cloruro de sodio 09,cloruro de sodio 09,,,
clotrimazolehexamidine diisethionate,clotrimazolehexamidine diisethionate,clotrimazolehexamidine diisethionate,,,
clozapin,clozapin,clozapin,,,
co dafalgan,co dafalgan,co dafalgan,,,
coamoxicillin,coamoxicillin,coamoxicillin,,,
coamoxiclav,coamoxiclav,coamoxiclav,,,
cocodamol,cocodamol,cocodamol,,,
codafalgan,codafalgan,codafalgan,,,
co dafalgan,co dafalgan,co dafalgan,,,
co tareg 160125 mg,co tareg 160125 mg,co tareg 160125 mg,,,
coaprovel,coaprovel,coaprovel,,,
coaprovel 300 mg25 mg comprim pellicul,coaprovel 300 mg25 mg comprim pellicul,coaprovel 300 mg25 mg comprim pellicul,,,
cocodamol,cocodamol,cocodamol,,,
codoliprane,codoliprane,codoliprane,,,
codoliprane 500 mg30 mg gelule,codoliprane 500 mg30 mg gelule,codoliprane 500 mg30 mg gelule,,,
codoliprane 500 mg30 mg gelule,codoliprane 500 mg30 mg gelule,codoliprane 500 mg30 mg gelule,,,
codoliprane adultes comprim s cable,codoliprane adultes comprim s cable,codoliprane adultes comprim s cable,,,
colecalciferol,colecalciferol,colecalciferol,,,
colircusi gentadexa,colircusi gentadexa,colircusi gentadexa,,,
colofoam,colofoam,colofoam,,,
compunded hydrocortisone caps,compunded hydrocortisone,compunded hydrocortisone,,,
coquelusedal,coquelusedal,coquelusedal,,,
coretec,coretec,coretec,,,
cortancyl,cortancyl,cortancyl,,,
cortiment budesonide,cortiment budesonide,cortiment budesonide,,,
cotriatec,cotriatec,cotriatec,,,
covid19 convalescent plasma,covid19 convalescent plasma,covid19 convalescent plasma,,,
covid19 vaccine nos,covid19 vaccine nos,covid19 vaccine nos,,,
cpm,cpm,cpm,,,
cpx351,cpx351,cpx351,,,
curam,curam,curam,,,
cyanocobalamine,cyanocobalamine,cyanocobalamine,,,
cyanocobalaminfolic acid,cyanocobalaminfolic acid,cyanocobalaminfolic acid,,,
cyclogest,cyclogest,cyclogest,,,
cyclosporin a,cyclosporin a,cyclosporin a,,,
cysteineglycinealanineserineaspartic acidlysinetyrosineleucinemethioninephenylalaninehisti,cysteineglycinealanineserineaspartic acidlysinetyrosineleucinemethioninephenylalaninehisti,cysteineglycinealanineserineaspartic acidlysinetyrosineleucinemethioninephenylalaninehisti,,,
cystografin,cystografin,cystografin,,,
cytocine arabinoside,cytocine arabinoside,cytocine arabinoside,,,
ca gluconate,ca gluconate,ca gluconate,,,
ca gluconate,ca gluconate,ca gluconate,,,
calcium folinat,calcium folinat,folinat,,,
calcium folinate,calcium folinate,folinate,,,
