cui,rxnorm_tty,rxnorm_name,atc_code,atc_name,L1_code,L1_name,L2_code,L2_name,L3_code,L3_name,L4_code,L4_name,L5_code,L5_name
C0001962,IN,ethanol,V03AZ01,ethanol,V,VARIOUS DRUG CLASSES IN ATC,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AZ,Nerve depressant drugs,V03AZ01,ethanol
C0001964,IN,1-propanol,D08AX03,propanol,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AX,Other antiseptics and disinfectants in ATC,D08AX03,propanol
C0001981,IN,alcuronium,M03AA01,alcuronium,M,MUSCULO-SKELETAL SYSTEM DRUGS,M03,MUSCLE RELAXANTS,M03A,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",M03AA,"Curare alkaloid muscle relaxants, peripherally acting",M03AA01,alcuronium
C0002006,IN,aldosterone,H02AA01,aldosterone,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AA,"Mineralocorticoids for systemic use, plain",H02AA01,aldosterone
C0002026,IN,alfentanil,N01AH02,alfentanil,N,NERVOUS SYSTEM DRUGS,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AH,Opioid anesthetics,N01AH02,alfentanil
C0002132,IN,allobarbital,N05CA21,allobarbital,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CA,"Barbiturates, hypnotics and sedatives, plain",N05CA21,allobarbital
C0002144,IN,allopurinol,M04AA01,allopurinol,M,MUSCULO-SKELETAL SYSTEM DRUGS,M04,ANTIGOUT PREPARATIONS,M04A,ANTIGOUT PREPARATIONS,M04AA,Preparations inhibiting uric acid production,M04AA01,allopurinol
C0002158,IN,allylestrenol,G03DC01,allylestrenol,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03D,PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03DC,"Estren derivatives, sex hormones and modulators of the genital system",G03DC01,allylestrenol
C0002164,IN,almitrine,R07AB07,almitrine,R,RESPIRATORY SYSTEM DRUGS,R07,OTHER RESPIRATORY SYSTEM PRODUCTS in ATC,R07A,OTHER RESPIRATORY SYSTEM PRODUCTS in ATC,R07AB,Respiratory stimulants,R07AB07,almitrine
C0002191,IN,alpha 1-antitrypsin,B02AB02,alfa1 antitrypsin,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B02,ANTIHEMORRHAGICS,B02A,ANTIFIBRINOLYTICS,B02AB,"Proteinase inhibitors, antifibrinolytic",B02AB02,alfa1 antitrypsin
C0002199,,,L03AB01,interferon alfa natural,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03AB,Interferons,L03AB01,interferon alfa natural
C0002260,IN,eflornithine,D11AX16,eflornithine,D,DERMATOLOGICALS,D11,OTHER DERMATOLOGICAL PREPARATIONS in ATC,D11A,OTHER DERMATOLOGICAL PREPARATIONS in ATC,D11AX,OTHER DERMATOLOGICAL PREPARATIONS IN ATC,D11AX16,eflornithine
C0002260,IN,eflornithine,L01XX79,eflornithine,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS in ATC,L01XX,Other antineoplastic agents in ATC,L01XX79,eflornithine
C0002260,IN,eflornithine,P01CX03,eflornithine,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01C,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,P01CX,Other agents against leishmaniasis and trypanosomiasis in ATC,P01CX03,eflornithine
C0002333,IN,alprazolam,N05BA12,alprazolam,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05B,ANXIOLYTICS,N05BA,Benzodiazepine derivative anxiolytics,N05BA12,alprazolam
C0002334,IN,alprenolol,C07AA01,alprenolol,C,CARDIOVASCULAR SYSTEM DRUGS,C07,beta-Adrenergic Blocking Agents,C07A,BETA BLOCKING AGENTS,C07AA,"Beta blocking agents, non-selective",C07AA01,alprenolol
C0002335,IN,alprostadil,C01EA01,alprostadil,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01E,OTHER CARDIAC PREPARATIONS in ATC,C01EA,Prostaglandin cardiac therapy preparations,C01EA01,alprostadil
C0002335,IN,alprostadil,G04BE01,alprostadil,G,GENITO URINARY SYSTEM AND SEX HORMONES,G04,UROLOGICALS,G04B,UROLOGICALS,G04BE,Drugs used in erectile dysfunction,G04BE01,alprostadil
C0002371,IN,aluminum hydroxide,A02AB01,aluminium hydroxide,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AB,antacids containing aluminium compounds,A02AB01,aluminium hydroxide
C0002374,IN,aluminum oxide,D10AX04,aluminium oxide,D,DERMATOLOGICALS,D10,ANTI-ACNE PREPARATIONS,D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10AX,Other anti-acne preparations for topical use in ATC,D10AX04,aluminium oxide
C0002403,IN,amantadine,N04BB01,amantadine,N,NERVOUS SYSTEM DRUGS,N04,ANTI-PARKINSON DRUGS,N04B,DOPAMINERGIC AGENTS,N04BB,"Adamantane derivatives, dopaminergic",N04BB01,amantadine
C0002412,IN,ambenonium,N07AA30,ambenonium,N,NERVOUS SYSTEM DRUGS,N07,OTHER NERVOUS SYSTEM DRUGS in ATC,N07A,PARASYMPATHOMIMETICS,N07AA,Anticholinesterase parasympathomimetics,N07AA30,ambenonium
C0002421,IN,ambroxol,R02AD05,ambroxol,R,RESPIRATORY SYSTEM DRUGS,R02,THROAT PREPARATIONS,R02A,THROAT PREPARATIONS,R02AD,local anesthetic throat preparations,R02AD05,ambroxol
C0002421,IN,ambroxol,R05CB06,ambroxol,R,RESPIRATORY SYSTEM DRUGS,R05,COUGH AND COLD PREPARATIONS,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05CB,Mucolytics,R05CB06,ambroxol
C0002435,IN,amdinocillin,J01CA11,mecillinam,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,J01CA11,mecillinam
C0002436,IN,amdinocillin pivoxil,J01CA08,pivmecillinam,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,J01CA08,pivmecillinam
C0002475,IN,mitomycin,L01DC03,mitomycin,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,L01DC,Other cytotoxic antibiotics in ATC,L01DC03,mitomycin
C0002499,IN,amikacin,D06AX12,amikacin,D,DERMATOLOGICALS,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06A,ANTIBIOTICS FOR TOPICAL USE,D06AX,Other antibiotics for topical use in ATC,D06AX12,amikacin
C0002499,IN,amikacin,J01GB06,amikacin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01G,AMINOGLYCOSIDE ANTIBACTERIALS,J01GB,Other aminoglycosides in ATC,J01GB06,amikacin
C0002499,IN,amikacin,S01AA21,amikacin,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVE OPHTHALMOLOGICS,S01AA,"Antibiotics, ophthalmologic",S01AA21,amikacin
C0002502,IN,amiloride,C03DB01,amiloride,C,CARDIOVASCULAR SYSTEM DRUGS,C03,DIURETICS,C03D,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,C03DB,Other potassium-sparing agents in ATC,C03DB01,amiloride
C0002503,IN,aminacrine,D08AA02,aminoacridine,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AA,"Acridine derivatives, antiseptics and disinfectants",D08AA02,aminoacridine
C0002520,,,B05BA01,amino acids,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05B,"IV solutions used in parenteral administration of fluids, electrolytes and nutrients",B05BA,Solutions for parenteral nutrition,B05BA01,amino acids
C0002555,IN,aminoglutethimide,L02BG01,aminoglutethimide,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02,ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,L02BG,Aromatase inhibitors,L02BG01,aminoglutethimide
C0002563,IN,aminolevulinic acid,L01XD04,aminolevulinic acid,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS in ATC,L01XD,Sensitizers used in photodynamic/radiation therapy,L01XD04,aminolevulinic acid
C0002575,IN,aminophylline,R03DA05,aminophylline,R,RESPIRATORY SYSTEM DRUGS,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC,R03DA,"Xanthines, systemic for obstructive airway disease",R03DA05,aminophylline
C0002586,IN,aminopyrine,N02BB03,aminophenazone,N,NERVOUS SYSTEM DRUGS,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS in ATC,N02BB,"Pyrazolones, analgesics and antipyretics",N02BB03,aminophenazone
C0002598,IN,amiodarone,C01BD01,amiodarone,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BD,"Antiarrhythmics, class III",C01BD01,amiodarone
C0002600,IN,amitriptyline,N06AA09,amitriptyline,N,NERVOUS SYSTEM DRUGS,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AA,Non-selective monoamine reuptake inhibitors,N06AA09,amitriptyline
C0002615,IN,ammonium chloride,B05XA04,ammonium chloride,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05X,I.V. SOLUTION ADDITIVES,B05XA,Electrolyte solutions,B05XA04,ammonium chloride
C0002615,IN,ammonium chloride,G04BA01,ammonium chloride,G,GENITO URINARY SYSTEM AND SEX HORMONES,G04,UROLOGICALS,G04B,UROLOGICALS,G04BA,Acidifiers,G04BA01,ammonium chloride
C0002640,IN,amobarbital,N05CA02,amobarbital,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CA,"Barbiturates, hypnotics and sedatives, plain",N05CA02,amobarbital
C0002641,IN,amodiaquine,P01BA06,amodiaquine,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01B,ANTIMALARIALS,P01BA,Aminoquinoline antimalarials,P01BA06,amodiaquine
C0002644,IN,amoxapine,N06AA17,amoxapine,N,NERVOUS SYSTEM DRUGS,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AA,Non-selective monoamine reuptake inhibitors,N06AA17,amoxapine
C0002645,IN,amoxicillin,J01CA04,amoxicillin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,J01CA04,amoxicillin
C0002658,IN,amphetamine,N06BA01,amfetamine,N,NERVOUS SYSTEM DRUGS,N06,PSYCHOANALEPTICS,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BA,Centrally acting sympathomimetics,N06BA01,amfetamine
C0002679,IN,amphotericin B,A01AB04,amphotericin B,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin B
C0002679,IN,amphotericin B,A07AA07,amphotericin B,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07A,INTESTINAL ANTIINFECTIVES,A07AA,"antibiotics, intestinal",A07AA07,amphotericin B
C0002679,IN,amphotericin B,G01AA03,amphotericin B,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AA,"Antibiotics, Gynecological",G01AA03,amphotericin B
C0002679,IN,amphotericin B,J02AA01,amphotericin B,J,ANTIINFECTIVES FOR SYSTEMIC USE,J02,ANTIMYCOTICS FOR SYSTEMIC USE,J02A,ANTIMYCOTICS FOR SYSTEMIC USE,J02AA,Antibiotics for systemic use,J02AA01,amphotericin B
C0002680,IN,ampicillin,J01CA01,ampicillin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,J01CA01,ampicillin
C0002680,IN,ampicillin,S01AA19,ampicillin,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVE OPHTHALMOLOGICS,S01AA,"Antibiotics, ophthalmologic",S01AA19,ampicillin
C0002697,IN,inamrinone,C01CE01,amrinone,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CE,"Phosphodiesterase inhibitors, cardiac stimulant",C01CE01,amrinone
C0002699,IN,amsacrine,L01XX01,amsacrine,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS in ATC,L01XX,Other antineoplastic agents in ATC,L01XX01,amsacrine
C0002711,IN,amyl nitrite,V03AB22,amyl nitrite,V,VARIOUS DRUG CLASSES IN ATC,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,V03AB22,amyl nitrite
C0002823,IN,ancrod,B01AD09,ancrod,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AD,"Enzymes, antithrombotic",B01AD09,ancrod
C0003001,,,C01CX06,angiotensinamide,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CX,Other cardiac stimulants in ATC,C01CX06,angiotensinamide
C0003009,IN,angiotensin II,C01CX09,angiotensin II,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CX,Other cardiac stimulants in ATC,C01CX09,angiotensin II
C0003143,IN,antazoline,R01AC04,antazoline,R,RESPIRATORY SYSTEM DRUGS,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AC,"Antiallergic nasal preparations for topical use, excl. corticosteroids",R01AC04,antazoline
C0003143,IN,antazoline,R06AX05,antazoline,R,RESPIRATORY SYSTEM DRUGS,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AX,Other antihistamines for systemic use in ATC,R06AX05,antazoline
