cui,rxnorm_tty,rxnorm_name,atc_codes,atc_labels
C0003166,IN,anthralin,D05AC01,dithranol
C0003380,IN,antimony,,
C0003382,IN,antimony potassium tartrate,,
C0003420,IN,antipyrine,N02BB01;S02DA03,phenazone
C0003524,IN,apazone,M01AX04,azapropazone
C0003596,IN,apomorphine,G04BE07;N04BC07,apomorphine
C0003639,IN,aprindine,C01BB04,aprindine
C0003641,IN,aprotinin,B02AB01,aprotinin
C0003682,,,,
C0003695,PIN,arachidonic acid,,
C0003729,IN,arbutin,,
C0003753,,,,
C0003765,IN,arginine,,
C0003946,,,,
C0003968,IN,ascorbic acid,A11GA01;G01AD03;S01XA15,ascorbic acid;ascorbic acid (vit C)
C0003993,IN,asparaginase,L01XX02,asparaginase
C0003995,IN,asparagine,,
C0003999,IN,aspartame,,
C0004015,IN,aspartic acid,,
C0004057,IN,aspirin,A01AD05;B01AC06;N02BA01,acetylsalicylic acid
C0004147,IN,atenolol,C07AB03,atenolol
C0004234,IN,atracurium,M03AC04,atracurium
C0004235,PIN,atracurium besylate,,
C0004237,,,,
C0004259,IN,atropine,A03BA01;S01FA01,atropine
C0004320,IN,auranofin,M01CB03,auranofin
C0004434,,,,
C0004475,IN,azacitidine,L01BC07,azacitidine
C0004476,,,,
C0004482,IN,azathioprine,L04AX01,azathioprine
C0004499,IN,azlocillin,J01CA09,azlocillin
C0004521,IN,aztreonam,J01DF01,aztreonam
C0004595,IN,Bacillus subtilis,,
C0004599,IN,bacitracin,D06AX05;J01XX10;R02AB04;S01AA32,bacitracin
C0004609,IN,baclofen,M03BX01,baclofen
C0004740,,,,
C0004743,IN,barbital,N05CA04,barbital
C0004749,IN,barium,,
C0004754,IN,barium sulfate,,
C0004886,,,L03AX03,BCG vaccine
C0004906,PIN,beclomethasone dipropionate,,
C0004960,,,R07AB05,bemegride
C0004969,IN,bencyclane,C04AX11,bencyclane
C0004975,IN,bendroflumethiazide,C03AA01,bendroflumethiazide
C0005013,IN,benperidol,N05AD07,benperidol
C0005014,IN,benserazide,,
C0005018,IN,bentonite,,
C0005025,IN,benzalkonium,D08AJ01;D09AA11;R02AA16,benzalkonium
C0005035,IN,benzbromarone,M04AB03,benzbromarone
C0005038,IN,lindane,P03AB02,lindane
C0005041,IN,benzethonium,R02AA09,benzethonium
C0005059,IN,benzocaine,C05AD03;D04AB04;N01BA05;R02AD01,benzocaine
C0005064,,,,
C0005070,IN,benzoin resin,,
C0005088,IN,benzoyl peroxide,D10AE01,benzoyl peroxide
C0005096,IN,benzphetamine,,
C0005098,IN,benztropine,N04AC01,benzatropine
C0005099,IN,benzydamine,A01AD02;G02CC03;M01AX07;M02AA05;R02AX03,benzydamine
C0005100,IN,benzyl alcohol,P03AX06,benzyl alcohol
C0005116,IN,bepridil,C08EA02,bepridil
C0005117,IN,berberine,,
C0005214,IN,beta-escin,,
C0005220,,,,
C0005301,IN,betahistine,N07CA01,betahistine
C0005304,IN,betaine,A16AA06,betaine
C0005308,IN,betamethasone,A07EA04;C05AA05;D07AC01;D07XC01;H02AB01;R01AD06;R03BA04;S01BA06;S01CB04;S02BA07;S03BA03,betamethasone
C0005320,IN,betaxolol,C07AB05;S01ED02,betaxolol
C0005321,,,V04CG02,betazole
C0005330,IN,bezafibrate,C10AB02,bezafibrate
C0005372,,,,
C0005575,IN,biotin,A11HA05,biotin
C0005578,IN,biperiden,N04AA02,biperiden
C0005632,IN,bisacodyl,A06AB02;A06AG02,bisacodyl
C0005640,IN,dicumarol,B01AA01,dicoumarol
C0005661,,,D10AB01;P02BX01,bithionol
C0005740,IN,bleomycin,L01DC01,bleomycin
C0005919,,,,
C0006020,IN,boric acid,S02AA03,boric acid
C0006030,IN,boron,,
C0006050,IN,botulinum toxin type A,,
C0006051,IN,botulinum toxin type B,,
C0006100,,,,
C0006213,IN,bromazepam,N05BA08,bromazepam
C0006217,IN,bromelains,D03BA03;M09AB03,bromelains
C0006220,IN,bromhexine,R05CB02,bromhexine
C0006226,,,N05CM03,bromisoval
C0006230,IN,bromocriptine,G02CB01;N04BC01,bromocriptine
C0006233,,,,
C0006246,IN,brompheniramine,R06AB01,brompheniramine
C0006351,IN,bufexamac,M01AB17;M02AA09,bufexamac
C0006359,,,A10BA03,buformin
C0006360,,,,
C0006376,IN,bumetanide,C03CA02,bumetanide
C0006388,IN,levobunolol,S01ED03,levobunolol
C0006400,IN,bupivacaine,N01BB01,bupivacaine
C0006403,IN,bupranolol,C07AA19,bupranolol
C0006405,IN,buprenorphine,N02AE01;N07BC01,buprenorphine
C0006456,IN,buserelin,L02AE01,buserelin
C0006462,IN,buspirone,N05BE01,buspirone
C0006463,IN,busulfan,L01AB01,busulfan
C0006464,IN,butabarbital,,
C0006491,IN,butorphanol,N02AF01,butorphanol
C0006507,IN,butylated hydroxytoluene,,
C0006628,,,,
C0006630,,,,
C0006632,IN,cadmium,,
C0006639,,,V04CC04,ceruletide
C0006644,IN,caffeine,D11AX26;N06BC01,caffeine
C0006657,IN,calcifediol,A11CC06;H05BX05,calcifediol
C0006668,IN,calcitonin,,
C0006669,,,,
C0006674,IN,calcitriol,A11CC04;D05AX03,calcitriol
C0006675,IN,calcium,,
C0006681,IN,calcium carbonate,A02AC01;A12AA04,calcium carbonate
C0006686,IN,calcium chloride,A12AA07;B05XA07;G04BA03,calcium chloride
C0006695,IN,calcium fluoride,,
C0006699,IN,calcium gluconate,A12AA03;B05XA19;D11AX03,calcium gluconate
C0006700,IN,calcium glycerophosphate,,
C0006711,IN,calcium phosphate,A12AA01,calcium phosphate
C0006712,,,,
C0006720,IN,calcium sulfate,,
C0006790,,,,
C0006796,IN,cambendazole,,
C0006809,IN,camphor,,
C0006812,,,,
C0006834,,,G01AA04,candicidin
C0006863,IN,cannabidiol,N03AX24,cannabidiol
C0006865,IN,cannabinol,,
C0006882,IN,canrenone,C03DA03,canrenone
C0006886,IN,cantharidin,,
C0006931,IN,capsaicin,M02AB01;N01BX04,capsaicin
C0006938,IN,captopril,C09AA01,captopril
C0006945,IN,carbachol,N07AB01;S01EB02,carbachol
C0006949,IN,carbamazepine,N03AF01,carbamazepine
C0006971,,,L01AC03,carboquone
C0006972,IN,carbazochrome,B02BX02,carbazochrome
C0006976,IN,carbenicillin,J01CA03,carbenicillin
C0006979,IN,carbenoxolone,A02BX01,carbenoxolone
C0006982,IN,carbidopa,,
C0006983,IN,carbimazole,H03BB01,carbimazole
C0006992,IN,carbocysteine,R05CB03,carbocisteine
C0007009,,,,
C0007010,IN,carbon black,,
C0007012,IN,carbon dioxide,V03AN02,carbon dioxide
C0007018,IN,carbon monoxide,V04CX08,carbon monoxide
C0007053,,,,
C0007068,IN,carboxymethylcellulose,,
C0007072,IN,glucarpidase,V03AF09,glucarpidase
C0007077,IN,carbromal,N05CM04,carbromal
C0007248,IN,carisoprodol,M03BA02,carisoprodol
C0007257,IN,carmustine,L01AD01,carmustine
C0007267,IN,carnosine,,
C0007299,IN,carteolol,C07AA15;S01ED05,carteolol
C0007343,IN,castor oil,A06AB05,castor oil
C0007404,IN,catechin,,
C0007537,IN,cefaclor,J01DC04,cefaclor
C0007538,IN,cefadroxil,J01DB05,cefadroxil
C0007541,IN,cefamandole,J01DC03,cefamandole
C0007545,IN,cefatrizine,J01DB07,cefatrizine
C0007546,IN,cefazolin,J01DB04,cefazolin
C0007549,,,J01DD05;S01AA31;S02AA18,cefmenoxime
C0007550,IN,cefmetazole,J01DC09,cefmetazole
C0007551,IN,cefonicid,J01DC06,cefonicid
C0007552,IN,cefoperazone,J01DD12,cefoperazone
C0007554,IN,cefotaxime,J01DD01,cefotaxime
C0007555,IN,cefotetan,J01DC05,cefotetan
C0007556,IN,cefotiam,J01DC07,cefotiam
C0007557,IN,cefoxitin,J01DC01,cefoxitin
C0007558,IN,cefsulodin,J01DD03,cefsulodin
C0007559,IN,ceftazidime,J01DD02,ceftazidime
C0007560,IN,ceftizoxime,J01DD07,ceftizoxime
C0007561,IN,ceftriaxone,J01DD04,ceftriaxone
C0007562,IN,cefuroxime,J01DC02;S01AA27,cefuroxime
C0007630,,,,
C0007648,IN,cellulose,,
C0007649,PIN,"cellulose, oxidized",B02BC02,oxidized cellulose
C0007665,,,G03XC04,ormeloxifene
C0007710,IN,meclofenoxate,N06BX01,meclofenoxate
C0007714,,,J01DB10,cefacetrile
C0007716,IN,cephalexin,J01DB01,cefalexin
C0007721,,,,
C0007727,IN,cephaloridine,J01DB02,cefaloridine
C0007735,IN,cephalothin,J01DB03,cefalotin
C0007737,IN,cephapirin,J01DB08,cefapirin
C0007738,IN,cephradine,J01DB09,cefradine
C0007886,IN,cesium,,
C0007906,IN,cetylpyridinium,B05CA01;D08AJ03;D09AA07;R02AA06,cetylpyridinium
C0008024,PIN,chenodeoxycholic acid,A05AA01,chenodeoxycholic acid
C0008161,PIN,chloral hydrate,N05CC01,chloral hydrate
C0008163,IN,chlorambucil,L01AA02,chlorambucil
C0008168,IN,chloramphenicol,D06AX02;D10AF03;G01AA05;J01BA01;S01AA01;S02AA01;S03AA08,chloramphenicol
C0008173,,,,
C0008174,IN,clorazepate,,
C0008183,IN,chlorcyclizine,R06AE04,chlorcyclizine
C0008188,IN,chlordiazepoxide,N05BA02,chlordiazepoxide
C0008196,IN,chlorhexidine,A01AB03;B05CA02;D08AC02;D09AA12;R02AA05;S01AX09;S02AA09;S03AA04,chlorhexidine
C0008209,IN,chlorine,,
C0008214,PIN,chlormadinone acetate,,
C0008217,,,,
C0008221,IN,chlormethiazole,N05CM02,clomethiazole
C0008223,IN,chlormezanone,M03BB02,chlormezanone
C0008232,IN,chlorobutanol,A04AD04,chlorobutanol
C0008238,IN,chloroform,N01AB02,chloroform
C0008240,IN,chlorogenic acid,,
C0008241,IN,proguanil,P01BB01,proguanil
C0008269,IN,chloroquine,P01BA01,chloroquine
C0008273,IN,chlorothiazide,C03AA04,chlorothiazide
C0008275,IN,chlorotrianisene,G03CA06,chlorotrianisene
C0008281,IN,chlorpheniramine,R06AB04,chlorphenamine
C0008286,IN,chlorpromazine,N05AA01,chlorpromazine
C0008287,IN,chlorpropamide,A10BB02,chlorpropamide
C0008290,IN,chlorprothixene,N05AF03,chlorprothixene
C0008292,IN,chlorquinaldol,D08AH02;G01AC03;P01AA04;R02AA11,chlorquinaldol
C0008293,IN,chlortetracycline,A01AB21;D06AA02;J01AA03;S01AA02,chlortetracycline
C0008294,IN,chlorthalidone,C03BA04,chlortalidone
C0008296,IN,chlorzoxazone,M03BB03,chlorzoxazone
C0008318,IN,cholecalciferol,A11CC05,colecalciferol
C0008328,IN,cholecystokinin,V04CK02,pancreozymin (cholecystokinin)
C0008357,,,,
C0008359,,,J07AE,Cholera vaccines
C0008377,IN,cholesterol,,
C0008402,IN,cholestyramine resin,C10AC01,colestyramine
C0008405,IN,choline,,
C0008466,IN,chondroitin sulfates,M01AX25,chondroitin sulfate
C0008574,IN,chromium,,
C0008736,IN,chymopapain,M09AB01,chymopapain
C0008742,IN,chymotrypsin,B06AA04;S01KX01,chymotrypsin
C0008744,,,,
C0008777,IN,cilastatin,,
C0008783,IN,cimetidine,A02BA01,cimetidine
C0008803,IN,cinnarizine,N07CA02,cinnarizine
C0008806,IN,cinoxacin,J01MB06,cinoxacin
C0008809,IN,ciprofloxacin,J01MA02;S01AE03;S02AA15;S03AA07,ciprofloxacin
C0008838,IN,cisplatin,L01XA01,cisplatin
C0008845,IN,citalopram,N06AB04,citalopram
C0008849,PIN,citraconic acid,,
C0008864,IN,citrulline,,
C0008929,IN,clemastine,D04AA14;R06AA04,clemastine
C0008931,,,,
C0008932,IN,clenbuterol,R03AC14;R03CC13,clenbuterol
C0008947,IN,clindamycin,D10AF01;G01AA10;J01FF01,clindamycin
C0008992,IN,clobetasol,D07AD01,clobetasol
C0008996,IN,clofazimine,J04BA01,clofazimine
C0009002,IN,clofibrate,C10AB01,clofibrate
C0009008,IN,clomiphene,G03GB02,clomifene
C0009010,IN,clomipramine,N06AA04,clomipramine
C0009011,IN,clonazepam,N03AE01,clonazepam
C0009014,IN,clonidine,C02AC01;N02CX02;S01EA04,clonidine
C0009018,IN,clonixin,,
C0009025,IN,clopamide,C03BA03,clopamide
C0009026,,,N05AF02,clopenthixol
C0009030,IN,cloprostenol,,
C0009035,,,,
C0009053,IN,collagenase Clostridium histolyticum,M09AB02,collagenase clostridium histolyticum
C0009071,IN,clothiapine,N05AH06,clotiapine
C0009073,IN,clotiazepam,N05BA21,clotiazepam
C0009074,IN,clotrimazole,A01AB18;D01AC01;G01AF02,clotrimazole
C0009077,IN,cloxacillin,J01CF02,cloxacillin
C0009079,IN,clozapine,N05AH02,clozapine
C0009137,IN,coal tar,,
C0009148,IN,cobalt,,
C0009170,IN,cocaine,N01BC01;R02AD03;S01HA01;S02DA02,cocaine
C0009209,,,,
C0009213,IN,cod liver oil,,
C0009214,IN,codeine,R05DA04,codeine
C0009262,IN,colchicine,M04AC01,colchicine
C0009279,IN,colestipol,C10AC02,colestipol
C0009315,PIN,colistimethate,,
C0009316,IN,colistin,A07AA10;J01XB01,colistin
C0009325,IN,collagen,B02BC07;G04BX11,collagen
C0009968,IN,copper,,
C0009975,IN,copper gluconate,,
C0010124,,,,
C0010137,IN,cortisone,H02AB10;S01BA03,cortisone
C0010192,IN,cosyntropin,H01AA02,tetracosactide
C0010203,,,,
C0010206,IN,coumarin,,
C0010286,IN,creatine,,
C0010294,IN,creatinine,,
C0010303,IN,creosote,R05CA08,creosote
C0010347,IN,cromoglycate,,
C0010467,IN,curcumin,,
C0010502,,,,
C0010523,IN,cyclacillin,,
C0010525,IN,cyclandelate,C04AX01,cyclandelate
C0010547,IN,cyclizine,R06AE03,cyclizine
C0010560,IN,cyclofenil,G03GB01,cyclofenil
C0010575,,,,
C0010581,IN,cyclopenthiazide,C03AA07,cyclopenthiazide
C0010582,IN,cyclopentolate,S01FA04,cyclopentolate
C0010583,IN,cyclophosphamide,L01AA01,cyclophosphamide
C0010587,,,,
C0010590,IN,cycloserine,J04AB01,cycloserine
C0010592,IN,cyclosporine,L04AD01;S01XA18,ciclosporin
C0010620,IN,cyproheptadine,R06AX02,cyproheptadine
C0010648,IN,cysteamine,A16AA04;S01XA21,mercaptamine
C0010654,IN,cysteine,,
C0010682,IN,cystine,,
C0010711,IN,cytarabine,L01BC01,cytarabine
C0010725,IN,citicoline,N06BX06,citicoline
C0010749,,,,
C0010906,,,,
C0010927,IN,dacarbazine,L01AX04,dacarbazine
C0010934,IN,dactinomycin,L01DA01,dactinomycin
C0010961,IN,danazol,G03XA01,danazol
C0010976,IN,dantrolene,M03CA01,dantrolene
C0010980,IN,dapsone,D10AX05;J04BA02,dapsone
C0011015,IN,daunorubicin,L01DB02,daunorubicin
C0011064,IN,deanol,N06BX04,deanol
C0011082,IN,debrisoquin,C02CC04,debrisoquine
C0011134,IN,diethyltoluamide,P03BX01,diethyltoluamide
C0011145,IN,deferoxamine,V03AC01,deferoxamine
C0011177,,,,
C0011182,PIN,dehydrocholic acid,,
C0011185,IN,prasterone,A14AA07;G03XX01,prasterone
C0011259,,,L01CC01,demecolcine
C0011276,IN,demeclocycline,D06AA01;J01AA01,demeclocycline
C0011279,IN,nordazepam,N05BA16,nordazepam
C0011479,PIN,deoxycholic acid,D11AX24,deoxycholic acid
C0011498,,,,
C0011519,,,,
C0011522,IN,deoxyribonucleases,B06AA10,desoxyribonuclease
C0011588,IN,dequalinium,D08AH01;G01AC05;R02AA02,dequalinium
C0011602,,,B01AX04,dermatan sulfate
C0011685,IN,desipramine,N06AA01,desipramine
C0011689,IN,deslanoside,C01AA07,deslanoside
C0011701,IN,desmopressin,H01BA02,desmopressin
C0011705,IN,desonide,D07AB08;S01BA11,desonide
C0011707,IN,desoximetasone,D07AC03;D07XC02,desoximetasone
C0011710,IN,desoxycorticosterone,H02AA03,desoxycortone
C0011777,IN,dexamethasone,A01AC02;C05AA09;D07AB19;D07XB05;D10AA03;H02AB02;R01AD03;S01BA01;S01CB01;S02BA06;S03BA01,dexamethasone
C0011779,PIN,dexamethasone isonicotinate,,
C0011786,IN,dexfenfluramine,A08AA04,dexfenfluramine
C0011792,,,,
C0011812,IN,dextroamphetamine,N06BA02,dexamfetamine
C0011816,IN,dextromethorphan,R05DA09,dextromethorphan
C0011817,IN,dextromoramide,N02AC01,dextromoramide
C0011821,,,,
C0011824,IN,dextrothyroxine,C10AX01,dextrothyroxine
C0011892,IN,heroin,N07BC06,diamorphine
C0011961,,,,
C0011967,,,,
C0012004,IN,diatrizoate,,
C0012010,IN,diazepam,N05BA01,diazepam
C0012020,,,,
C0012022,IN,diazoxide,C02DA01;V03AH01,diazoxide
C0012024,IN,dibekacin,J01GB09;S01AA29,dibekacin
C0012050,IN,dibucaine,C05AD04;D04AB02;N01BB06;S01HA06;S02DA04,cinchocaine
C0012052,IN,dibutyl phthalate,P03BX03,dibutylphthalate
C0012054,,,C01CE04,bucladesine
C0012066,IN,dichloroacetate,,
C0012081,IN,clodronic acid,M05BA02,clodronic acid
C0012082,IN,dichlorophen,P02DX02,dichlorophen
C0012086,IN,dichlorphenamide,S01EC02,diclofenamide
C0012087,,,,
C0012091,IN,diclofenac,D11AX18;M01AB05;M02AA15;S01BC03,diclofenac
C0012093,IN,dicloxacillin,J01CF01,dicloxacillin
C0012125,IN,dicyclomine,A03AA07,dicycloverine
C0012131,,,,
C0012132,IN,zalcitabine,J05AF03,zalcitabine
C0012133,IN,didanosine,J05AF02,didanosine
C0012145,IN,dienestrol,G03CB01;G03CC02,dienestrol
C0012191,IN,diethylcarbamazine,P02CB02,diethylcarbamazine
C0012194,,,,
C0012201,IN,diethylpropion,A08AA03,amfepramone
C0012203,IN,diethylstilbestrol,G03CB02;G03CC05;L02AA01,diethylstilbestrol
C0012227,IN,diflucortolone,D07AC06;D07XC04,diflucortolone
C0012228,IN,diflunisal,N02BA11,diflunisal
C0012257,,,,
C0012258,IN,digitoxin,C01AA04,digitoxin
C0012264,,,,
C0012265,IN,digoxin,C01AA05,digoxin
C0012271,IN,dihydralazine,C02DB01,dihydralazine
C0012289,IN,dihydroergocristine,C04AE04,dihydroergocristine
C0012290,IN,dihydroergocryptine,,
C0012291,IN,dihydroergotamine,N02CA01,dihydroergotamine
C0012294,IN,dihydroergotoxine,,
C0012299,IN,dihydrofolic acid,,
C0012305,,,,
C0012306,IN,hydromorphone,N02AA03,hydromorphone
C0012319,IN,dihydrotachysterol,A11CC02,dihydrotachysterol
C0012322,IN,dihydroxyacetone,,
C0012324,,,,
C0012341,IN,iodoquinol,G01AC01,diiodohydroxyquinoline
C0012367,,,C01DX10,dilazep
C0012373,IN,diltiazem,C05AE03;C08DB01,diltiazem
C0012381,IN,dimenhydrinate,R06AA11,dimenhydrinate
C0012383,IN,dimercaprol,V03AB09,dimercaprol
C0012384,IN,succimer,,
C0012390,IN,dimethindene,D04AA13;R06AB03,dimetindene
C0012403,IN,dimethyl sulfoxide,G04BX13;M02AX03,dimethyl sulfoxide
C0012426,,,,
C0012447,,,,
C0012460,,,,
C0012471,IN,dinoprost,G02AD01,dinoprost
C0012472,IN,dinoprostone,G02AD02,dinoprostone
C0012495,,,,
C0012498,IN,diosmin,C05CA03,diosmin
C0012522,IN,diphenhydramine,D04AA32;R06AA02,diphenhydramine
C0012525,IN,diphenoxylate,A07DA01,diphenoxylate
C0012551,IN,"diphtheria toxoid vaccine, inactivated",J07AF;J07AF01,Diphtheria vaccines;diphtheria toxoid
C0012572,,,,
C0012582,IN,dipyridamole,B01AC07,dipyridamole
C0012586,IN,dipyrone,,
C0012702,IN,disopyramide,C01BA03,disopyramide
C0012757,IN,distigmine,N07AA03,distigmine
C0012772,IN,disulfiram,N07BB01;P03AA04,disulfiram
C0012963,IN,dobutamine,C01CA07,dobutamine
C0013015,IN,domperidone,A03FA03,domperidone
C0013030,IN,dopamine,C01CA04,dopamine
C0013065,IN,dothiepin,N06AA16,dosulepin
C0013084,IN,doxapram,R07AB01,doxapram
C0013085,IN,doxepin,D04AX01;N06AA12,doxepin
C0013089,IN,doxorubicin,L01DB01,doxorubicin
C0013090,IN,doxycycline,A01AB22;J01AA02,doxycycline
C0013092,IN,doxylamine,R06AA09,doxylamine
C0013136,IN,droperidol,N05AD08,droperidol
C0013254,PIN,pentetic acid,,
C0013340,IN,dydrogesterone,G03DB01,dydrogesterone
C0013355,,,,
C0013360,IN,dyphylline,R03DA01,diprophylline
C0013495,,,,
C0013547,IN,econazole,D01AC03;G01AF05,econazole
C0013615,IN,edrophonium,V04CX07,edrophonium
C0013618,IN,edetic acid,,
C0013900,IN,ellagic acid,,
C0013954,IN,emepronium,G04BD01,emepronium
C0013974,IN,emetine,P01AX02,emetine
C0014025,IN,enalapril,C09AA02,enalapril
C0014027,IN,enalaprilat,,
C0014035,,,,
C0014063,,,,
C0014277,IN,enflurane,N01AB04,enflurane
C0014295,,,,
C0014310,IN,enoxacin,J01MA04,enoxacin
C0014448,IN,eosine yellowish,D08AX02,eosin
C0014479,IN,ephedrine,C01CA26;R01AA03;R01AB05;R03CA02;S01FB02,ephedrine
C0014485,IN,epicatechin,,
C0014561,,,G03GB03,epimestrol
C0014563,IN,epinephrine,A01AD01;B02BC09;C01CA24;R01AA14;R03AA01;S01EA01,epinephrine
C0014582,IN,epirubicin,L01DB03,epirubicin
C0014594,,,,
C0014654,,,,
C0014695,IN,ergocalciferol,A11CC01,ergocalciferol
C0014704,IN,ergonovine,G02AB03,ergometrine
C0014705,,,,
C0014708,IN,"ergoloid mesylates, USP",C04AE01,ergoloid mesylates
C0014710,IN,ergotamine,N02CA02,ergotamine
C0014713,IN,ergothioneine,,
C0014757,IN,erythritol,,
C0014806,IN,erythromycin,D10AF02;J01FA01;S01AA17,erythromycin
C0014838,IN,escin,,
C0014839,IN,esculin,,
C0014892,IN,estazolam,N05CD04,estazolam
C0014899,IN,estetrol,,
C0014912,IN,estradiol,G03CA03,estradiol
C0014927,IN,estriol,G03CA04;G03CC06,estriol
C0014938,IN,"estrogens, conjugated (USP)",G03CA57,conjugated estrogens
