cui,rxnorm_tty,rxnorm_name,atc_code,atc_name,L1_code,L1_name,L2_code,L2_name,L3_code,L3_name,L4_code,L4_name,L5_code,L5_name,unique_pub_count
C0002333,IN,alprazolam,N05BA12,alprazolam,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05B,ANXIOLYTICS,N05BA,Benzodiazepine derivative anxiolytics,N05BA12,alprazolam,73
C0002334,IN,alprenolol,C07AA01,alprenolol,C,CARDIOVASCULAR SYSTEM DRUGS,C07,beta-Adrenergic Blocking Agents,C07A,BETA BLOCKING AGENTS,C07AA,"Beta blocking agents, non-selective",C07AA01,alprenolol,4
C0002335,IN,alprostadil,C01EA01,alprostadil,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01E,OTHER CARDIAC PREPARATIONS in ATC,C01EA,Prostaglandin cardiac therapy preparations,C01EA01,alprostadil,546
C0002335,IN,alprostadil,G04BE01,alprostadil,G,GENITO URINARY SYSTEM AND SEX HORMONES,G04,UROLOGICALS,G04B,UROLOGICALS,G04BE,Drugs used in erectile dysfunction,G04BE01,alprostadil,546
C0002371,IN,aluminum hydroxide,A02AB01,aluminium hydroxide,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AB,antacids containing aluminium compounds,A02AB01,aluminium hydroxide,210
C0002374,IN,aluminum oxide,D10AX04,aluminium oxide,D,DERMATOLOGICALS,D10,ANTI-ACNE PREPARATIONS,D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10AX,Other anti-acne preparations for topical use in ATC,D10AX04,aluminium oxide,8
C0002403,IN,amantadine,N04BB01,amantadine,N,NERVOUS SYSTEM DRUGS,N04,ANTI-PARKINSON DRUGS,N04B,DOPAMINERGIC AGENTS,N04BB,"Adamantane derivatives, dopaminergic",N04BB01,amantadine,139
C0002412,IN,ambenonium,N07AA30,ambenonium,N,NERVOUS SYSTEM DRUGS,N07,OTHER NERVOUS SYSTEM DRUGS in ATC,N07A,PARASYMPATHOMIMETICS,N07AA,Anticholinesterase parasympathomimetics,N07AA30,ambenonium,1
C0002421,IN,ambroxol,R02AD05,ambroxol,R,RESPIRATORY SYSTEM DRUGS,R02,THROAT PREPARATIONS,R02A,THROAT PREPARATIONS,R02AD,local anesthetic throat preparations,R02AD05,ambroxol,89
C0002421,IN,ambroxol,R05CB06,ambroxol,R,RESPIRATORY SYSTEM DRUGS,R05,COUGH AND COLD PREPARATIONS,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05CB,Mucolytics,R05CB06,ambroxol,89
C0002435,IN,amdinocillin,J01CA11,mecillinam,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,J01CA11,mecillinam,32
C0002436,IN,amdinocillin pivoxil,J01CA08,pivmecillinam,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,J01CA08,pivmecillinam,54
C0002475,IN,mitomycin,L01DC03,mitomycin,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,L01DC,Other cytotoxic antibiotics in ATC,L01DC03,mitomycin,385
C0002499,IN,amikacin,D06AX12,amikacin,D,DERMATOLOGICALS,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06A,ANTIBIOTICS FOR TOPICAL USE,D06AX,Other antibiotics for topical use in ATC,D06AX12,amikacin,1034
C0002499,IN,amikacin,J01GB06,amikacin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01G,AMINOGLYCOSIDE ANTIBACTERIALS,J01GB,Other aminoglycosides in ATC,J01GB06,amikacin,1034
C0002499,IN,amikacin,S01AA21,amikacin,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVE OPHTHALMOLOGICS,S01AA,"Antibiotics, ophthalmologic",S01AA21,amikacin,1034
C0002502,IN,amiloride,C03DB01,amiloride,C,CARDIOVASCULAR SYSTEM DRUGS,C03,DIURETICS,C03D,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,C03DB,Other potassium-sparing agents in ATC,C03DB01,amiloride,83
C0002503,IN,aminacrine,D08AA02,aminoacridine,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AA,"Acridine derivatives, antiseptics and disinfectants",D08AA02,aminoacridine,16
C0002520,,,B05BA01,amino acids,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05B,"IV solutions used in parenteral administration of fluids, electrolytes and nutrients",B05BA,Solutions for parenteral nutrition,B05BA01,amino acids,3715
C0002555,IN,aminoglutethimide,L02BG01,aminoglutethimide,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02,ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,L02BG,Aromatase inhibitors,L02BG01,aminoglutethimide,9
C0002563,IN,aminolevulinic acid,L01XD04,aminolevulinic acid,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS in ATC,L01XD,Sensitizers used in photodynamic/radiation therapy,L01XD04,aminolevulinic acid,157
C0002575,IN,aminophylline,R03DA05,aminophylline,R,RESPIRATORY SYSTEM DRUGS,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC,R03DA,"Xanthines, systemic for obstructive airway disease",R03DA05,aminophylline,471
C0002586,IN,aminopyrine,N02BB03,aminophenazone,N,NERVOUS SYSTEM DRUGS,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS in ATC,N02BB,"Pyrazolones, analgesics and antipyretics",N02BB03,aminophenazone,85
C0002598,IN,amiodarone,C01BD01,amiodarone,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BD,"Antiarrhythmics, class III",C01BD01,amiodarone,424
C0002600,IN,amitriptyline,N06AA09,amitriptyline,N,NERVOUS SYSTEM DRUGS,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AA,Non-selective monoamine reuptake inhibitors,N06AA09,amitriptyline,261
C0002615,IN,ammonium chloride,B05XA04,ammonium chloride,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05X,I.V. SOLUTION ADDITIVES,B05XA,Electrolyte solutions,B05XA04,ammonium chloride,68
C0002615,IN,ammonium chloride,G04BA01,ammonium chloride,G,GENITO URINARY SYSTEM AND SEX HORMONES,G04,UROLOGICALS,G04B,UROLOGICALS,G04BA,Acidifiers,G04BA01,ammonium chloride,68
C0002640,IN,amobarbital,N05CA02,amobarbital,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CA,"Barbiturates, hypnotics and sedatives, plain",N05CA02,amobarbital,77
C0002641,IN,amodiaquine,P01BA06,amodiaquine,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01B,ANTIMALARIALS,P01BA,Aminoquinoline antimalarials,P01BA06,amodiaquine,641
C0002644,IN,amoxapine,N06AA17,amoxapine,N,NERVOUS SYSTEM DRUGS,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AA,Non-selective monoamine reuptake inhibitors,N06AA17,amoxapine,9
C0002645,IN,amoxicillin,J01CA04,amoxicillin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,J01CA04,amoxicillin,2854
C0002658,IN,amphetamine,N06BA01,amfetamine,N,NERVOUS SYSTEM DRUGS,N06,PSYCHOANALEPTICS,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BA,Centrally acting sympathomimetics,N06BA01,amfetamine,919
C0002679,IN,amphotericin B,A01AB04,amphotericin B,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin B,1837
C0002679,IN,amphotericin B,A07AA07,amphotericin B,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07A,INTESTINAL ANTIINFECTIVES,A07AA,"antibiotics, intestinal",A07AA07,amphotericin B,1837
C0002679,IN,amphotericin B,G01AA03,amphotericin B,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AA,"Antibiotics, Gynecological",G01AA03,amphotericin B,1837
C0002679,IN,amphotericin B,J02AA01,amphotericin B,J,ANTIINFECTIVES FOR SYSTEMIC USE,J02,ANTIMYCOTICS FOR SYSTEMIC USE,J02A,ANTIMYCOTICS FOR SYSTEMIC USE,J02AA,Antibiotics for systemic use,J02AA01,amphotericin B,1837
C0002680,IN,ampicillin,J01CA01,ampicillin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,J01CA01,ampicillin,3007
C0002680,IN,ampicillin,S01AA19,ampicillin,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVE OPHTHALMOLOGICS,S01AA,"Antibiotics, ophthalmologic",S01AA19,ampicillin,3007
C0002697,IN,inamrinone,C01CE01,amrinone,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CE,"Phosphodiesterase inhibitors, cardiac stimulant",C01CE01,amrinone,29
C0002699,IN,amsacrine,L01XX01,amsacrine,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS in ATC,L01XX,Other antineoplastic agents in ATC,L01XX01,amsacrine,70
C0002711,IN,amyl nitrite,V03AB22,amyl nitrite,V,VARIOUS DRUG CLASSES IN ATC,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,V03AB22,amyl nitrite,14
C0002823,IN,ancrod,B01AD09,ancrod,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AD,"Enzymes, antithrombotic",B01AD09,ancrod,2
C0003001,,,C01CX06,angiotensinamide,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CX,Other cardiac stimulants in ATC,C01CX06,angiotensinamide,3
C0003009,IN,angiotensin II,C01CX09,angiotensin II,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CX,Other cardiac stimulants in ATC,C01CX09,angiotensin II,1035
