cui,rxnorm_name,atc_code,ladder
C0002260,eflornithine,D11AX16,"D DERMATOLOGICALS
D11 OTHER DERMATOLOGICAL PREPARATIONS in ATC
D11A OTHER DERMATOLOGICAL PREPARATIONS in ATC
D11AX OTHER DERMATOLOGICAL PREPARATIONS IN ATC
D11AX16 eflornithine"
C0002260,eflornithine,L01XX79,"L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01 ANTINEOPLASTIC AGENTS
L01X OTHER ANTINEOPLASTIC AGENTS in ATC
L01XX Other antineoplastic agents in ATC
L01XX79 eflornithine"
C0002260,eflornithine,P01CX03,"P ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
P01 ANTIPROTOZOALS
P01C AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS
P01CX Other agents against leishmaniasis and trypanosomiasis in ATC
P01CX03 eflornithine"
C0002333,alprazolam,N05BA12,"N NERVOUS SYSTEM DRUGS
N05 PSYCHOLEPTICS
N05B ANXIOLYTICS
N05BA Benzodiazepine derivative anxiolytics
N05BA12 alprazolam"
C0002334,alprenolol,C07AA01,"C CARDIOVASCULAR SYSTEM DRUGS
C07 beta-Adrenergic Blocking Agents
C07A BETA BLOCKING AGENTS
C07AA Beta blocking agents, non-selective
C07AA01 alprenolol"
C0002335,alprostadil,C01EA01,"C CARDIOVASCULAR SYSTEM DRUGS
C01 CARDIAC THERAPY DRUGS
C01E OTHER CARDIAC PREPARATIONS in ATC
C01EA Prostaglandin cardiac therapy preparations
C01EA01 alprostadil"
C0002335,alprostadil,G04BE01,"G GENITO URINARY SYSTEM AND SEX HORMONES
G04 UROLOGICALS
G04B UROLOGICALS
G04BE Drugs used in erectile dysfunction
G04BE01 alprostadil"
C0002371,aluminum hydroxide,A02AB01,"A ALIMENTARY TRACT AND METABOLISM DRUGS
A02 DRUGS FOR ACID RELATED DISORDERS
A02A ANTACIDS
A02AB antacids containing aluminium compounds
A02AB01 aluminium hydroxide"
C0002374,aluminum oxide,D10AX04,"D DERMATOLOGICALS
D10 ANTI-ACNE PREPARATIONS
D10A ANTI-ACNE PREPARATIONS FOR TOPICAL USE
D10AX Other anti-acne preparations for topical use in ATC
D10AX04 aluminium oxide"
C0002403,amantadine,N04BB01,"N NERVOUS SYSTEM DRUGS
N04 ANTI-PARKINSON DRUGS
N04B DOPAMINERGIC AGENTS
N04BB Adamantane derivatives, dopaminergic
N04BB01 amantadine"
C0002412,ambenonium,N07AA30,"N NERVOUS SYSTEM DRUGS
N07 OTHER NERVOUS SYSTEM DRUGS in ATC
N07A PARASYMPATHOMIMETICS
N07AA Anticholinesterase parasympathomimetics
N07AA30 ambenonium"
C0002421,ambroxol,R02AD05,"R RESPIRATORY SYSTEM DRUGS
R02 THROAT PREPARATIONS
R02A THROAT PREPARATIONS
R02AD local anesthetic throat preparations
R02AD05 ambroxol"
C0002421,ambroxol,R05CB06,"R RESPIRATORY SYSTEM DRUGS
R05 COUGH AND COLD PREPARATIONS
R05C EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS
R05CB Mucolytics
R05CB06 ambroxol"
C0002435,amdinocillin,J01CA11,"J ANTIINFECTIVES FOR SYSTEMIC USE
J01 ANTIBACTERIALS FOR SYSTEMIC USE
J01C BETA-LACTAM ANTIBACTERIALS, PENICILLINS
J01CA Penicillins with extended spectrum
J01CA11 mecillinam"
C0002436,amdinocillin pivoxil,J01CA08,"J ANTIINFECTIVES FOR SYSTEMIC USE
J01 ANTIBACTERIALS FOR SYSTEMIC USE
J01C BETA-LACTAM ANTIBACTERIALS, PENICILLINS
J01CA Penicillins with extended spectrum
J01CA08 pivmecillinam"
C0002475,mitomycin,L01DC03,"L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01 ANTINEOPLASTIC AGENTS
L01D CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
L01DC Other cytotoxic antibiotics in ATC
L01DC03 mitomycin"
C0002499,amikacin,D06AX12,"D DERMATOLOGICALS
D06 ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE
D06A ANTIBIOTICS FOR TOPICAL USE
D06AX Other antibiotics for topical use in ATC
D06AX12 amikacin"
C0002499,amikacin,J01GB06,"J ANTIINFECTIVES FOR SYSTEMIC USE
J01 ANTIBACTERIALS FOR SYSTEMIC USE
J01G AMINOGLYCOSIDE ANTIBACTERIALS
J01GB Other aminoglycosides in ATC
J01GB06 amikacin"
C0002499,amikacin,S01AA21,"S SENSORY ORGAN DRUGS
S01 OPHTHALMOLOGICALS
S01A ANTIINFECTIVE OPHTHALMOLOGICS
S01AA Antibiotics, ophthalmologic
S01AA21 amikacin"
C0002502,amiloride,C03DB01,"C CARDIOVASCULAR SYSTEM DRUGS
C03 DIURETICS
C03D ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS
C03DB Other potassium-sparing agents in ATC
C03DB01 amiloride"
C0002503,aminacrine,D08AA02,"D DERMATOLOGICALS
D08 ANTISEPTICS AND DISINFECTANTS
D08A ANTISEPTICS AND DISINFECTANTS
D08AA Acridine derivatives, antiseptics and disinfectants
D08AA02 aminoacridine"
C0002520,,B05BA01,"B BLOOD AND BLOOD FORMING ORGAN DRUGS
B05 BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS
B05B IV solutions used in parenteral administration of fluids, electrolytes and nutrients
B05BA Solutions for parenteral nutrition
B05BA01 amino acids"
C0002555,aminoglutethimide,L02BG01,"L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L02 ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L02B HORMONE ANTAGONISTS AND RELATED AGENTS
L02BG Aromatase inhibitors
L02BG01 aminoglutethimide"
C0002563,aminolevulinic acid,L01XD04,"L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01 ANTINEOPLASTIC AGENTS
L01X OTHER ANTINEOPLASTIC AGENTS in ATC
L01XD Sensitizers used in photodynamic/radiation therapy
L01XD04 aminolevulinic acid"
C0002575,aminophylline,R03DA05,"R RESPIRATORY SYSTEM DRUGS
R03 DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03D OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC
R03DA Xanthines, systemic for obstructive airway disease
R03DA05 aminophylline"
C0002586,aminopyrine,N02BB03,"N NERVOUS SYSTEM DRUGS
N02 ANALGESICS
N02B OTHER ANALGESICS AND ANTIPYRETICS in ATC
N02BB Pyrazolones, analgesics and antipyretics
N02BB03 aminophenazone"
C0002598,amiodarone,C01BD01,"C CARDIOVASCULAR SYSTEM DRUGS
C01 CARDIAC THERAPY DRUGS
C01B ANTIARRHYTHMICS, CLASS I AND III
C01BD Antiarrhythmics, class III
C01BD01 amiodarone"
C0002600,amitriptyline,N06AA09,"N NERVOUS SYSTEM DRUGS
N06 PSYCHOANALEPTICS
N06A ANTIDEPRESSANTS
N06AA Non-selective monoamine reuptake inhibitors
N06AA09 amitriptyline"
C0002615,ammonium chloride,B05XA04,"B BLOOD AND BLOOD FORMING ORGAN DRUGS
B05 BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS
B05X I.V. SOLUTION ADDITIVES
B05XA Electrolyte solutions
B05XA04 ammonium chloride"
C0002615,ammonium chloride,G04BA01,"G GENITO URINARY SYSTEM AND SEX HORMONES
G04 UROLOGICALS
G04B UROLOGICALS
G04BA Acidifiers
G04BA01 ammonium chloride"
C0002640,amobarbital,N05CA02,"N NERVOUS SYSTEM DRUGS
N05 PSYCHOLEPTICS
N05C HYPNOTICS AND SEDATIVES
N05CA Barbiturates, hypnotics and sedatives, plain
N05CA02 amobarbital"
C0002641,amodiaquine,P01BA06,"P ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
P01 ANTIPROTOZOALS
P01B ANTIMALARIALS
P01BA Aminoquinoline antimalarials
P01BA06 amodiaquine"
C0002644,amoxapine,N06AA17,"N NERVOUS SYSTEM DRUGS
N06 PSYCHOANALEPTICS
N06A ANTIDEPRESSANTS
N06AA Non-selective monoamine reuptake inhibitors
N06AA17 amoxapine"
C0002645,amoxicillin,J01CA04,"J ANTIINFECTIVES FOR SYSTEMIC USE
J01 ANTIBACTERIALS FOR SYSTEMIC USE
J01C BETA-LACTAM ANTIBACTERIALS, PENICILLINS
J01CA Penicillins with extended spectrum
J01CA04 amoxicillin"
C0002658,amphetamine,N06BA01,"N NERVOUS SYSTEM DRUGS
N06 PSYCHOANALEPTICS
N06B PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS
N06BA Centrally acting sympathomimetics
N06BA01 amfetamine"
C0002679,amphotericin B,A01AB04,"A ALIMENTARY TRACT AND METABOLISM DRUGS
A01 STOMATOLOGICAL PREPARATIONS
A01A STOMATOLOGICAL PREPARATIONS
A01AB Antiinfectives and antiseptics for local oral treatment
A01AB04 amphotericin B"
C0002679,amphotericin B,A07AA07,"A ALIMENTARY TRACT AND METABOLISM DRUGS
A07 ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
A07A INTESTINAL ANTIINFECTIVES
A07AA antibiotics, intestinal
A07AA07 amphotericin B"
C0002679,amphotericin B,G01AA03,"G GENITO URINARY SYSTEM AND SEX HORMONES
G01 GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
G01A ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS
G01AA Antibiotics, Gynecological
G01AA03 amphotericin B"
C0002679,amphotericin B,J02AA01,"J ANTIINFECTIVES FOR SYSTEMIC USE
J02 ANTIMYCOTICS FOR SYSTEMIC USE
J02A ANTIMYCOTICS FOR SYSTEMIC USE
J02AA Antibiotics for systemic use
J02AA01 amphotericin B"
C0002680,ampicillin,J01CA01,"J ANTIINFECTIVES FOR SYSTEMIC USE
J01 ANTIBACTERIALS FOR SYSTEMIC USE
J01C BETA-LACTAM ANTIBACTERIALS, PENICILLINS
J01CA Penicillins with extended spectrum
J01CA01 ampicillin"
C0002680,ampicillin,S01AA19,"S SENSORY ORGAN DRUGS
S01 OPHTHALMOLOGICALS
S01A ANTIINFECTIVE OPHTHALMOLOGICS
S01AA Antibiotics, ophthalmologic
S01AA19 ampicillin"
C0002697,inamrinone,C01CE01,"C CARDIOVASCULAR SYSTEM DRUGS
C01 CARDIAC THERAPY DRUGS
C01C CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
C01CE Phosphodiesterase inhibitors, cardiac stimulant
C01CE01 amrinone"
C0002699,amsacrine,L01XX01,"L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01 ANTINEOPLASTIC AGENTS
L01X OTHER ANTINEOPLASTIC AGENTS in ATC
L01XX Other antineoplastic agents in ATC
L01XX01 amsacrine"
C0002711,amyl nitrite,V03AB22,"V VARIOUS DRUG CLASSES IN ATC
V03 ALL OTHER THERAPEUTIC PRODUCTS
V03A ALL OTHER THERAPEUTIC PRODUCTS
V03AB Antidotes
V03AB22 amyl nitrite"
C0002823,ancrod,B01AD09,"B BLOOD AND BLOOD FORMING ORGAN DRUGS
B01 ANTITHROMBOTIC AGENTS
B01A ANTITHROMBOTIC AGENTS
B01AD Enzymes, antithrombotic
B01AD09 ancrod"
C0003001,,C01CX06,"C CARDIOVASCULAR SYSTEM DRUGS
C01 CARDIAC THERAPY DRUGS
C01C CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
C01CX Other cardiac stimulants in ATC
C01CX06 angiotensinamide"
C0003009,angiotensin II,C01CX09,"C CARDIOVASCULAR SYSTEM DRUGS
C01 CARDIAC THERAPY DRUGS
C01C CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
C01CX Other cardiac stimulants in ATC
C01CX09 angiotensin II"
C0003143,antazoline,R01AC04,"R RESPIRATORY SYSTEM DRUGS
R01 NASAL PREPARATIONS
R01A DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
R01AC Antiallergic nasal preparations for topical use, excl. corticosteroids
R01AC04 antazoline"
C0003143,antazoline,R06AX05,"R RESPIRATORY SYSTEM DRUGS
R06 ANTIHISTAMINES FOR SYSTEMIC USE
R06A ANTIHISTAMINES FOR SYSTEMIC USE
R06AX Other antihistamines for systemic use in ATC
R06AX05 antazoline"
C0003166,anthralin,D05AC01,"D DERMATOLOGICALS
D05 ANTIPSORIATICS
D05A ANTIPSORIATICS FOR TOPICAL USE
D05AC Antracen derivatives, topical antipsoriatics
D05AC01 dithranol"
C0003420,antipyrine,N02BB01,"N NERVOUS SYSTEM DRUGS
N02 ANALGESICS
N02B OTHER ANALGESICS AND ANTIPYRETICS in ATC
N02BB Pyrazolones, analgesics and antipyretics
N02BB01 phenazone"
C0003420,antipyrine,S02DA03,"S SENSORY ORGAN DRUGS
S02 OTOLOGICALS
S02D OTHER OTOLOGICALS in ATC
S02DA Analgesics and anesthetics
S02DA03 phenazone"
C0003524,apazone,M01AX04,"M MUSCULO-SKELETAL SYSTEM DRUGS
M01 ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS
M01AX Other antiinflammatory and antirheumatic agents, non-steroids in ATC
M01AX04 azapropazone"
C0003596,apomorphine,G04BE07,"G GENITO URINARY SYSTEM AND SEX HORMONES
G04 UROLOGICALS
G04B UROLOGICALS
G04BE Drugs used in erectile dysfunction
G04BE07 apomorphine"
C0003596,apomorphine,N04BC07,"N NERVOUS SYSTEM DRUGS
N04 ANTI-PARKINSON DRUGS
N04B DOPAMINERGIC AGENTS
N04BC Dopamine agonists
N04BC07 apomorphine"
C0003639,aprindine,C01BB04,"C CARDIOVASCULAR SYSTEM DRUGS
C01 CARDIAC THERAPY DRUGS
C01B ANTIARRHYTHMICS, CLASS I AND III
C01BB Antiarrhythmics, class Ib
C01BB04 aprindine"
C0003641,aprotinin,B02AB01,"B BLOOD AND BLOOD FORMING ORGAN DRUGS
B02 ANTIHEMORRHAGICS
B02A ANTIFIBRINOLYTICS
B02AB Proteinase inhibitors, antifibrinolytic
B02AB01 aprotinin"
C0003968,ascorbic acid,A11GA01,"A ALIMENTARY TRACT AND METABOLISM DRUGS
A11 VITAMINS
A11G ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS
A11GA vitamin C products, plain
A11GA01 ascorbic acid"
C0003968,ascorbic acid,G01AD03,"G GENITO URINARY SYSTEM AND SEX HORMONES
G01 GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
G01A ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS
G01AD Organic acids, Gynecological
G01AD03 ascorbic acid"
