L1,L2,L3,L4,atc_code,CUI
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01  PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01B  POSTERIOR PITUITARY LOBE HORMONES,H01BA  Vasopressin and analogues,H01BA02,C0011701
B  BLOOD AND BLOOD FORMING ORGANS,B02  ANTIHEMORRHAGICS,B02B  VITAMIN K AND OTHER HEMOSTATICS,B02BD  Blood coagulation factors,B02BD08,C0015505
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AC  Interleukins,L03AC02,C0083031
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AC  Interleukins,L03AC02,C0537670
V  VARIOUS,V03  ALL OTHER THERAPEUTIC PRODUCTS,V03A  ALL OTHER THERAPEUTIC PRODUCTS,V03AF  Detoxifying agents for antineoplastic treatment,V03AF08,C0677829
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H04  PANCREATIC HORMONES,H04A  GLYCOGENOLYTIC HORMONES,H04AA  Glycogenolytic hormones,H04AA01,C0017687
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AC  Interleukins,L03AC01,C0218986
M  MUSCULO-SKELETAL SYSTEM,M03  MUSCLE RELAXANTS,"M03A  MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS","M03AX  Other muscle relaxants, peripherally acting agents",M03AX01,C0006051
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D  OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DX  Other systemic drugs for obstructive airway diseases,R03DX05,C0966225
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03G  GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03GA  Gonadotropins,G03GA07,C1271607
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AC  Insulins and analogues for injection, intermediate-acting",A10AC04,C0293359
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AC  Insulins and analogues for injection, intermediate-acting",A10AC04,C0982221
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AB  Insulins and analogues for injection, fast-acting",A10AB04,C0293359
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AB  Insulins and analogues for injection, fast-acting",A10AB04,C0982221
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AD  Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A10AD04,C0293359
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AD  Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A10AD04,C0982221
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AE  Insulins and analogues for injection, long-acting",A10AE54,C0907402
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AE  Insulins and analogues for injection, long-acting",A10AE04,C0907402
D  DERMATOLOGICALS,D03  PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,D03B  ENZYMES,D03BA  Proteolytic enzymes,D03BA02,C0009053
D  DERMATOLOGICALS,D03  PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,D03B  ENZYMES,D03BA  Proteolytic enzymes,D03BA02,C0162745
M  MUSCULO-SKELETAL SYSTEM,M09  OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,M09A  OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,M09AB  Enzymes,M09AB02,C0009053
M  MUSCULO-SKELETAL SYSTEM,M09  OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,M09A  OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,M09AB  Enzymes,M09AB02,C0162745
D  DERMATOLOGICALS,D03  PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,D03B  ENZYMES,D03BA  Proteolytic enzymes,D03BA52,C0009053
D  DERMATOLOGICALS,D03  PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,D03B  ENZYMES,D03BA  Proteolytic enzymes,D03BA52,C0162745
V  VARIOUS,V03  ALL OTHER THERAPEUTIC PRODUCTS,V03A  ALL OTHER THERAPEUTIC PRODUCTS,V03AF  Detoxifying agents for antineoplastic treatment,V03AF07,C0937932
M  MUSCULO-SKELETAL SYSTEM,M04  ANTIGOUT PREPARATIONS,M04A  ANTIGOUT PREPARATIONS,M04AX  Other antigout preparations,M04AX01,C0937932
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01  PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C  HYPOTHALAMIC HORMONES,H01CC  Anti-gonadotropin-releasing hormones,H01CC02,C0209366
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AB  Tumor necrosis factor alpha (TNF-alpha) inhibitors,L04AB04,C1122087
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01  PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A  ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AC  Somatropin and somatropin agonists,H01AC01,C0169964
A  ALIMENTARY TRACT AND METABOLISM,A16  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB  Enzymes,A16AB02,C0291140
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AC  Platelet aggregation inhibitors excl. heparin,B01AC13,C0288672
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AD  Enzymes,B01AD10,C1170000
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01F  MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FX  Other monoclonal antibodies and antibody drug conjugates,L01FX02,C1533699
B  BLOOD AND BLOOD FORMING ORGANS,B02  ANTIHEMORRHAGICS,B02A  ANTIFIBRINOLYTICS,B02AB  Proteinase inhibitors,B02AB02,C0002191
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01X  OTHER ANTINEOPLASTIC AGENTS,L01XX  Other antineoplastic agents,L01XX24,C0071568
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AB  Interferons,L03AB07,C0254119
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AX  Other immunostimulants,L03AX04,C0164674
B  BLOOD AND BLOOD FORMING ORGANS,B05  BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05A  BLOOD AND RELATED PRODUCTS,B05AA  Blood substitutes and plasma protein fractions,B05AA01,C0304925
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AC  Platelet aggregation inhibitors excl. heparin,B01AC16,C0253563
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AB  Tumor necrosis factor alpha (TNF-alpha) inhibitors,L04AB02,C0666743
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03G  GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03GA  Gonadotropins,G03GA06,C0060787
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03G  GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03GA  Gonadotropins,G03GA06,C0733758
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03G  GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03GA  Gonadotropins,G03GA06,C1268876
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03G  GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03GA  Gonadotropins,G03GA10,C0060787
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03G  GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03GA  Gonadotropins,G03GA10,C0733758
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03G  GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03GA  Gonadotropins,G03GA10,C1268876
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03G  GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03GA  Gonadotropins,G03GA05,C0060787
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03G  GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03GA  Gonadotropins,G03GA05,C0733758
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03G  GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03GA  Gonadotropins,G03GA05,C1268876
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AB  Interferons,L03AB08,C0244713
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AB  Interferons,L03AB09,C0164613
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AC  Insulins and analogues for injection, intermediate-acting",A10AC03,C0724601
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AB  Insulins and analogues for injection, fast-acting",A10AB03,C0724601
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AE  Insulins and analogues for injection, long-acting",A10AE03,C0724601
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AD  Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A10AD03,C0724601
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01F  MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FD  HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors,L01FD01,C0728747
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01X  OTHER ANTINEOPLASTIC AGENTS,L01XY  Combinations of antineoplastic agents,L01XY02,C0728747
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01F  MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FA  CD20 (Clusters of Differentiation 20) inhibitors,L01FA01,C0393022
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AC  Interleukin inhibitors,L04AC02,C0676831
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AA  Selective immunosuppressants,L04AA02,C0085379
V  VARIOUS,V10  THERAPEUTIC RADIOPHARMACEUTICALS,V10X  OTHER THERAPEUTIC RADIOPHARMACEUTICALS,V10XX  Various therapeutic radiopharmaceuticals,V10XX02,C0877880
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01X  OTHER ANTIBACTERIALS,J01XX  Other antibacterials,J01XX09,C0057144
V  VARIOUS,V10  THERAPEUTIC RADIOPHARMACEUTICALS,V10X  OTHER THERAPEUTIC RADIOPHARMACEUTICALS,V10XA  Iodine (131I) compounds,V10XA53,C0879399
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01  PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A  ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AX  Other anterior pituitary lobe hormones and analogues,H01AX01,C0913469
M  MUSCULO-SKELETAL SYSTEM,M03  MUSCLE RELAXANTS,"M03A  MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS","M03AX  Other muscle relaxants, peripherally acting agents",M03AX01,C0006050
A  ALIMENTARY TRACT AND METABOLISM,"A09  DIGESTIVES, INCL. ENZYMES","A09A  DIGESTIVES, INCL. ENZYMES",A09AA  Enzyme preparations,A09AA02,C0030304
A  ALIMENTARY TRACT AND METABOLISM,"A09  DIGESTIVES, INCL. ENZYMES","A09A  DIGESTIVES, INCL. ENZYMES",A09AA  Enzyme preparations,A09AA02,C0770343
A  ALIMENTARY TRACT AND METABOLISM,"A09  DIGESTIVES, INCL. ENZYMES","A09A  DIGESTIVES, INCL. ENZYMES",A09AA  Enzyme preparations,A09AA02,C2722896
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AD  Enzymes,B01AD01,C0038418
B  BLOOD AND BLOOD FORMING ORGANS,B06  OTHER HEMATOLOGICAL AGENTS,B06A  OTHER HEMATOLOGICAL AGENTS,B06AA  Enzymes,B06AA55,C0038418
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AA  Selective immunosuppressants,L04AA34,C0383429
A  ALIMENTARY TRACT AND METABOLISM,A16  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB  Enzymes,A16AB01,C0102139
V  VARIOUS,V09  DIAGNOSTIC RADIOPHARMACEUTICALS,V09I  TUMOUR DETECTION,V09IB  Indium (111In) compounds,V09IB04,C0529572
A  ALIMENTARY TRACT AND METABOLISM,A16  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB  Enzymes,A16AB05,C1302054
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AD  Calcineurin inhibitors,L04AD01,C0010592
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01X  OTHER OPHTHALMOLOGICALS,S01XA  Other ophthalmologicals,S01XA18,C0010592
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AA  Selective immunosuppressants,L04AA15,C0962603
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03G  GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03GA  Gonadotropins,G03GA04,C0524639
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AA  Selective immunosuppressants,L04AA21,C1174995
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AA  Colony stimulating factors,L03AA02,C0210630
D  DERMATOLOGICALS,D03  PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,D03A  CICATRIZANTS,D03AX  Other cicatrizants,D03AX06,C0379135
A  ALIMENTARY TRACT AND METABOLISM,A01  STOMATOLOGICAL PREPARATIONS,A01A  STOMATOLOGICAL PREPARATIONS,A01AD  Other agents for local oral treatment,A01AD08,C0379135
A  ALIMENTARY TRACT AND METABOLISM,A16  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB  Enzymes,A16AB04,C1137427
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01  PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C  HYPOTHALAMIC HORMONES,H01CB  Somatostatin and analogues,H01CB02,C0028833
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AB  Interferons,L03AB05,C0021735
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02  ENDOCRINE THERAPY,L02B  HORMONE ANTAGONISTS AND RELATED AGENTS,L02BX  Other hormone antagonists and related agents,L02BX01,C0965390
G  GENITO URINARY SYSTEM AND SEX HORMONES,G02  OTHER GYNECOLOGICALS,G02A  UTEROTONICS,"G02AC  Ergot alkaloids and oxytocin incl. analogues, in combination",G02AC01,C0030095
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01  PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01B  POSTERIOR PITUITARY LOBE HORMONES,H01BB  Oxytocin and analogues,H01BB02,C0030095
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AA  Selective immunosuppressants,L04AA23,C1172734
