cui,rxnorm_tty,rxnorm_name,drug_display,agegroup,freq,unique_pub_count,atc_code,atc_name,L1_code,L1_name,L2_code,L2_name,L3_code,L3_name,L4_code,L4_name,L5_code,L5_name
C0037508,IN,sodium fluoride,Sodium Fluoride,3-10,263.44444444444446,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,3-10,90.0,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,3-10,280242.0,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,3-10,594.5,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,3-10,50.5,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,3-10,641.5,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,3-10,239551.0,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,3-10,29.0,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0038143,IN,stannous fluoride,Stannous Fluoride,0-2,6.0,29,A01AA04,stannous fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA04,stannous fluoride
C0038143,IN,stannous fluoride,Stannous Fluoride,11-17,30.0,29,A01AA04,stannous fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA04,stannous fluoride
C0038143,IN,stannous fluoride,Stannous Fluoride,3-10,86.0,29,A01AA04,stannous fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA04,stannous fluoride
C0002679,IN,amphotericin B,Amphotericin B,0-2,3.0,1837,A01AB04,amphotericin B,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin B
C0002679,IN,amphotericin B,Amphotericin B,0-2,0.0,1837,A01AB04,amphotericin B,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin B
C0002679,IN,amphotericin B,Amphotericin B,11-17,17.75,1837,A01AB04,amphotericin B,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin B
C0002679,IN,amphotericin B,Amphotericin B,11-17,4.5,1837,A01AB04,amphotericin B,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin B
C0002679,IN,amphotericin B,Amphotericin B,3-10,13.0,1837,A01AB04,amphotericin B,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin B
C0002679,IN,amphotericin B,Amphotericin B,3-10,1.25,1837,A01AB04,amphotericin B,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin B
C0008196,IN,chlorhexidine,Chlorhexidine,0-2,259.25,773,A01AB03,chlorhexidine,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB03,chlorhexidine
C0008196,IN,chlorhexidine,Chlorhexidine,11-17,33659.5,773,A01AB03,chlorhexidine,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB03,chlorhexidine
C0008196,IN,chlorhexidine,Chlorhexidine,3-10,3355.125,773,A01AB03,chlorhexidine,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB03,chlorhexidine
C0009074,IN,clotrimazole,Clotrimazole,0-2,3823.3333333333335,147,A01AB18,clotrimazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB18,clotrimazole
C0009074,IN,clotrimazole,Clotrimazole,0-2,8223.0,147,A01AB18,clotrimazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB18,clotrimazole
C0009074,IN,clotrimazole,Clotrimazole,0-2,0.3333333333333333,147,A01AB18,clotrimazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB18,clotrimazole
C0009074,IN,clotrimazole,Clotrimazole,11-17,13469.333333333334,147,A01AB18,clotrimazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB18,clotrimazole
C0009074,IN,clotrimazole,Clotrimazole,11-17,8068.333333333333,147,A01AB18,clotrimazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB18,clotrimazole
C0009074,IN,clotrimazole,Clotrimazole,11-17,3.0,147,A01AB18,clotrimazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB18,clotrimazole
C0009074,IN,clotrimazole,Clotrimazole,3-10,7435.0,147,A01AB18,clotrimazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB18,clotrimazole
C0009074,IN,clotrimazole,Clotrimazole,3-10,9360.666666666666,147,A01AB18,clotrimazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB18,clotrimazole
C0009074,IN,clotrimazole,Clotrimazole,3-10,2.0,147,A01AB18,clotrimazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB18,clotrimazole
C0013090,IN,doxycycline,Doxycycline,0-2,799.0,755,A01AB22,doxycycline,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB22,doxycycline
C0013090,IN,doxycycline,Doxycycline,0-2,110.5,755,A01AB22,doxycycline,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB22,doxycycline
C0013090,IN,doxycycline,Doxycycline,0-2,73.0,755,A01AB22,doxycycline,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB22,doxycycline
C0013090,IN,doxycycline,Doxycycline,0-2,0.0,755,A01AB22,doxycycline,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB22,doxycycline
C0013090,IN,doxycycline,Doxycycline,11-17,130096.0,755,A01AB22,doxycycline,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB22,doxycycline
C0013090,IN,doxycycline,Doxycycline,11-17,485.5,755,A01AB22,doxycycline,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB22,doxycycline
C0013090,IN,doxycycline,Doxycycline,11-17,384421.5,755,A01AB22,doxycycline,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB22,doxycycline
C0013090,IN,doxycycline,Doxycycline,11-17,115.5,755,A01AB22,doxycycline,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB22,doxycycline
C0013090,IN,doxycycline,Doxycycline,3-10,8059.5,755,A01AB22,doxycycline,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB22,doxycycline
C0013090,IN,doxycycline,Doxycycline,3-10,1116.0,755,A01AB22,doxycycline,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB22,doxycycline
C0013090,IN,doxycycline,Doxycycline,3-10,5236.5,755,A01AB22,doxycycline,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB22,doxycycline
C0013090,IN,doxycycline,Doxycycline,3-10,0.0,755,A01AB22,doxycycline,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB22,doxycycline
C0020281,IN,hydrogen peroxide,Hydrogen Peroxide,0-2,0.0,419,A01AB02,hydrogen peroxide,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB02,hydrogen peroxide
C0020281,IN,hydrogen peroxide,Hydrogen Peroxide,11-17,0.0,419,A01AB02,hydrogen peroxide,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB02,hydrogen peroxide
C0020281,IN,hydrogen peroxide,Hydrogen Peroxide,3-10,0.5,419,A01AB02,hydrogen peroxide,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB02,hydrogen peroxide
C0025872,IN,metronidazole,Metronidazole,0-2,0.0,1523,A01AB17,metronidazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole
C0025872,IN,metronidazole,Metronidazole,0-2,1089.8,1523,A01AB17,metronidazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole
C0025872,IN,metronidazole,Metronidazole,0-2,39.6,1523,A01AB17,metronidazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole
C0025872,IN,metronidazole,Metronidazole,0-2,19.0,1523,A01AB17,metronidazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole
C0025872,IN,metronidazole,Metronidazole,0-2,0.0,1523,A01AB17,metronidazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole
C0025872,IN,metronidazole,Metronidazole,11-17,26.0,1523,A01AB17,metronidazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole
C0025872,IN,metronidazole,Metronidazole,11-17,22723.2,1523,A01AB17,metronidazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole
C0025872,IN,metronidazole,Metronidazole,11-17,5.4,1523,A01AB17,metronidazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole
C0025872,IN,metronidazole,Metronidazole,11-17,3.4,1523,A01AB17,metronidazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole
C0025872,IN,metronidazole,Metronidazole,11-17,1.6,1523,A01AB17,metronidazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole
C0025872,IN,metronidazole,Metronidazole,3-10,1.0,1523,A01AB17,metronidazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole
C0025872,IN,metronidazole,Metronidazole,3-10,4025.8,1523,A01AB17,metronidazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole
C0025872,IN,metronidazole,Metronidazole,3-10,35.4,1523,A01AB17,metronidazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole
C0025872,IN,metronidazole,Metronidazole,3-10,25.4,1523,A01AB17,metronidazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole
C0025872,IN,metronidazole,Metronidazole,3-10,0.0,1523,A01AB17,metronidazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole
C0025942,IN,miconazole,Miconazole,0-2,0.8333333333333334,141,A01AB09,miconazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB09,miconazole
C0025942,IN,miconazole,Miconazole,0-2,23.666666666666668,141,A01AB09,miconazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB09,miconazole
C0025942,IN,miconazole,Miconazole,0-2,0.1666666666666666,141,A01AB09,miconazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB09,miconazole
C0025942,IN,miconazole,Miconazole,0-2,253.5,141,A01AB09,miconazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB09,miconazole
C0025942,IN,miconazole,Miconazole,11-17,0.8333333333333334,141,A01AB09,miconazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB09,miconazole
C0025942,IN,miconazole,Miconazole,11-17,41.0,141,A01AB09,miconazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB09,miconazole
C0025942,IN,miconazole,Miconazole,11-17,0.8333333333333334,141,A01AB09,miconazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB09,miconazole
C0025942,IN,miconazole,Miconazole,11-17,11.6,141,A01AB09,miconazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB09,miconazole
C0025942,IN,miconazole,Miconazole,3-10,0.5,141,A01AB09,miconazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB09,miconazole
C0025942,IN,miconazole,Miconazole,3-10,29.666666666666668,141,A01AB09,miconazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB09,miconazole
C0025942,IN,miconazole,Miconazole,3-10,0.0,141,A01AB09,miconazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB09,miconazole
C0025942,IN,miconazole,Miconazole,3-10,46.0,141,A01AB09,miconazole,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB09,miconazole
